period_id,variant,corrective_exhaustion_bucket2,anchor_aligned_bucket,anchor_flip_entry_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_aligned,corrective_exhaustion,anchor_aligned,no_anchor_flip_entry,117,32,0.27350427350427353,-253.99,741.4699999999998,-995.4599999999999,0.7448516263837822,-10.498800000000005,-0.08973333333333337,0.7550706177125179,290.47,2.9047000000000005,-0.8744104382552415,13,0.1111111111111111,22,0.18803418803418803,82,0.7008547008547008,0.6622008547008542,0.5536564102564103,0.5470085470085471,0.36752136752136755,0.2905982905982906,0.18803418803418803,0.0,USDJPY:66|EURUSD:19|EURJPY:13|GBPJPY:8|AUDJPY:6|GBPUSD:5,SHORT:73|LONG:44,london_newyork_overlap:38|new_york:35|london:24|tokyo:20
full2025_validation,anchor_aligned,no_corrective_exhaustion,anchor_aligned,no_anchor_flip_entry,105,22,0.20952380952380953,-438.8899999999998,548.88,-987.7700000000001,0.5556759164582847,-18.956199999999992,-0.18053523809523803,0.5561461265049806,443.9399999999998,4.439399999999998,-0.988624588908411,13,0.12380952380952381,16,0.1523809523809524,76,0.7238095238095238,0.5933561904761905,0.5768619047619045,0.5238095238095238,0.29523809523809524,0.2571428571428571,0.10476190476190476,0.0,USDJPY:57|GBPUSD:17|EURUSD:13|EURJPY:9|GBPJPY:6|AUDJPY:3,LONG:54|SHORT:51,london_newyork_overlap:49|london:19|tokyo:19|new_york:18
full2025_validation,anchor_diag,corrective_exhaustion,anchor_aligned,anchor_flip_entry_direction,31,8,0.25806451612903225,-92.49000000000002,209.90999999999997,-302.40000000000003,0.6941468253968253,-4.3104000000000005,-0.1390451612903226,0.6825756850500394,161.47000000000003,1.6147000000000002,-0.5727999009103859,3,0.0967741935483871,7,0.22580645161290322,21,0.6774193548387096,0.6160129032258065,0.5961580645161291,0.5483870967741935,0.3548387096774194,0.22580645161290322,0.1935483870967742,0.0,USDJPY:17|EURUSD:5|AUDJPY:3|EURJPY:2|GBPJPY:2|GBPUSD:2,SHORT:23|LONG:8,london:11|london_newyork_overlap:11|new_york:5|tokyo:4
full2025_validation,anchor_diag,corrective_exhaustion,anchor_aligned,no_anchor_flip_entry,85,22,0.25882352941176473,-188.19,491.57,-679.76,0.7231522890431917,-8.279800000000002,-0.0974094117647059,0.7252239246803329,245.5,2.455,-0.7665580448065173,8,0.09411764705882353,15,0.17647058823529413,62,0.7294117647058823,0.647774117647059,0.5519223529411764,0.5294117647058824,0.36470588235294116,0.2823529411764706,0.17647058823529413,0.0,USDJPY:50|EURUSD:12|EURJPY:8|GBPJPY:7|AUDJPY:4|GBPUSD:4,SHORT:54|LONG:31,new_york:29|london_newyork_overlap:28|london:15|tokyo:13
full2025_validation,anchor_diag,corrective_exhaustion,anchor_not_aligned,no_anchor_flip_entry,47,13,0.2765957446808511,-215.27999999999994,208.88,-424.16,0.49245567710298,-9.282200000000001,-0.19749361702127663,0.5018408200504483,244.04999999999993,2.4404999999999992,-0.8821143208358944,9,0.19148936170212766,5,0.10638297872340426,33,0.7021276595744681,0.5367234042553192,0.5807723404255318,0.40425531914893614,0.2765957446808511,0.23404255319148937,0.0425531914893617,0.0,USDJPY:25|EURJPY:7|EURUSD:5|GBPJPY:4|AUDJPY:3|GBPUSD:3,LONG:26|SHORT:21,london_newyork_overlap:21|new_york:11|london:10|tokyo:5
full2025_validation,anchor_diag,no_corrective_exhaustion,anchor_aligned,anchor_flip_entry_direction,25,6,0.24,-123.91000000000001,90.77000000000001,-214.68,0.4228153530836594,-5.3734,-0.21493600000000002,0.43414664967723593,143.1,1.431,-0.8658979734451434,2,0.08,2,0.08,21,0.84,0.48801599999999995,0.6033640000000001,0.4,0.16,0.16,0.08,0.04,USDJPY:18|EURUSD:4|AUDJPY:1|EURJPY:1|GBPUSD:1,SHORT:16|LONG:9,london_newyork_overlap:12|london:5|new_york:4|tokyo:4
full2025_validation,anchor_diag,no_corrective_exhaustion,anchor_aligned,no_anchor_flip_entry,76,16,0.21052631578947367,-292.64,431.15000000000003,-723.7900000000002,0.5956838309454399,-13.006299999999998,-0.17113552631578943,0.5951636147450923,303.16999999999996,3.0317,-0.9652670119075107,9,0.11842105263157894,14,0.18421052631578946,53,0.6973684210526315,0.6383605263157895,0.5822065789473683,0.5526315789473685,0.34210526315789475,0.2894736842105263,0.11842105263157894,0.0,USDJPY:43|GBPUSD:14|EURUSD:8|EURJPY:5|GBPJPY:4|AUDJPY:2,SHORT:44|LONG:32,london_newyork_overlap:35|new_york:18|london:14|tokyo:9
full2025_validation,anchor_diag,no_corrective_exhaustion,anchor_not_aligned,no_anchor_flip_entry,54,12,0.2222222222222222,-232.37999999999997,215.15,-447.53000000000014,0.48074989386186384,-10.068599999999998,-0.1864555555555555,0.49352609181178886,232.37999999999997,2.3238,-1.0,2,0.037037037037037035,6,0.1111111111111111,46,0.8518518518518519,0.5513222222222222,0.540751851851852,0.46296296296296297,0.2962962962962963,0.18518518518518517,0.1111111111111111,0.0,USDJPY:31|EURUSD:10|GBPJPY:6|EURJPY:4|AUDJPY:2|GBPUSD:1,LONG:29|SHORT:25,london_newyork_overlap:23|london:17|new_york:9|tokyo:5
full2025_validation,anchor_flip,corrective_exhaustion,anchor_aligned,anchor_flip_entry_direction,60,17,0.2833333333333333,-135.56,447.2900000000001,-582.85,0.7674187183666468,-5.6057,-0.09342833333333332,0.7713834772288858,227.28,2.2728,-0.5964449137627597,5,0.08333333333333333,14,0.23333333333333334,41,0.6833333333333333,0.6348683333333335,0.5411133333333333,0.5333333333333333,0.36666666666666664,0.23333333333333334,0.2,0.0,USDJPY:29|EURUSD:11|EURJPY:6|GBPJPY:6|AUDJPY:4|GBPUSD:4,SHORT:42|LONG:18,london_newyork_overlap:27|london:14|tokyo:11|new_york:8
full2025_validation,anchor_flip,no_corrective_exhaustion,anchor_aligned,anchor_flip_entry_direction,62,18,0.2903225806451613,-114.34999999999994,359.61,-473.96,0.7587349143387628,-4.995699999999999,-0.0805758064516129,0.7524552797185474,174.88999999999996,1.7488999999999995,-0.6538395562925265,3,0.04838709677419355,9,0.14516129032258066,50,0.8064516129032258,0.578741935483871,0.5307338709677418,0.4838709677419355,0.25806451612903225,0.24193548387096775,0.14516129032258066,0.016129032258064516,USDJPY:43|EURUSD:7|EURJPY:4|GBPJPY:4|GBPUSD:3|AUDJPY:1,SHORT:35|LONG:27,london_newyork_overlap:26|london:19|tokyo:11|new_york:6
