period_id,variant,m15_n_state,range_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_aligned,falling_n,not_range_n,86,13,0.1511627906976744,-553.3399999999999,363.53999999999996,-916.8800000000002,0.39649681528662406,-23.539399999999997,-0.2737139534883721,0.4026063674546679,553.3399999999999,5.533399999999999,-1.0,16,0.18604651162790697,11,0.12790697674418605,59,0.686046511627907,0.5993674418604651,0.5907906976744184,0.5,0.313953488372093,0.22093023255813954,0.10465116279069768,0.0,USDJPY:45|EURUSD:12|GBPUSD:10|EURJPY:9|AUDJPY:5|GBPJPY:5,SHORT:85|LONG:1,london_newyork_overlap:35|new_york:23|london:15|tokyo:13
full2025_validation,anchor_aligned,range_n,range_n,86,32,0.37209302325581395,119.07000000000004,703.6399999999996,-584.5700000000002,1.20368818105616,5.182599999999999,0.06026279069767441,1.203769816305989,119.30000000000001,1.193,0.9980720871751888,7,0.08139534883720931,20,0.23255813953488372,59,0.686046511627907,0.7307244186046512,0.5213825581395348,0.6395348837209303,0.4069767441860465,0.36046511627906974,0.20930232558139536,0.0,USDJPY:43|EURUSD:13|EURJPY:10|GBPUSD:10|GBPJPY:6|AUDJPY:4,LONG:48|SHORT:38,london_newyork_overlap:37|new_york:18|london:17|tokyo:14
full2025_validation,anchor_aligned,rising_n,not_range_n,50,9,0.18,-258.60999999999996,223.17000000000004,-481.78,0.4632197268462785,-11.098200000000002,-0.22196400000000005,0.46477813625775827,270.34999999999997,2.7034999999999996,-0.9565748104309229,3,0.06,7,0.14,40,0.8,0.50784,0.5940280000000002,0.42,0.24,0.22,0.12,0.0,USDJPY:35|EURUSD:7|EURJPY:3|GBPJPY:3|GBPUSD:2,LONG:49|SHORT:1,london_newyork_overlap:15|new_york:12|tokyo:12|london:11
full2025_validation,anchor_diag,falling_n,not_range_n,114,19,0.16666666666666666,-658.7900000000001,459.04999999999995,-1117.8400000000006,0.4106580548200098,-29.0035,-0.2544166666666667,0.41413461965765347,658.7900000000001,6.5879,-1.0,16,0.14035087719298245,14,0.12280701754385964,84,0.7368421052631579,0.537951754385965,0.5884236842105262,0.4298245614035088,0.2719298245614035,0.19298245614035087,0.09649122807017543,0.0,USDJPY:63|EURUSD:19|EURJPY:10|GBPUSD:10|AUDJPY:6|GBPJPY:6,SHORT:77|LONG:37,london_newyork_overlap:50|new_york:28|london:22|tokyo:14
full2025_validation,anchor_diag,range_n,range_n,117,38,0.3247863247863248,-126.51999999999998,741.5000000000001,-868.0199999999996,0.8542429897928624,-5.411400000000003,-0.04625128205128208,0.8599251401680467,247.73999999999998,2.4774,-0.5106966981512876,10,0.08547008547008547,22,0.18803418803418803,85,0.7264957264957265,0.6864427350427348,0.5508794871794872,0.6068376068376068,0.37606837606837606,0.3076923076923077,0.15384615384615385,0.008547008547008548,USDJPY:66|EURUSD:15|GBPUSD:12|GBPJPY:10|EURJPY:8|AUDJPY:6,SHORT:64|LONG:53,london_newyork_overlap:51|new_york:28|london:22|tokyo:16
full2025_validation,anchor_diag,rising_n,not_range_n,87,20,0.22988505747126436,-359.5799999999999,446.88,-806.46,0.5541254370954541,-15.905800000000003,-0.18282528735632186,0.5545941283869306,374.74999999999994,3.7474999999999996,-0.9595196797865243,7,0.08045977011494253,13,0.14942528735632185,67,0.7701149425287356,0.5543689655172414,0.5711471264367816,0.4367816091954023,0.2988505747126437,0.22988505747126436,0.12643678160919541,0.0,USDJPY:55|EURUSD:10|EURJPY:9|GBPJPY:7|AUDJPY:3|GBPUSD:3,LONG:45|SHORT:42,london_newyork_overlap:29|london:28|new_york:20|tokyo:10
full2025_validation,anchor_flip,falling_n,not_range_n,31,10,0.3225806451612903,-4.9300000000000015,215.26000000000002,-220.19,0.9776102456968983,-0.4285,-0.01382258064516129,0.9543891768763237,107.0,1.0699999999999998,-0.0460747663551402,0,0.0,6,0.1935483870967742,25,0.8064516129032258,0.5720741935483873,0.4958709677419356,0.4838709677419355,0.25806451612903225,0.25806451612903225,0.1935483870967742,0.0,USDJPY:19|EURUSD:6|EURJPY:2|GBPUSD:2|AUDJPY:1|GBPJPY:1,LONG:29|SHORT:2,london_newyork_overlap:14|london:9|tokyo:6|new_york:2
full2025_validation,anchor_flip,range_n,range_n,48,14,0.2916666666666667,-84.61999999999998,314.69,-399.30999999999995,0.7880844456687788,-3.4388999999999994,-0.07164374999999999,0.7963955216369353,155.82,1.5581999999999998,-0.5430625080220767,3,0.0625,9,0.1875,36,0.75,0.6737791666666668,0.5459333333333333,0.6041666666666666,0.3958333333333333,0.25,0.16666666666666666,0.020833333333333332,USDJPY:27|EURUSD:8|GBPJPY:4|GBPUSD:4|EURJPY:3|AUDJPY:2,SHORT:32|LONG:16,london_newyork_overlap:19|tokyo:12|new_york:9|london:8
full2025_validation,anchor_flip,rising_n,not_range_n,43,11,0.2558139534883721,-160.36,276.95,-437.3099999999999,0.6333036061375227,-6.734000000000001,-0.1566046511627907,0.6343456611805848,178.64000000000001,1.7864000000000002,-0.8976712942230184,5,0.11627906976744186,8,0.18604651162790697,30,0.6976744186046512,0.5557767441860466,0.5533837209302325,0.4186046511627907,0.2558139534883721,0.20930232558139536,0.16279069767441862,0.0,USDJPY:26|EURJPY:5|GBPJPY:5|EURUSD:4|AUDJPY:2|GBPUSD:1,SHORT:43,london_newyork_overlap:20|london:16|tokyo:4|new_york:3
full2025_validation,anchor_flip_pullback,falling_n,not_range_n,8,3,0.375,25.309999999999995,96.59,-71.28,1.3550785634118967,0.9349000000000001,0.11686250000000001,1.3104433006807241,39.35,0.3935,0.6432020330368486,1,0.125,3,0.375,4,0.5,0.6586375,0.541175,0.5,0.375,0.375,0.375,0.0,USDJPY:6|EURJPY:1|EURUSD:1,LONG:8,london_newyork_overlap:4|london:3|tokyo:1
