run_id,scenario_id,timeframe_config_id,break_even_id,r_count,r_min,r_p10,r_p25,r_median,r_p75,r_p90,r_max
london_first120__current__no_be,london_first120_reference,current_default,no_be,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__current__be_1_1r,london_first120_reference,current_default,be_1_1r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_strict__no_be,london_first120_reference,h1_m15_m5_strict,no_be,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_strict__be_1_1r,london_first120_reference,h1_m15_m5_strict,be_1_1r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_dual__no_be,london_first120_reference,h1_m15_m5_dual_entry,no_be,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_dual__be_1_1r,london_first120_reference,h1_m15_m5_dual_entry,be_1_1r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_top_notopp__no_be,london_first120_reference,h1_m15_m5_top_opposite_only,no_be,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_top_notopp__be_1_1r,london_first120_reference,h1_m15_m5_top_opposite_only,be_1_1r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_fib_score__no_be,london_first120_reference,h1_m15_m5_with_fib_score,no_be,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_fib_score__be_1_1r,london_first120_reference,h1_m15_m5_with_fib_score,be_1_1r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_fib_req__no_be,london_first120_reference,h1_m15_m5_with_fib_required,no_be,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
london_first120__h1_m15_m5_fib_req__be_1_1r,london_first120_reference,h1_m15_m5_with_fib_required,be_1_1r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_first120__current__no_be,all_symbols_first120,current_default,no_be,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_first120__current__be_1_1r,all_symbols_first120,current_default,be_1_1r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_first120__h1_m15_m5_strict__no_be,all_symbols_first120,h1_m15_m5_strict,no_be,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_first120__h1_m15_m5_strict__be_1_1r,all_symbols_first120,h1_m15_m5_strict,be_1_1r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
