response_episode_id,start_msc,end_confirmed_msc,market_clusters,representative_events,window_end_msc,partition
0,1740999587250,1740999845000,5,5,1740999965000,DISCOVERY
1,1741000198250,1741000198250,1,1,1741000318250,DISCOVERY
2,1741000392750,1741000392750,1,1,1741000512750,DISCOVERY
3,1741001029000,1741001029000,1,1,1741001149000,DISCOVERY
4,1741001732500,1741001791750,2,2,1741001911750,DISCOVERY
5,1741002078000,1741002078000,1,1,1741002198000,DISCOVERY
6,1741002364750,1741002364750,1,1,1741002484750,DISCOVERY
7,1741013614250,1741013614250,1,1,1741013734250,DISCOVERY
8,1741013930500,1741013937500,2,2,1741014057500,DISCOVERY
9,1741014178500,1741014178500,1,1,1741014298500,DISCOVERY
10,1741014453500,1741014453500,1,1,1741014573500,DISCOVERY
11,1741014606000,1741014870250,5,5,1741014990250,DISCOVERY
12,1741015012750,1741015358750,9,9,1741015478750,DISCOVERY
13,1741015603500,1741015656750,2,2,1741015776750,DISCOVERY
14,1741016050750,1741016050750,1,1,1741016170750,DISCOVERY
15,1741016191500,1741016313250,3,3,1741016433250,DISCOVERY
16,1741016524750,1741016524750,1,1,1741016644750,DISCOVERY
17,1741016712500,1741016712500,1,1,1741016832500,DISCOVERY
18,1741016960750,1741016960750,1,1,1741017080750,DISCOVERY
19,1741017127000,1741017127000,1,1,1741017247000,DISCOVERY
20,1741017467750,1741017545000,3,3,1741017665000,DISCOVERY
21,1741022591750,1741023294500,17,17,1741023414500,DISCOVERY
22,1741023431500,1741023435750,2,2,1741023555750,DISCOVERY
23,1741024235000,1741024399500,3,3,1741024519500,DISCOVERY
24,1741024665750,1741024665750,1,1,1741024785750,DISCOVERY
25,1741024838250,1741025095250,4,4,1741025215250,DISCOVERY
26,1741025468250,1741025526750,2,2,1741025646750,DISCOVERY
27,1741025705750,1741025705750,1,1,1741025825750,DISCOVERY
28,1741026009000,1741026079000,2,2,1741026199000,DISCOVERY
29,1741026207250,1741026207250,1,1,1741026327250,DISCOVERY
30,1741026750500,1741026969500,5,5,1741027089500,DISCOVERY
31,1741027268250,1741027268250,1,1,1741027388250,DISCOVERY
32,1741027487000,1741027544250,2,2,1741027664250,DISCOVERY
33,1741028146500,1741028186750,2,2,1741028306750,DISCOVERY
34,1741028910500,1741029007250,2,2,1741029127250,DISCOVERY
35,1741030028500,1741030028500,1,1,1741030148500,DISCOVERY
36,1741031040250,1741031040250,1,1,1741031160250,DISCOVERY
37,1741031236000,1741031236000,1,1,1741031356000,DISCOVERY
38,1741031646250,1741031656250,2,2,1741031776250,DISCOVERY
39,1741039054000,1741039840500,55,55,1741039960500,DISCOVERY
40,1741040164000,1741040164000,1,1,1741040284000,DISCOVERY
41,1741040475000,1741040481000,2,2,1741040601000,DISCOVERY
42,1741040796750,1741040878000,2,2,1741040998000,DISCOVERY
43,1741041256000,1741041256000,1,1,1741041376000,DISCOVERY
44,1741041601750,1741041601750,1,1,1741041721750,DISCOVERY
45,1741041965250,1741041965250,1,1,1741042085250,DISCOVERY
46,1741042255500,1741042268000,2,2,1741042388000,DISCOVERY
47,1741042546000,1741042546000,1,1,1741042666000,DISCOVERY
48,1741042858750,1741042936500,3,3,1741043056500,DISCOVERY
49,1741043144750,1741043144750,1,1,1741043264750,DISCOVERY
50,1741044074500,1741044081750,2,2,1741044201750,DISCOVERY
51,1741044656500,1741044656500,1,1,1741044776500,DISCOVERY
52,1741045580500,1741045580500,1,1,1741045700500,DISCOVERY
53,1741045972500,1741045972500,1,1,1741046092500,DISCOVERY
54,1741051577000,1741051640750,2,2,1741051760750,DISCOVERY
55,1741052309250,1741052309250,1,1,1741052429250,DISCOVERY
56,1741052538250,1741052538250,1,1,1741052658250,DISCOVERY
57,1741053018750,1741053114000,2,2,1741053234000,DISCOVERY
58,1741053355500,1741053775250,10,10,1741053895250,DISCOVERY
59,1741053897750,1741053927000,2,2,1741054047000,DISCOVERY
60,1741054084500,1741054084500,1,1,1741054204500,DISCOVERY
61,1741054503000,1741054712500,5,5,1741054832500,DISCOVERY
62,1741055143250,1741055143250,1,1,1741055263250,DISCOVERY
63,1741055584000,1741055612750,2,2,1741055732750,DISCOVERY
64,1741055777000,1741055777000,1,1,1741055897000,DISCOVERY
65,1741056063250,1741056063250,1,1,1741056183250,DISCOVERY
66,1741056402750,1741056402750,1,1,1741056522750,DISCOVERY
67,1741056668500,1741056785000,2,2,1741056905000,DISCOVERY
68,1741056927000,1741056927000,1,1,1741057047000,DISCOVERY
69,1741057143500,1741057548750,7,7,1741057668750,DISCOVERY
70,1741057810500,1741057891250,3,3,1741058011250,DISCOVERY
71,1741058067250,1741058067250,1,1,1741058187250,DISCOVERY
72,1741058402750,1741058614250,5,5,1741058734250,DISCOVERY
73,1741058840000,1741058840000,1,1,1741058960000,DISCOVERY
74,1741059038000,1741059116750,2,2,1741059236750,DISCOVERY
