event_id,symbol,direction,detection_time_msc,processing_time_msc,decision_delay_ms,burst_start_time_msc,burst_end_time_msc,burst_range,move_250ms,move_500ms,move_1000ms,move_2000ms,percentile_threshold,robust_z,efficiency,tick_count,tick_intensity_ratio,spread,spread_median,move_spread_ratio,max_retracement_pct,pullback_time_msc,reacceleration_time_msc,m15_trend,h1_trend,htf_alignment,session,news_label,continuation_eligible,continuation_result_r,reversal_eligible,reversal_result_r,price_5s,mfe_5s,mae_5s,price_10s,mfe_10s,mae_10s,price_20s,mfe_20s,mae_20s,price_30s,mfe_30s,mae_30s,price_60s,mfe_60s,mae_60s,price_120s,mfe_120s,mae_120s,stress_d0_s100_r,stress_d0_s125_r,stress_d0_s150_r,stress_d100_s100_r,stress_d100_s125_r,stress_d100_s150_r,stress_d250_s100_r,stress_d250_s125_r,stress_d250_s150_r,stress_d500_s100_r,stress_d500_s125_r,stress_d500_s150_r,final_event_status,skip_reason
"stage4_202503_full_event_final_USDJPY_1741009931560_1","USDJPY","LONG","1741009931560","1741009931800","240","1741009930560","1741009932039","0.07100000","0.02800000","0.05550000","0.07100000","0.10800000","0.01111500","95.10320","1.00000","4","2.00000","0.01600000","0.01800000","4.43750","42.958","1741009932913","0","UP","UP","BOTH_ALIGNED","OVERLAP","UNAVAILABLE","false","","false","","151.06500000","0.07100000","0.00000000","151.07100000","0.07100000","0.00000000","151.06100000","0.07100000","0.00000000","151.03350000","0.07100000","0.00000000","151.08050000","0.07900000","0.00000000","151.12400000","0.11100000","0.00000000","","","","","","","","","","","","","EXPIRED","no_reacceleration"
"stage4_202503_full_event_final_USDCAD_1741034882544_2","USDCAD","SHORT","1741034882544","1741034882549","5","1741034881544","1741034884758","0.00391000","0.00077000","0.00131500","0.00198000","0.00221500","0.00008650","266.42385","1.00000","5","2.50000","0.00032000","0.00027000","6.18750","62.788","1741034885071","0","NEUTRAL","NEUTRAL","NEUTRAL","NEW_YORK","UNAVAILABLE","false","","true","0.423077","1.44169500","0.00391000","0.00000000","1.44302500","0.00391000","0.00000000","1.44256500","0.00391000","0.00000000","1.44345500","0.00391000","0.00000000","1.44391000","0.00391000","0.00000000","1.44467000","0.00391000","0.00083500","","","","","","","","","","","","","REVERSAL_SHADOW_COMPLETE","continuation_invalidated"
"stage4_202503_full_event_final_USDCAD_1741038689696_3","USDCAD","LONG","1741038689696","1741038689772","76","1741038688696","1741038690441","0.00122000","0.00031500","0.00100500","0.00116500","0.00120500","0.00007000","156.48186","0.96680","4","2.00000","0.00026000","0.00027000","4.48077","51.230","0","0","NEUTRAL","NEUTRAL","NEUTRAL","NEW_YORK","UNAVAILABLE","false","","true","-1.000000","1.44336500","0.00122000","0.00000000","1.44330500","0.00122000","0.00000000","1.44641500","0.00333000","0.00000000","1.44695000","0.00539500","0.00000000","1.44702000","0.00542500","0.00000000","1.44781000","0.00547000","0.00000000","","","","","","","","","","","","","REVERSAL_SHADOW_COMPLETE","continuation_invalidated"
"stage4_202503_full_event_final_USDJPY_1741039537303_4","USDJPY","LONG","1741039537303","1741039537332","29","1741039536303","1741039538927","0.08500000","0.02700000","0.06100000","0.06600000","0.05650000","0.02346250","28.77827","0.83544","5","1.66667","0.01500000","0.01800000","4.40000","47.647","1741039539217","1741039545999","DOWN","NEUTRAL","CONFLICT","OTHER","UNAVAILABLE","false","-1.000000","false","","149.79300000","0.08500000","0.00000000","149.82700000","0.10250000","0.00000000","149.77800000","0.11800000","0.00000000","149.77300000","0.11800000","0.00000000","149.79800000","0.11800000","0.06250000","149.83050000","0.15750000","0.06250000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","-1.000000","EXECUTION_FILTERED","cost_too_large_vs_risk"
"stage4_202503_full_event_final_USDJPY_1741080792536_5","USDJPY","LONG","1741080792536","1741080792773","237","1741080791536","1741080793460","0.09450000","0.00150000","0.01400000","0.08700000","0.08650000","0.01912000","58.00621","0.98864","5","1.66667","0.01700000","0.01850000","5.11765","48.148","1741080796670","0","NEUTRAL","DOWN","CONFLICT","LONDON","UNAVAILABLE","false","","false","","149.21800000","0.10600000","0.00000000","149.21800000","0.10600000","0.00000000","149.20150000","0.10600000","0.00000000","149.19900000","0.10600000","0.00000000","149.24400000","0.10600000","0.00000000","149.29050000","0.19550000","0.00000000","","","","","","","","","","","","","EXPIRED","no_reacceleration"
"stage4_202503_full_event_final_USDCAD_1741103579938_6","USDCAD","SHORT","1741103579938","1741103580068","130","1741103578938","1741103580258","0.00089000","0.00040500","0.00046500","0.00089000","0.00111000","0.00014610","119.38486","1.00000","5","2.50000","0.00021000","0.00027000","4.23810","50.562","1741103580502","0","NEUTRAL","NEUTRAL","NEUTRAL","OVERLAP","UNAVAILABLE","false","","true","-0.600000","1.44478000","0.00089000","0.00000000","1.44497500","0.00089000","0.00000000","1.44518500","0.00089000","0.00001500","1.44524000","0.00089000","0.00006500","1.44508500","0.00089000","0.00019500","1.44460500","0.00089000","0.00019500","","","","","","","","","","","","","REVERSAL_SHADOW_COMPLETE","continuation_invalidated"
"stage4_202503_full_event_final_USDCAD_1741105606541_7","USDCAD","SHORT","1741105606541","1741105606698","157","1741105605541","1741105607314","0.00098500","0.00034000","0.00089500","0.00090000","0.00118500","0.00012980","60.02968","0.94737","5","2.50000","0.00021000","0.00026500","4.28571","56.853","1741105607558","0","NEUTRAL","NEUTRAL","NEUTRAL","OVERLAP","UNAVAILABLE","false","","true","-1.000000","1.44434000","0.00132500","0.00000000","1.44445500","0.00173000","0.00000000","1.44501500","0.00173000","0.00000000","1.44526000","0.00173000","0.00000000","1.44531500","0.00173000","0.00000000","1.44530000","0.00173000","0.00000000","","","","","","","","","","","","","REVERSAL_SHADOW_COMPLETE","continuation_invalidated"
"stage4_202503_full_event_final_USDCAD_1741117258114_8","USDCAD","LONG","1741117258114","1741117258271","157","1741117257114","1741117259739","0.00140000","0.00002000","0.00049500","0.00124000","0.00123500","0.00010000","166.59922","1.00000","4","2.00000","0.00027000","0.00026500","4.59259","27.143","1741117260171","1741117263764","UP","UP","BOTH_ALIGNED","NEW_YORK","UNAVAILABLE","false","1.202381","false","","1.45201000","0.00140000","0.00000000","1.45255500","0.00239500","0.00000000","1.45216000","0.00239500","0.00000000","1.45355500","0.00299500","0.00000000","1.45320000","0.00369500","0.00000000","1.45273500","0.00369500","0.00000000","1.202381","1.198895","1.204082","1.197674","1.205405","1.200000","1.197674","1.205405","1.200000","1.193548","1.197487","1.200647","EXECUTION_FILTERED","cost_too_large_vs_risk"
"stage4_202503_full_event_final_USDCAD_1741129768157_9","USDCAD","SHORT","1741129768157","1741129768472","315","1741129767157","1741129769535","0.00165500","0.00058500","0.00081500","0.00095000","0.00078000","0.00023972","127.47875","1.00000","5","2.50000","0.00022000","0.00029500","4.31818","59.517","1741129770787","0","NEUTRAL","NEUTRAL","NEUTRAL","OTHER","UNAVAILABLE","false","","true","-1.000000","1.44526000","0.00165500","0.00000000","1.44571000","0.00165500","0.00000000","1.44532000","0.00165500","0.00000000","1.44602000","0.00165500","0.00000000","1.44624500","0.00165500","0.00015000","1.44423000","0.00198500","0.00041000","","","","","","","","","","","","","REVERSAL_SHADOW_COMPLETE","continuation_invalidated"
"stage4_202503_full_event_final_USDCAD_1741129890187_10","USDCAD","SHORT","1741129890187","1741129890296","109","1741129889187","1741129890951","0.00097000","0.00044500","0.00047000","0.00094000","0.00094500","0.00054650","126.12977","0.98947","4","2.00000","0.00022000","0.00028500","4.27273","12.887","0","0","NEUTRAL","NEUTRAL","NEUTRAL","OTHER","UNAVAILABLE","false","","false","","1.44269000","0.00199500","0.00000000","1.44237500","0.00199500","0.00000000","1.44147500","0.00292000","0.00000000","1.44161500","0.00292000","0.00000000","1.44376500","0.00292000","0.00000000","1.44299000","0.00292000","0.00000000","","","","","","","","","","","","","EXPIRED","pullback_too_shallow"
