trade_index,time,close_time,symbol,direction,month,session,entry_price,close_price,sl,tp,result_R,net_profit,scan_driver_symbol,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_2R,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h4_fib_retracement_pct,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,h1_counter_wave_atr,bos_level_type,true_bos_level,m15_trigger_type,room_to_1r,room_to_2r,nearest_obstacle_type,nearest_obstacle_price,sl_atr,distance_bos_to_entry_atr,distance_neckline_to_entry_atr,label,cond_h4_bias_ma,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_room_to_2r,cond_h4_dow_bias,cond_m15_close_bos,cond_room_to_1r,cond_sl_atr_ok,source_scenario,h1_counter_wave_atr_bucket,h4_fib_bucket,round_number_level,round_number_distance,round_number_room_to_2r,cond_major_or_round_room_to_2r,scenario
1,2025.01.03 19:35:00,2025.01.03 22:42:45,EURJPY,SHORT,2025-01,server_16_23,161.771,162.014,162.011,161.291,-1.013,-49.44,USDJPY,0.375,1.562,false,false,false,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.6,last_higher_low,161.685,m15_true_bos_close,1.64,0.82,h1_counter_low,161.377,1.53,0.0,0.55,condition_factorial_candidate,true,false,true,true,true,true,false,false,true,true,true,true,A_current_broad_fx_only,deep,unknown,161.0,0.771,true,false,A_current_broad_fx_only
2,2025.01.06 15:35:00,2025.01.06 15:41:57,GBPJPY,SHORT,2025-01,server_08_15,195.964,196.264,196.264,195.364,-1.0,-47.88,USDJPY,0.113,1.313,false,false,false,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.73,last_higher_low,196.016,m15_prev_extreme_bos,0.8,0.4,h4_impulse_low,195.724,0.98,0.0,0.17,condition_factorial_candidate,true,true,true,true,true,true,true,false,false,false,false,true,A_current_broad_fx_only,deep,unknown,195.0,0.964,true,false,A_current_broad_fx_only
3,2025.01.09 17:50:00,2025.01.10 06:33:05,USDJPY,LONG,2025-01,server_16_23,157.935,158.326,157.74,158.325,2.005,100.7,USDJPY,2.369,0.118,true,true,true,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.7,last_lower_high,158.277,m15_prev_extreme_bos,2.43,1.22,h4_impulse_high,158.409,1.91,0.0,3.36,condition_factorial_candidate,true,true,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,158.0,0.065,false,false,A_current_broad_fx_only
4,2025.01.20 02:35:00,2025.01.20 12:42:08,USDJPY,SHORT,2025-01,server_00_07,156.122,156.384,156.384,155.598,-1.0,-50.26,USDJPY,1.611,1.057,true,true,false,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.76,last_higher_low,156.097,m15_prev_extreme_bos,2.19,1.09,h1_counter_low,155.549,2.07,0.0,0.2,condition_factorial_candidate,true,true,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,156.0,0.122,false,false,A_current_broad_fx_only
5,2025.01.20 19:35:00,2025.01.20 21:48:27,GBPUSD,SHORT,2025-01,server_16_23,1.22868,1.23279,1.23276,1.22052,-1.007,-49.32,USDJPY,0.527,1.39,true,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.6,last_higher_low,1.21818,m15_prev_extreme_bos,2.99,1.5,h1_counter_low,1.21647,1.87,0.0,4.81,condition_factorial_candidate,false,false,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,1.22,0.00868,true,true,A_current_broad_fx_only
6,2025.01.30 19:20:00,2025.01.30 22:27:47,GBPUSD,SHORT,2025-01,server_16_23,1.24411,1.2464,1.24638,1.23957,-1.009,-48.09,USDJPY,1.511,0.978,true,true,false,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,1.75,weak_higher_low,1.24237,m15_prev_extreme_bos,0.77,0.38,h1_counter_low,1.24237,1.76,0.0,1.35,condition_factorial_candidate,false,true,true,false,true,true,true,false,true,false,false,true,A_current_broad_fx_only,normal,unknown,1.24,0.00411,false,false,A_current_broad_fx_only
7,2025.01.31 17:05:00,2025.01.31 18:10:00,USDJPY,SHORT,2025-01,server_16_23,154.662,154.944,154.944,154.098,-1.0,-49.14,USDJPY,0.507,1.067,true,false,false,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.87,last_higher_low,154.479,m15_prev_extreme_bos,2.68,1.34,h1_counter_low,153.906,1.97,0.0,1.28,condition_factorial_candidate,true,false,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,154.0,0.662,true,true,A_current_broad_fx_only
8,2025.02.04 17:20:00,2025.02.05 01:46:44,EURJPY,SHORT,2025-02,server_16_23,160.423,159.919,160.674,159.921,2.008,95.71,USDJPY,2.331,0.721,true,true,true,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.01,last_higher_low,160.172,m15_prev_extreme_bos,2.12,1.06,h4_impulse_low,159.892,1.58,0.0,1.58,condition_factorial_candidate,true,false,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,160.0,0.423,false,false,A_current_broad_fx_only
9,2025.02.07 17:35:00,2025.02.07 18:40:15,EURUSD,SHORT,2025-02,server_16_23,1.03767,1.03281,1.0401,1.03281,2.0,97.2,USDJPY,2.296,0.374,true,true,true,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,1.74,weak_higher_low,1.03719,m15_true_bos_close,0.2,0.1,h1_counter_low,1.03719,1.81,0.0,0.36,condition_factorial_candidate,true,true,true,false,true,true,false,false,false,true,false,true,A_current_broad_fx_only,normal,unknown,1.03,0.00767,true,false,A_current_broad_fx_only
10,2025.02.19 19:50:00,2025.02.19 21:08:21,USDJPY,LONG,2025-02,server_16_23,151.744,151.524,151.525,152.182,-1.005,-50.82,USDJPY,0.361,1.644,false,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.37,weak_lower_high,151.948,m15_prev_extreme_bos,0.93,0.47,h1_counter_high,151.948,1.84,0.0,1.72,condition_factorial_candidate,false,false,true,false,true,true,true,false,true,false,false,true,A_current_broad_fx_only,normal,unknown,152.0,0.256,false,false,A_current_broad_fx_only
11,2025.02.24 16:50:00,2025.02.24 17:06:13,USDJPY,SHORT,2025-02,server_16_23,149.423,149.257,149.506,149.257,2.0,100.1,USDJPY,2.434,1.133,true,true,true,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.5,last_higher_low,149.226,m15_prev_extreme_bos,2.04,1.02,h4_impulse_low,149.254,0.61,0.0,1.45,condition_factorial_candidate,true,true,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,149.0,0.423,true,true,A_current_broad_fx_only
12,2025.03.06 17:20:00,2025.03.07 05:00:24,GBPJPY,LONG,2025-03,server_16_23,190.787,190.084,190.088,192.185,-1.006,-46.73,USDJPY,1.013,1.139,true,true,false,none,ma_bias_pass,dow_bias_pass,too_shallow_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,5.39,last_lower_high,192.513,m15_prev_extreme_bos,2.17,1.09,h4_impulse_high,192.307,1.89,0.0,4.67,condition_factorial_candidate,true,false,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,191.0,0.213,false,false,A_current_broad_fx_only
13,2025.03.10 14:05:00,2025.03.11 10:42:27,EURUSD,LONG,2025-03,server_08_15,1.08302,1.08858,1.08024,1.08858,2.0,93.37,USDJPY,2.536,0.662,true,true,true,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.57,last_lower_high,1.0844,m15_true_bos_close,1.45,0.72,h1_counter_high,1.08705,2.0,0.0,0.99,condition_factorial_candidate,true,true,true,true,true,true,false,false,true,true,true,true,A_current_broad_fx_only,deep,unknown,1.09,0.00698,true,false,A_current_broad_fx_only
14,2025.03.10 19:20:00,2025.03.11 11:45:08,EURJPY,LONG,2025-03,server_16_23,159.396,160.496,158.848,160.492,2.007,95.95,USDJPY,2.631,0.786,true,true,true,none,ma_bias_pass,dow_bias_fail,too_shallow_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.29,last_lower_high,160.217,m15_prev_extreme_bos,1.76,0.88,h1_counter_high,160.362,2.11,0.0,3.15,condition_factorial_candidate,true,false,true,true,true,true,true,false,false,false,true,true,A_current_broad_fx_only,deep,unknown,160.0,0.604,false,false,A_current_broad_fx_only
15,2025.03.14 12:20:00,2025.03.14 13:44:55,EURUSD,LONG,2025-03,server_08_15,1.08511,1.08901,1.08317,1.08899,2.01,101.4,USDJPY,3.129,0.258,true,true,true,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.31,last_lower_high,1.08507,m15_true_bos_close,0.35,0.17,h1_counter_high,1.08578,2.14,0.0,0.04,condition_factorial_candidate,true,false,true,true,true,true,false,false,false,true,false,true,A_current_broad_fx_only,deep,unknown,1.09,0.00489,true,false,A_current_broad_fx_only
16,2025.03.17 18:35:00,2025.03.18 02:00:05,GBPJPY,LONG,2025-03,server_16_23,192.849,193.985,192.294,193.959,2.047,99.46,USDJPY,2.085,0.177,true,true,true,none,ma_bias_pass,dow_bias_fail,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,0.46,weak_lower_high,192.835,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,2.15,0.0,0.05,condition_factorial_candidate,true,false,true,false,false,true,false,true,false,true,true,true,A_current_broad_fx_only,small,unknown,193.0,0.151,false,false,A_current_broad_fx_only
17,2025.03.21 11:35:00,2025.03.21 11:54:00,EURJPY,SHORT,2025-03,server_08_15,161.623,161.933,161.932,161.005,-1.003,-51.92,USDJPY,0.107,1.311,false,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.79,last_higher_low,161.536,m15_prev_extreme_bos,1.09,0.55,h1_counter_low,161.285,2.02,0.0,0.57,condition_factorial_candidate,false,false,true,true,true,true,true,false,true,false,true,true,A_current_broad_fx_only,deep,unknown,161.0,0.623,true,false,A_current_broad_fx_only
18,2025.03.24 12:35:00,2025.03.24 13:37:40,EURJPY,SHORT,2025-03,server_08_15,161.961,162.339,162.338,161.207,-1.003,-50.65,USDJPY,0.082,1.066,false,false,false,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,6.65,last_higher_low,161.981,m15_prev_extreme_bos,3.27,1.64,h4_impulse_low,160.727,1.97,0.0,0.1,condition_factorial_candidate,false,true,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,161.0,0.961,true,true,A_current_broad_fx_only
19,2025.04.02 23:35:00,2025.04.02 23:40:01,GBPJPY,SHORT,2025-04,server_16_23,194.644,194.014,194.955,194.022,2.026,101.3,USDJPY,3.299,1.254,true,true,true,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,4.55,weak_higher_low,192.969,m15_prev_extreme_bos,5.39,2.69,h1_counter_low,192.969,0.85,0.0,4.59,condition_factorial_candidate,false,false,true,false,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,194.0,0.644,true,true,A_current_broad_fx_only
20,2025.04.02 23:35:00,2025.04.03 01:11:01,EURJPY,SHORT,2025-04,server_16_23,162.248,160.606,163.066,160.612,2.007,97.26,USDJPY,2.616,0.351,true,true,true,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,5.12,weak_higher_low,161.099,m15_prev_extreme_bos,1.4,0.7,h1_counter_low,161.099,2.08,0.0,2.92,condition_factorial_candidate,false,false,true,false,true,true,true,false,true,false,true,true,A_current_broad_fx_only,deep,unknown,162.0,0.248,false,false,A_current_broad_fx_only
21,2025.04.02 23:50:00,2025.04.03 01:12:49,GBPJPY,SHORT,2025-04,server_16_23,194.163,192.563,194.963,192.563,2.0,92.36,USDJPY,2.351,0.287,true,true,true,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,4.55,weak_higher_low,192.969,m15_prev_extreme_bos,1.49,0.75,h1_counter_low,192.969,1.75,0.0,2.62,condition_factorial_candidate,false,false,true,false,true,true,true,false,true,false,true,true,A_current_broad_fx_only,deep,unknown,194.0,0.163,false,false,A_current_broad_fx_only
22,2025.04.07 18:35:00,2025.04.07 18:43:40,AUDJPY,SHORT,2025-04,server_16_23,88.127,88.622,88.613,87.155,-1.019,-53.06,USDJPY,0.372,1.171,false,false,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.1,last_higher_low,87.074,m15_prev_extreme_bos,4.15,2.07,h1_counter_low,86.112,0.68,0.0,1.46,condition_factorial_candidate,true,false,true,true,true,true,true,true,false,false,true,true,A_current_broad_fx_only,deep,unknown,88.0,0.127,false,false,A_current_broad_fx_only
23,2025.04.08 16:50:00,2025.04.08 18:27:25,USDJPY,LONG,2025-04,server_16_23,147.309,146.941,146.942,148.043,-1.003,-52.59,USDJPY,0.954,1.166,true,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.25,last_lower_high,147.509,m15_prev_extreme_bos,0.32,0.16,h4_impulse_high,147.427,1.52,0.0,0.83,condition_factorial_candidate,false,false,true,true,true,true,true,false,true,false,false,true,A_current_broad_fx_only,deep,unknown,148.0,0.691,false,false,A_current_broad_fx_only
24,2025.04.09 11:05:00,2025.04.09 12:50:34,EURUSD,SHORT,2025-04,server_08_15,1.10054,1.10415,1.1041,1.09342,-1.014,-50.54,USDJPY,0.228,1.452,false,false,false,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,3.89,weak_higher_low,1.08879,m15_prev_extreme_bos,2.97,1.48,h4_impulse_low,1.08998,1.73,0.0,5.7,condition_factorial_candidate,false,true,true,false,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,1.1,0.00054,false,false,A_current_broad_fx_only
25,2025.04.09 10:20:00,2025.04.10 03:57:52,GBPUSD,SHORT,2025-04,server_08_15,1.28095,1.28472,1.2847,1.27345,-1.005,-49.49,USDJPY,1.787,0.973,true,true,false,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.52,last_higher_low,1.27525,m15_prev_extreme_bos,1.78,0.89,h1_counter_low,1.27429,1.96,0.0,2.98,condition_factorial_candidate,true,true,true,true,true,true,true,false,false,false,true,true,A_current_broad_fx_only,deep,unknown,1.28,0.00095,false,false,A_current_broad_fx_only
26,2025.04.14 19:05:00,2025.04.14 19:19:28,GBPJPY,SHORT,2025-04,server_16_23,188.341,188.557,188.554,187.915,-1.014,-51.44,USDJPY,1.0,1.324,true,true,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.9,last_higher_low,187.187,m15_prev_extreme_bos,8.33,4.16,h1_counter_low,186.567,0.79,0.0,4.28,condition_factorial_candidate,true,false,true,true,true,true,true,true,false,false,true,true,A_current_broad_fx_only,deep,unknown,188.0,0.341,false,false,A_current_broad_fx_only
27,2025.04.17 13:20:00,2025.04.21 00:14:31,USDJPY,SHORT,2025-04,server_08_15,142.536,141.852,142.874,141.86,2.024,100.62,USDJPY,2.725,0.509,true,true,true,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,3.78,weak_higher_low,141.604,m15_prev_extreme_bos,2.76,1.38,h1_counter_low,141.604,2.06,0.0,5.69,condition_factorial_candidate,true,false,true,false,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,142.0,0.536,false,false,A_current_broad_fx_only
28,2025.04.22 17:05:00,2025.04.23 01:00:02,EURJPY,LONG,2025-04,server_16_23,161.538,162.256,161.21,162.194,2.189,111.67,USDJPY,2.796,0.595,true,true,true,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.71,last_lower_high,161.701,m15_prev_extreme_bos,2.32,1.16,h1_counter_high,162.299,2.17,0.0,1.08,condition_factorial_candidate,false,false,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,162.0,0.462,false,false,A_current_broad_fx_only
29,2025.05.05 18:35:00,2025.05.06 10:00:36,GBPUSD,SHORT,2025-05,server_16_23,1.32912,1.33081,1.33079,1.32578,-1.012,-52.77,USDJPY,1.91,1.754,true,true,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,2.57,weak_higher_low,1.32507,m15_prev_extreme_bos,1.9,0.95,h4_impulse_low,1.32594,1.58,0.0,3.83,condition_factorial_candidate,false,false,true,false,true,true,true,false,true,false,true,true,A_current_broad_fx_only,deep,unknown,1.32,0.00912,true,false,A_current_broad_fx_only
30,2025.06.03 17:35:00,2025.06.04 08:32:41,GBPUSD,LONG,2025-06,server_16_23,1.35274,1.35089,1.35089,1.35644,-1.0,-52.05,USDJPY,0.881,1.481,true,false,false,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.08,last_lower_high,1.35367,m15_prev_extreme_bos,1.67,0.84,h1_counter_high,1.35583,1.66,0.0,0.83,condition_factorial_candidate,true,false,true,true,true,true,true,false,true,false,true,true,A_current_broad_fx_only,deep,unknown,1.36,0.00726,true,false,A_current_broad_fx_only
31,2025.06.18 22:35:00,2025.06.19 03:14:19,USDJPY,LONG,2025-06,server_16_23,145.092,144.835,144.835,145.606,-1.0,-45.29,USDJPY,0.455,1.008,false,false,false,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,1.18,last_lower_high,144.96,m15_true_bos_close,0.05,0.02,h4_impulse_high,145.104,1.72,0.0,0.89,condition_factorial_candidate,true,true,true,true,true,true,false,false,true,true,false,true,A_current_broad_fx_only,normal,unknown,146.0,0.908,true,false,A_current_broad_fx_only
32,2025.06.27 05:05:00,2025.06.27 07:33:44,USDJPY,SHORT,2025-06,server_00_07,144.226,144.545,144.545,143.588,-1.0,-50.76,USDJPY,0.11,1.116,false,false,false,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.86,last_higher_low,144.047,m15_prev_extreme_bos,1.5,0.75,h1_counter_low,143.747,1.87,0.0,1.05,condition_factorial_candidate,false,true,true,true,true,true,true,false,true,false,true,true,A_current_broad_fx_only,deep,unknown,144.0,0.226,false,false,A_current_broad_fx_only
33,2025.06.27 19:50:00,2025.06.27 20:19:28,USDJPY,SHORT,2025-06,server_16_23,144.606,144.698,144.697,144.424,-1.011,-52.14,USDJPY,0.582,2.956,true,false,false,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,1.93,last_higher_low,144.354,m15_prev_extreme_bos,4.8,2.4,h1_counter_low,144.169,0.62,0.0,1.72,condition_factorial_candidate,true,true,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,normal,unknown,144.0,0.606,true,true,A_current_broad_fx_only
34,2025.07.03 13:20:00,2025.07.03 13:46:45,GBPUSD,SHORT,2025-07,server_08_15,1.36549,1.36673,1.36672,1.36303,-1.008,-50.84,USDJPY,0.659,1.008,true,false,false,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,2.57,weak_higher_low,1.36225,m15_prev_extreme_bos,2.63,1.32,h1_counter_low,1.36225,1.11,0.0,2.93,condition_factorial_candidate,false,true,true,false,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,1.36,0.00549,true,true,A_current_broad_fx_only
35,2025.07.14 06:35:00,2025.07.15 02:07:44,USDJPY,LONG,2025-07,server_00_07,147.336,147.824,147.093,147.822,2.008,100.58,USDJPY,2.255,0.979,true,true,true,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.53,weak_lower_high,147.566,m15_prev_extreme_bos,0.95,0.47,h1_counter_high,147.566,2.12,0.0,2.01,condition_factorial_candidate,true,false,true,false,true,true,true,false,true,false,false,true,A_current_broad_fx_only,normal,unknown,148.0,0.664,true,false,A_current_broad_fx_only
36,2025.07.18 04:05:00,2025.07.18 15:13:59,USDJPY,LONG,2025-07,server_00_07,148.543,148.356,148.358,148.913,-1.011,-51.68,USDJPY,1.795,1.243,true,true,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.32,last_lower_high,148.748,m15_prev_extreme_bos,2.89,1.44,h1_counter_high,149.077,1.87,0.0,2.07,condition_factorial_candidate,true,false,true,true,true,true,true,true,false,false,true,true,A_current_broad_fx_only,deep,unknown,149.0,0.457,true,true,A_current_broad_fx_only
37,2025.07.18 19:35:00,2025.07.21 05:04:20,EURUSD,SHORT,2025-07,server_16_23,1.16364,1.16156,1.16468,1.16156,2.0,103.45,USDJPY,2.173,0.106,true,true,true,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.22,last_higher_low,1.16112,m15_prev_extreme_bos,5.51,2.75,h1_counter_low,1.15791,0.98,0.0,2.37,condition_factorial_candidate,true,false,true,true,true,true,true,true,false,false,true,true,A_current_broad_fx_only,deep,unknown,1.16,0.00364,true,true,A_current_broad_fx_only
38,2025.07.22 12:05:00,2025.07.22 15:01:00,USDJPY,SHORT,2025-07,server_08_15,147.533,147.152,147.721,147.157,2.027,103.57,USDJPY,2.553,0.404,true,true,true,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.68,last_higher_low,147.198,m15_prev_extreme_bos,2.46,1.23,h1_counter_low,147.071,1.83,0.0,3.27,condition_factorial_candidate,false,false,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,147.0,0.533,true,true,A_current_broad_fx_only
39,2025.07.24 17:20:00,2025.07.24 18:12:56,EURUSD,LONG,2025-07,server_16_23,1.17822,1.1759,1.17593,1.1828,-1.013,-51.04,USDJPY,0.249,1.214,false,false,false,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,0.92,weak_lower_high,1.17793,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,1.83,0.0,0.23,condition_factorial_candidate,true,false,true,false,false,true,true,true,true,true,true,true,A_current_broad_fx_only,small,unknown,1.18,0.00178,false,false,A_current_broad_fx_only
40,2025.08.04 18:35:00,2025.08.05 19:30:05,GBPUSD,SHORT,2025-08,server_16_23,1.32859,1.3315,1.3315,1.32277,-1.0,-49.68,USDJPY,0.924,1.017,true,false,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.84,last_higher_low,1.32636,m15_prev_extreme_bos,1.14,0.57,h1_counter_low,1.32526,1.91,0.0,1.46,condition_factorial_candidate,true,false,true,true,true,true,true,false,false,false,true,true,A_current_broad_fx_only,deep,unknown,1.32,0.00859,true,false,A_current_broad_fx_only
41,2025.08.15 18:50:00,2025.08.18 09:28:20,GBPUSD,LONG,2025-08,server_16_23,1.35658,1.35426,1.35426,1.36122,-1.0,-51.24,USDJPY,0.0,1.129,false,false,false,none,ma_bias_pass,dow_bias_pass,too_shallow_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,0.0,weak_lower_high,1.35594,m15_true_bos_close,1.22,0.61,h4_impulse_high,1.35941,2.14,0.0,0.59,condition_factorial_candidate,true,false,true,false,false,true,false,false,true,true,true,true,A_current_broad_fx_only,unknown,unknown,1.36,0.00342,false,false,A_current_broad_fx_only
42,2025.08.19 12:35:00,2025.08.19 13:24:00,USDJPY,LONG,2025-08,server_08_15,147.783,147.599,147.599,148.151,-1.0,-51.11,USDJPY,0.011,1.033,false,false,false,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.83,weak_lower_high,148.105,m15_prev_extreme_bos,0.93,0.46,h4_impulse_high,147.954,2.19,0.0,3.84,condition_factorial_candidate,true,false,true,false,true,true,true,false,true,false,false,true,A_current_broad_fx_only,normal,unknown,148.0,0.217,false,false,A_current_broad_fx_only
43,2025.08.20 11:05:00,2025.08.20 13:15:48,USDJPY,LONG,2025-08,server_08_15,147.583,147.4,147.403,147.943,-1.017,-52.14,USDJPY,0.311,1.233,false,false,false,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.39,weak_lower_high,147.811,m15_prev_extreme_bos,1.27,0.63,h1_counter_high,147.811,1.7,0.0,2.16,condition_factorial_candidate,true,true,true,false,true,true,true,false,false,false,true,true,A_current_broad_fx_only,normal,unknown,148.0,0.417,true,false,A_current_broad_fx_only
44,2025.08.26 05:50:00,2025.08.27 07:20:10,USDJPY,SHORT,2025-08,server_00_07,147.571,147.947,147.947,146.819,-1.0,-53.23,USDJPY,1.277,0.989,true,true,false,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.76,last_higher_low,147.633,m15_true_bos_close,0.77,0.39,h1_counter_low,147.281,2.19,0.0,0.36,condition_factorial_candidate,true,false,true,true,true,true,false,false,false,true,false,true,A_current_broad_fx_only,deep,unknown,147.0,0.571,false,false,A_current_broad_fx_only
