time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor
2025.10.02 06:00:00,order_attempt,XAUUSD,LONG,server_00_07,0,,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,3866.29,3861.31,3872.27,0.10,4.98,1.20,498.0,0.97,598.0,1.17,3865.17,3866.15,3861.57,4,0.22,0.92,0.0351,18.0,100.39,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.19,98.0,0.40,0.24,0.61,0.39,0.61,14,false,not_evaluated,,0.00,false,false,false
2025.10.02 06:00:00,order_sent,XAUUSD,LONG,server_00_07,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,3866.29,3861.31,3872.27,0.10,4.98,1.20,498.0,0.97,598.0,1.17,3865.17,3866.15,3861.57,4,0.22,0.92,0.0351,18.0,100.39,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.19,98.0,0.40,0.24,0.61,0.39,0.61,14,false,not_evaluated,,0.00,false,false,false
2025.10.02 06:15:00,order_blocked,XAUUSD,LONG,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,3869.16,3861.33,3878.56,0.06,7.83,1.20,783.0,1.63,940.0,1.96,3865.17,3868.97,3861.57,5,0.83,1.58,0.0374,18.0,63.05,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.79,380.0,0.73,0.60,0.82,0.01,0.99,13,false,not_evaluated,,0.00,false,false,false
2025.10.02 06:30:00,order_blocked,XAUUSD,LONG,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,3867.38,3861.34,3874.63,0.08,6.04,1.20,604.0,1.30,725.0,1.56,3865.17,3867.17,3861.57,6,0.47,1.25,0.0386,18.0,65.32,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.43,200.0,0.72,0.39,0.54,0.18,0.10,14,false,not_evaluated,,0.00,false,false,false
2025.10.02 07:00:00,order_blocked,XAUUSD,LONG,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_initial,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,3866.73,3861.35,3873.19,0.09,5.38,1.20,538.0,1.24,646.0,1.48,3865.17,3866.52,3861.57,8,0.36,1.19,0.0414,18.0,92.71,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.31,135.0,0.67,0.43,0.65,0.22,0.78,13,false,not_evaluated,,0.00,false,false,false
2025.10.10 15:04:59,order_attempt,XAUUSD,SHORT,server_08_15,0,,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,3988.12,4000.46,3973.31,0.04,12.34,1.20,1234.0,1.62,1481.0,1.94,3990.81,3987.09,4000.08,6,0.35,1.57,0.0249,19.0,98.84,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.49,372.0,0.45,0.69,1.53,0.30,0.70,7,false,not_evaluated,,0.00,false,false,false
2025.10.10 15:04:59,order_sent,XAUUSD,SHORT,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,3988.12,4000.46,3973.31,0.04,12.34,1.20,1234.0,1.62,1481.0,1.94,3990.81,3987.09,4000.08,6,0.35,1.57,0.0249,19.0,98.84,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.49,372.0,0.45,0.69,1.53,0.30,0.70,7,false,not_evaluated,,0.00,false,false,false
2025.10.10 15:19:59,order_blocked,XAUUSD,SHORT,server_08_15,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,3992.74,4000.47,3983.46,0.06,7.73,1.20,773.0,1.00,928.0,1.20,3990.81,3988.46,4000.08,7,0.25,0.95,0.0233,18.0,68.07,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.30,235.0,0.21,0.17,0.82,0.32,0.47,8,false,not_evaluated,,0.00,false,false,false
2025.10.16 16:34:59,order_attempt,USDJPY,SHORT,server_16_23,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,151.210,151.387,150.998,0.43,0.177,1.20,177.0,1.54,212.0,1.84,151.154,151.138,151.367,8,0.49,1.36,0.1736,20.0,66.82,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.14,16.0,0.18,0.17,0.96,0.28,0.54,12,false,not_evaluated,,0.00,false,false,false
2025.10.16 16:34:59,order_sent,USDJPY,SHORT,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,151.210,151.387,150.998,0.43,0.177,1.20,177.0,1.54,212.0,1.84,151.154,151.138,151.367,8,0.49,1.36,0.1736,20.0,66.82,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.14,16.0,0.18,0.17,0.96,0.28,0.54,12,false,not_evaluated,,0.00,false,false,false
2025.10.17 23:34:59,order_attempt,XAUUSD,LONG,server_16_23,0,,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,4244.13,4211.75,4282.99,0.01,32.38,1.20,3238.0,2.07,3886.0,2.48,4244.63,4245.63,4212.53,5,0.03,2.02,0.0192,30.0,103.36,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.06,100.0,0.89,0.86,0.96,0.04,0.96,9,false,not_evaluated,,0.00,false,false,false
2025.10.17 23:34:59,order_sent,XAUUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,4244.13,4211.75,4282.99,0.01,32.38,1.20,3238.0,2.07,3886.0,2.48,4244.63,4245.63,4212.53,5,0.03,2.02,0.0192,30.0,103.36,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.06,100.0,0.89,0.86,0.96,0.04,0.96,9,false,not_evaluated,,0.00,false,false,false
2025.10.20 01:49:59,order_blocked,XAUUSD,LONG,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,4261.93,4239.22,4289.18,0.02,22.71,1.20,2271.0,1.66,2725.0,2.00,4252.89,4256.95,4239.90,3,0.66,1.61,0.0227,31.0,68.36,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.30,406.0,0.22,0.22,1.00,0.00,0.78,3,false,not_evaluated,,0.00,false,false,false
2025.10.20 02:04:59,order_blocked,XAUUSD,LONG,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,4254.91,4239.23,4273.73,0.03,15.68,1.20,1568.0,1.18,1882.0,1.41,4252.89,4255.69,4239.90,4,0.15,1.13,0.0225,30.0,74.49,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.21,280.0,0.14,0.09,0.63,0.60,0.25,3,false,not_evaluated,,0.00,false,false,false
2025.10.20 09:19:59,order_attempt,USDJPY,SHORT,server_08_15,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,150.705,150.902,150.469,0.38,0.197,1.20,197.0,2.08,236.0,2.49,150.804,150.647,150.887,14,1.04,1.92,0.1583,15.0,43.30,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,1.66,157.0,0.04,0.04,0.95,0.69,0.27,8,false,not_evaluated,,0.00,false,false,false
2025.10.20 09:19:59,order_sent,USDJPY,SHORT,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,150.705,150.902,150.469,0.38,0.197,1.20,197.0,2.08,236.0,2.49,150.804,150.647,150.887,14,1.04,1.92,0.1583,15.0,43.30,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,1.66,157.0,0.04,0.04,0.95,0.69,0.27,8,false,not_evaluated,,0.00,false,false,false
