open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5,period,run,scenario,branch,entry_selection_mode,trade_index,month,hour,session,fx_bucket,elapsed_seconds,diag_time,diag_event,diag_symbol,diag_direction,diag_session,diag_order_retcode,diag_order_comment,diag_strategy_name,diag_label,diag_fail_reason,diag_execution_block_reason,diag_fib_zone,diag_h4_trend_state,diag_h1_counter_trend_state,diag_neckline_break_label,diag_entry_price,diag_sl,diag_tp,diag_volume,diag_risk_r,diag_rr,diag_sl_points,diag_sl_atr,diag_tp_points,diag_tp_atr,diag_neckline_price,diag_neckline_break_close_price,diag_right_side_level,diag_bars_since_right_side,diag_distance_neckline_to_entry_atr,diag_distance_right_side_to_entry_atr,diag_spread_atr,diag_spread_points,diag_quality_score,signal_time,signal_event,signal_symbol,signal_direction,signal_session,signal_entry_selection_mode,signal_scan_interval,signal_strategy_name,signal_label,signal_fail_reason,signal_execution_block_reason,signal_fib_zone,signal_h4_trend_state,signal_h1_counter_trend_state,signal_neckline_break_label,signal_h4_impulse_pass,signal_h4_pullback_zone_pass,signal_h1_counter_trend_pass,signal_neckline_pass,signal_structure_sl_pass,signal_rr_pass,signal_spread_guard_pass,signal_spread_guard_blocked,signal_setup_pass,signal_entry_pass,signal_final_entry_pass,signal_h4_impulse_high,signal_h4_impulse_low,signal_h4_fib_retracement_pct,signal_h4_atr,signal_h1_atr,signal_m15_atr,signal_spread_atr,signal_spread_points,signal_neckline_price,signal_neckline_break_close_price,signal_right_side_level,signal_entry_price,signal_sl,signal_tp,signal_volume,signal_risk_r,signal_rr,signal_bars_since_right_side,signal_distance_neckline_to_entry,signal_distance_neckline_to_entry_atr,signal_distance_right_side_to_entry,signal_distance_right_side_to_entry_atr,signal_sl_points,signal_sl_atr,signal_tp_points,signal_tp_atr,signal_quality_score,label,fib_zone,neckline_break_label,retest_quality,breakout_quality_label,breakout_quality_reason,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,false_break_return_inside_neckline_diag,entry_price_diag,sl,tp,risk_r,rr,sl_atr,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,quality_score,result_R,final_result_R,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,time_to_SL,did_price_reverse_after_1R,did_price_reverse_after_1_5R,would_1R_take_profit_help,would_1_5R_take_profit_help,would_2R_take_profit_work,false_break_return_inside_neckline,false_break_return_bars,immediate_retest_within_4_bars,breakout_body_points,breakout_wick_ratio,breakout_close_strength,close_position_in_bar,breakout_volume_proxy,m15_atr_proxy,neckline_source_type,neckline_age_bars,neckline_range_points,neckline_range_atr,right_shoulder_or_right_bottom_distance_points,right_shoulder_or_right_bottom_distance_atr,entry_close_distance_from_neckline_points,entry_close_distance_from_neckline_atr,bars_since_pattern_completed,bars_since_neckline_defined,bars_since_counter_trend_nwave_completed,failure_type,winning_type,setup_failure_layer,diag_retest_confirmation_mode,diag_retest_detected,diag_retest_held,diag_retest_trigger_pass,diag_retest_failed,diag_original_neckline_break_time,diag_retest_detected_time,diag_retest_trigger_time,diag_retest_bars_after_breakout,diag_entry_delay_bars,diag_retest_depth_atr,diag_retest_zone_atr,diag_retest_reclaim_price,diag_retest_distance_from_neckline_atr,diag_false_break_return_inside_neckline,diag_retest_quality,diag_retest_failure_reason,signal_retest_confirmation_mode,signal_retest_detected,signal_retest_held,signal_retest_trigger_pass,signal_retest_failed,signal_original_neckline_break_time,signal_retest_detected_time,signal_retest_trigger_time,signal_retest_bars_after_breakout,signal_entry_delay_bars,signal_retest_depth_atr,signal_retest_zone_atr,signal_retest_reclaim_price,signal_retest_distance_from_neckline_atr,signal_false_break_return_inside_neckline,signal_retest_quality,signal_retest_failure_reason,diag_breakout_quality_router_mode,diag_breakout_quality_label,diag_breakout_quality_reason,diag_breakout_quality_pass,diag_breakout_strong,diag_breakout_weak,diag_breakout_dirty,diag_breakout_close_distance_from_neckline_atr,diag_breakout_close_distance_from_neckline_points,diag_breakout_body_ratio,diag_breakout_body_atr,diag_breakout_range_atr,diag_breakout_directional_wick_ratio,diag_breakout_close_position_directional,diag_neckline_touch_count,signal_breakout_quality_router_mode,signal_breakout_quality_label,signal_breakout_quality_reason,signal_breakout_quality_pass,signal_breakout_strong,signal_breakout_weak,signal_breakout_dirty,signal_breakout_close_distance_from_neckline_atr,signal_breakout_close_distance_from_neckline_points,signal_breakout_body_ratio,signal_breakout_body_atr,signal_breakout_range_atr,signal_breakout_directional_wick_ratio,signal_breakout_close_position_directional,signal_neckline_touch_count
2025-02-25 13:05:00,2025-02-25 17:00:11,GBPJPY,LONG,0.21,189.106,188.758,22,23,0.0,0.0,-48.76,-48.76,9887.73,sl 188.758,235.18,2025-02-25 13:05:00,2025-02-25 17:00:00,2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,instant_breakout,BEST_ONLY,11,2025-02,13,server_08_15,FX,62.8,2025.02.25 13:04:59,order_sent,GBPJPY,LONG,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,189.106,188.758,189.802,0.21,0.348,2.00,348.0,1.33,696.0,2.65,189.051,189.075,188.796,4,0.21,1.18,0.1449,38.0,73.62,2025.02.25 13:04:59,final_entry_candidate,GBPJPY,LONG,server_08_15,best_only,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,189.653,188.207,56.43,0.823,0.360,0.262,0.1449,38.0,189.051,189.075,188.796,189.106,188.758,189.802,0.21,0.348,2.00,4,0.055,0.21,0.310,1.18,348.0,1.33,696.0,2.65,73.62,neckline_break_late,valid_h4_pullback_zone,neckline_break_late,not_applicable,not_recorded,,0.0,0.121,0.042,0.0,0.0,0.0,41,,189.106,188.758,189.802,0.348,2.0,1.33,2.65,189.051,189.075,188.796,4,0.21,1.18,0.1449,73.62,-1.0,-1.0,1.799,1.569,1,1,1,0,0,25.0,30.0,125.0,,,235.0,1,1,1,1,0,1,1,1,11.0,0.879,0.22,0.22,531,0.26165414,double_bottom,4,255.0,0.975,255.0,0.975,55.0,0.21,4,4,4,false_breakout,,M15_neckline_quality_problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-26 19:50:00,2025-02-27 02:58:37,EURUSD,LONG,0.28,1.04942,1.04767,24,25,0.0,-5.67,-49.0,-54.67,9833.06,sl 1.04768,428.62,2025-02-26 19:50:00,2025-02-27 02:55:00,2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,instant_breakout,BEST_ONLY,12,2025-02,19,server_16_23,FX,62.8,2025.02.26 19:50:00,order_sent,EURUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,1.04942,1.04768,1.05290,0.28,0.00174,2.00,174.0,1.55,348.0,3.10,1.04920,1.04979,1.04786,10,0.20,1.39,0.1603,18.0,62.14,2025.02.26 19:50:00,final_entry_candidate,EURUSD,LONG,server_16_23,best_only,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,1.05241,1.04555,59.18,0.00258,0.00134,0.00112,0.1603,18.0,1.04920,1.04979,1.04786,1.04942,1.04768,1.05290,0.28,0.00174,2.00,10,0.00022,0.20,0.00156,1.39,174.0,1.55,348.0,3.10,62.14,neckline_break_late,valid_h4_pullback_zone,neckline_break_late,not_applicable,not_recorded,,0.0,0.75,0.481,0.0,0.0,0.0,51,,1.04942,1.04768,1.0529,0.00174,2.0,1.55,3.1,1.0492,1.04979,1.04786,10,0.2,1.39,0.1603,62.14,-1.006,-1.006,0.31,1.224,0,0,0,0,0,,,,,,425.0,0,0,0,0,0,1,0,1,54.0,0.25,0.25,0.25,385,0.00112258,double_bottom,10,134.0,1.194,134.0,1.194,22.0,0.196,10,10,10,false_breakout,,M15_neckline_quality_problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-04 08:05:00,2025-02-04 09:37:57,EURJPY,SHORT,0.25,159.853,160.164,2,3,0.0,0.0,-50.05,-50.05,9949.95,sl 160.161,92.95,2025-02-04 08:05:00,2025-02-04 09:35:00,2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,1,2025-02,08,server_08_15,FX,52.6,2025.02.04 08:04:59,order_sent,EURJPY,SHORT,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,159.853,160.161,159.237,0.25,0.308,2.00,308.0,1.83,616.0,3.66,160.016,159.788,160.131,7,0.97,1.65,0.1781,30.0,63.27,2025.02.04 08:04:59,final_entry_candidate,EURJPY,SHORT,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,161.488,157.956,51.87,1.029,0.410,0.168,0.1781,30.0,160.016,159.788,160.131,159.853,160.161,159.237,0.25,0.308,2.00,7,0.163,0.97,0.278,1.65,308.0,1.83,616.0,3.66,63.27,neckline_break_late,valid_h4_pullback_zone,neckline_break_late,not_applicable,not_recorded,,0.0,0.0,0.0,0.0,0.0,0.0,0,,159.853,160.161,159.237,0.308,2.0,1.83,3.66,160.016,159.788,160.131,7,0.97,1.65,0.1781,63.27,-1.01,-1.01,0.0,0.0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0,0.16830601,double_top,7,115.0,0.683,115.0,0.683,163.0,0.968,7,7,7,no_follow_through,,M15_neckline_quality_problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-04 19:35:00,2025-02-04 23:02:30,EURUSD,SHORT,0.29,1.03715,1.03885,4,5,0.0,0.0,-49.3,-49.3,9900.65,sl 1.03885,207.5,2025-02-04 19:35:00,2025-02-04 23:00:00,2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,2,2025-02,19,server_16_23,FX,52.6,2025.02.04 19:34:59,order_sent,EURUSD,SHORT,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.03715,1.03885,1.03375,0.29,0.00170,2.00,170.0,1.37,340.0,2.73,1.03726,1.03717,1.03867,3,0.09,1.22,0.1447,18.0,74.10,2025.02.04 19:34:59,final_entry_candidate,EURUSD,SHORT,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,1.04332,1.02100,58.06,0.00599,0.00182,0.00124,0.1447,18.0,1.03726,1.03717,1.03867,1.03715,1.03885,1.03375,0.29,0.00170,2.00,3,0.00011,0.09,0.00152,1.22,170.0,1.37,340.0,2.73,74.10,neckline_break_late,valid_h4_pullback_zone,neckline_break_late,not_applicable,not_recorded,,0.0,0.038,0.024,0.0,0.0,0.0,14,,1.03715,1.03885,1.03375,0.0017,2.0,1.37,2.73,1.03726,1.03717,1.03867,3,0.09,1.22,0.1447,74.1,-1.0,-1.0,0.112,0.9,0,0,0,0,0,,,,,,,0,0,0,0,0,1,3,1,3.0,0.962,0.165,0.165,318,0.00124088,double_top,3,141.0,1.136,141.0,1.136,11.0,0.089,3,3,3,false_breakout,,M15_neckline_quality_problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-06 22:35:00,2025-02-07 03:40:03,XAUUSD,LONG,0.1,2854.89,2864.23,6,7,0.0,-8.35,93.4,85.05000000000001,9985.7,tp 2864.23,305.05,2025-02-06 22:35:00,2025-02-07 03:40:00,2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,3,2025-02,22,server_16_23,XAUUSD,52.6,2025.02.06 22:34:59,order_sent,XAUUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,2854.89,2850.22,2864.23,0.10,4.67,2.00,467.0,1.91,934.0,3.82,2853.65,2854.38,2850.40,4,0.51,1.84,0.0737,18.0,67.87,2025.02.06 22:34:59,final_entry_candidate,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,2882.22,2807.32,39.93,15.87,8.62,2.44,0.0737,18.0,2853.65,2854.38,2850.40,2854.89,2850.22,2864.23,0.10,4.67,2.00,4,1.24,0.51,4.49,1.84,467.0,1.91,934.0,3.82,67.87,neckline_break_late,valid_h4_pullback_zone,neckline_break_late,not_applicable,not_recorded,,0.0,0.459,0.139,0.0,0.0,0.0,8,,2854.89,2850.22,2864.23,4.67,2.0,1.91,3.82,2853.65,2854.38,2850.4,4,0.51,1.84,0.0737,67.87,2.0,2.0,2.503,0.216,1,1,1,1,0,165.0,220.0,280.0,305.0,,,0,0,0,0,1,0,,0,34.0,0.541,0.527,0.527,482,2.44502618,double_bottom,4,325.0,1.329,325.0,1.329,124.0,0.507,4,4,4,,clean_break_and_go,n/a_win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-11 18:05:00,2025-02-12 02:52:31,XAUUSD,LONG,0.03,2904.63,2890.44,8,9,0.0,-2.5,-42.57,-45.07,9940.63,sl 2890.47,527.52,2025-02-11 18:05:00,2025-02-12 02:50:00,2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,4,2025-02,18,server_16_23,XAUUSD,52.6,2025.02.11 18:04:59,order_sent,XAUUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,2904.63,2890.47,2932.95,0.03,14.16,2.00,1416.0,2.03,2832.0,4.06,2904.35,2904.75,2890.82,4,0.04,1.98,0.0258,18.0,108.80,2025.02.11 18:04:59,final_entry_candidate,XAUUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,true,false,true,true,true,2942.66,2852.55,51.20,19.78,12.60,6.98,0.0258,18.0,2904.35,2904.75,2890.82,2904.63,2890.47,2932.95,0.03,14.16,2.00,4,0.28,0.04,13.81,1.98,1416.0,2.03,2832.0,4.06,108.80,neckline_break_initial,valid_h4_pullback_zone,neckline_break_initial,not_applicable,not_recorded,,0.0,0.133,0.037,0.0,0.0,0.0,39,,2904.63,2890.47,2932.95,14.16,2.0,2.03,4.06,2904.35,2904.75,2890.82,4,0.04,1.98,0.0258,108.8,-1.002,-1.002,0.28,1.094,0,0,0,0,0,,,,,,525.0,0,0,0,0,0,1,7,1,26.0,0.867,0.369,0.369,762,6.97536946,double_bottom,4,1353.0,1.94,1353.0,1.94,28.0,0.04,4,4,4,false_breakout,,M15_neckline_quality_problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-13 20:20:00,2025-02-13 20:40:58,GBPJPY,LONG,0.38,191.835,191.63,10,11,0.0,0.0,-50.82,-50.82,9889.81,sl 191.637,20.97,2025-02-13 20:20:00,2025-02-13 20:40:00,2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,5,2025-02,20,server_16_23,FX,52.6,2025.02.13 20:19:59,order_sent,GBPJPY,LONG,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,clean_nested_nwave_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,clean_nested_nwave_entry,191.835,191.637,192.231,0.38,0.198,2.00,198.0,0.78,396.0,1.56,191.902,191.916,191.675,7,0.26,0.63,0.1492,38.0,121.99,2025.02.13 20:19:59,final_entry_candidate,GBPJPY,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,clean_nested_nwave_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,clean_nested_nwave_entry,true,true,true,true,true,true,true,false,true,true,true,193.041,190.587,51.43,0.944,0.489,0.255,0.1492,38.0,191.902,191.916,191.675,191.835,191.637,192.231,0.38,0.198,2.00,7,0.067,0.26,0.160,0.63,198.0,0.78,396.0,1.56,121.99,clean_nested_nwave_entry,valid_h4_pullback_zone,clean_nested_nwave_entry,not_applicable,not_recorded,,0.0,0.529,0.469,0.0,0.0,0.0,21,,191.835,191.637,192.231,0.198,2.0,0.78,1.56,191.902,191.916,191.675,7,0.26,0.63,0.1492,121.99,-1.035,-1.035,0.581,2.934,1,0,0,0,0,5.0,,,,,20.0,0,0,0,0,0,1,0,1,119.0,0.471,0.324,0.324,621,0.25384615,double_bottom,7,227.0,0.894,227.0,0.894,67.0,0.264,7,7,7,false_breakout,,M15_neckline_quality_problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-14 11:50:00,2025-02-14 18:20:48,GBPJPY,LONG,0.18,192.058,191.641,12,13,0.0,0.0,-49.37,-49.37,9840.44,sl 191.641,390.8,2025-02-14 11:50:00,2025-02-14 18:20:00,2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,6,2025-02,11,server_08_15,FX,52.6,2025.02.14 11:49:59,order_sent,GBPJPY,LONG,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,192.058,191.641,192.892,0.18,0.417,2.00,417.0,1.92,834.0,3.84,191.971,192.059,191.679,8,0.40,1.74,0.1748,38.0,63.35,2025.02.14 11:49:59,final_entry_candidate,GBPJPY,LONG,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,193.041,190.587,59.74,0.925,0.347,0.217,0.1748,38.0,191.971,192.059,191.679,192.058,191.641,192.892,0.18,0.417,2.00,8,0.087,0.40,0.379,1.74,417.0,1.92,834.0,3.84,63.35,neckline_break_late,valid_h4_pullback_zone,neckline_break_late,not_applicable,not_recorded,,0.0,0.696,0.18,0.0,0.0,0.0,39,,192.058,191.641,192.892,0.417,2.0,1.92,3.84,191.971,192.059,191.679,8,0.4,1.74,0.1748,63.35,-1.0,-1.0,1.024,1.053,1,1,0,0,0,190.0,205.0,,,,390.0,1,0,1,0,0,1,1,1,39.0,0.304,0.107,0.107,456,0.2171875,double_bottom,8,292.0,1.344,292.0,1.344,87.0,0.401,8,8,8,false_breakout,,M15_neckline_quality_problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-21 06:05:00,2025-02-21 09:31:12,EURJPY,SHORT,0.25,157.827,158.113,14,15,0.0,0.0,-47.47,-47.47,9792.97,sl 158.112,206.2,2025-02-21 06:05:00,2025-02-21 09:30:00,2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,7,2025-02,06,server_00_07,FX,52.6,2025.02.21 06:04:59,order_sent,EURJPY,SHORT,server_00_07,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,157.827,158.112,157.257,0.25,0.285,2.00,285.0,1.33,570.0,2.65,157.876,157.866,158.082,3,0.23,1.19,0.1397,30.0,76.11,2025.02.21 06:04:59,final_entry_candidate,EURJPY,SHORT,server_00_07,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,159.118,156.304,48.08,0.573,0.332,0.215,0.1397,30.0,157.876,157.866,158.082,157.827,158.112,157.257,0.25,0.285,2.00,3,0.049,0.23,0.255,1.19,285.0,1.33,570.0,2.65,76.11,neckline_break_late,valid_h4_pullback_zone,neckline_break_late,not_applicable,not_recorded,,0.0,0.574,0.182,0.0,0.0,0.0,9,,157.827,158.112,157.257,0.285,2.0,1.33,2.65,157.876,157.866,158.082,3,0.23,1.19,0.1397,76.11,-1.004,-1.004,0.498,0.909,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,0,39.0,0.426,0.735,0.735,291,0.21428571,double_top,3,206.0,0.961,206.0,0.961,49.0,0.229,3,3,3,no_follow_through,,M15_neckline_quality_problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-21 10:35:00,2025-02-21 16:47:32,EURJPY,SHORT,0.2,157.819,157.09,16,17,0.0,0.0,97.32,97.32,9890.29,tp 157.091,372.53,2025-02-21 10:35:00,2025-02-21 16:45:00,2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,8,2025-02,10,server_08_15,FX,52.6,2025.02.21 10:34:59,order_sent,EURJPY,SHORT,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,157.819,158.183,157.091,0.20,0.364,2.00,364.0,2.20,728.0,4.39,157.761,157.566,158.153,3,0.35,2.02,0.1811,30.0,104.58,2025.02.21 10:34:59,final_entry_candidate,EURJPY,SHORT,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,true,false,true,true,true,159.118,156.304,52.03,0.592,0.309,0.166,0.1811,30.0,157.761,157.566,158.153,157.819,158.183,157.091,0.20,0.364,2.00,3,0.058,0.35,0.334,2.02,364.0,2.20,728.0,4.39,104.58,neckline_break_initial,valid_h4_pullback_zone,neckline_break_initial,not_applicable,not_recorded,,0.0,0.951,1.541,0.0,0.0,0.0,20,,157.819,158.183,157.091,0.364,2.0,2.2,4.39,157.761,157.566,158.153,3,0.35,2.02,0.1811,104.58,2.003,2.003,2.308,0.055,1,1,1,1,0,10.0,55.0,185.0,370.0,,,0,0,0,0,1,0,,1,255.0,0.049,0.049,0.049,781,0.16545455,double_top,3,392.0,2.369,392.0,2.369,58.0,0.351,3,3,3,,retest_then_go,n/a_win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-24 01:05:00,2025-02-24 02:53:53,XAUUSD,SHORT,0.14,2939.54,2932.57,18,19,0.0,0.0,97.58,97.58,9987.87,tp 2932.60,108.88,2025-02-24 01:05:00,2025-02-24 02:50:00,2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,9,2025-02,01,server_00_07,XAUUSD,52.6,2025.02.24 01:04:59,order_sent,XAUUSD,SHORT,server_00_07,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,2939.54,2943.01,2932.60,0.14,3.47,2.00,347.0,1.16,694.0,2.33,2937.76,2935.95,2942.83,13,0.60,1.10,0.0604,18.0,51.88,2025.02.24 01:04:59,final_entry_candidate,XAUUSD,SHORT,server_00_07,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,2949.71,2916.75,58.25,15.72,8.12,2.98,0.0604,18.0,2937.76,2935.95,2942.83,2939.54,2943.01,2932.60,0.14,3.47,2.00,13,1.78,0.60,3.29,1.10,347.0,1.16,694.0,2.33,51.88,neckline_break_late,valid_h4_pullback_zone,neckline_break_late,not_applicable,not_recorded,,0.0,0.671,1.441,0.0,0.0,0.0,1,,2939.54,2943.01,2932.6,3.47,2.0,1.16,2.33,2937.76,2935.95,2942.83,13,0.6,1.1,0.0604,51.88,2.009,2.009,2.833,0.28,1,1,1,1,0,25.0,70.0,80.0,105.0,,,0,0,0,0,1,1,0,0,431.0,0.329,0.146,0.146,581,2.99137931,double_top,13,507.0,1.695,507.0,1.695,178.0,0.595,13,13,13,,fast_follow_through,n/a_win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
