open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5
2025.10.03 21:40:00,2025.10.06 02:02:39,XAUUSD,LONG,0.04,3888.61,3906.79,2,3,0.0,-3.34,72.72,69.38,10069.38,tp 3906.55,3142.65,2025.10.03 21:40:00,2025.10.06 02:00:00
2025.10.06 13:45:00,2025.10.06 14:12:43,XAUUSD,LONG,0.04,3946.73,3935.05,4,5,0.0,0.0,-46.72,-46.72,10022.66,sl 3935.05,27.72,2025.10.06 13:45:00,2025.10.06 14:10:00
2025.10.06 22:10:00,2025.10.07 10:10:29,XAUUSD,LONG,0.04,3963.09,3950.87,6,7,0.0,-3.34,-48.88,-52.22,9970.44,sl 3950.88,720.48,2025.10.06 22:10:00,2025.10.07 10:10:00
2025.10.07 23:30:00,2025.10.08 03:03:10,XAUUSD,LONG,0.05,3982.73,3996.12,8,9,0.0,-4.17,66.95,62.78,10033.22,tp 3996.07,213.17,2025.10.07 23:30:00,2025.10.08 03:00:00
2025.10.08 11:05:00,2025.10.08 12:02:44,USDJPY,LONG,0.32,152.469,152.825,10,11,0.0,0.0,74.54,74.54,10107.76,tp 152.825,57.73,2025.10.08 11:05:00,2025.10.08 12:00:00
2025.10.08 19:20:00,2025.10.08 22:08:20,XAUUSD,LONG,0.03,4052.76,4036.58,12,13,0.0,0.0,-48.54,-48.54,10059.22,sl 4036.75,168.33,2025.10.08 19:20:00,2025.10.08 22:05:00
2025.10.09 13:40:00,2025.10.09 14:00:24,XAUUSD,LONG,0.09,4039.07,4046.69,14,15,0.0,0.0,68.58,68.58,10127.8,tp 4046.66,20.4,2025.10.09 13:40:00,2025.10.09 14:00:00
2025.10.13 02:10:00,2025.10.13 10:28:42,USDJPY,SHORT,0.17,151.853,152.291,16,18,0.0,0.0,-48.89,-48.89,10078.91,sl 152.290,498.7,2025.10.13 02:10:00,2025.10.13 10:25:00
2025.10.13 07:45:00,2025.10.13 13:50:56,XAUUSD,LONG,0.03,4057.71,4082.39,17,19,0.0,0.0,74.04,74.04,10152.95,tp 4082.39,365.93,2025.10.13 07:45:00,2025.10.13 13:50:00
2025.10.14 23:25:00,2025.10.15 02:36:34,XAUUSD,LONG,0.04,4146.21,4164.91,20,21,0.0,-3.34,74.8,71.46,10224.41,tp 4164.45,191.57,2025.10.14 23:25:00,2025.10.15 02:35:00
2025.10.16 10:35:00,2025.10.16 16:24:38,XAUUSD,LONG,0.03,4230.55,4253.77,22,23,0.0,0.0,69.66,69.66,10294.07,tp 4253.68,349.63,2025.10.16 10:35:00,2025.10.16 16:20:00
2025.10.21 18:05:00,2025.10.23 04:15:00,USDJPY,LONG,0.23,151.774,152.287,24,25,0.0,4.6,77.48,82.08,10376.15,tp 152.281,2050.0,2025.10.21 18:05:00,2025.10.23 04:15:00
2025.10.27 10:10:00,2025.10.27 11:49:36,XAUUSD,SHORT,0.04,4073.66,4056.17,26,27,0.0,0.0,69.96,69.96,10446.11,tp 4056.23,99.6,2025.10.27 10:10:00,2025.10.27 11:45:00
2025.10.27 22:05:00,2025.10.27 22:29:46,XAUUSD,SHORT,0.06,4002.93,3991.24,28,29,0.0,0.0,70.14,70.14,10516.25,tp 3991.32,24.77,2025.10.27 22:05:00,2025.10.27 22:25:00
2025.10.27 22:40:00,2025.10.28 04:00:52,XAUUSD,SHORT,0.02,3991.51,4010.69,30,31,0.0,0.51,-38.36,-37.85,10478.4,sl 4010.68,320.87,2025.10.27 22:40:00,2025.10.28 04:00:00
