timeframe_config_id,top_context_tf,top_context_tf_value,structure_tf,structure_tf_value,primary_entry_tf,primary_entry_tf_value,secondary_entry_tf,secondary_entry_tf_value,use_secondary_entry_tf,require_structure_tf_confirmation,use_top_tf_as_opposite_filter_only,htf_permission_mode,htf_permission_value,use_fib_pullback_score,require_fib_pullback_zone,run_id,scenario_id,scenario_short,scenario_name,scenario_mode,break_even_id,break_even_mode,break_even_value,diagnostic_only,preset,tester_ini
h1_m15_m5_top_opposite_only,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,True,structure_confirmed_top_not_opposite_pre_filter,1,False,False,all_first120__h1_m15_m5_top_notopp__no_be,all_symbols_first120,all_first120,all_symbols_first120,0,no_be,no_break_even,0,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_top_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_top_notopp__no_be_2025.ini
h1_m15_m5_top_opposite_only,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,True,structure_confirmed_top_not_opposite_pre_filter,1,False,False,all_first120__h1_m15_m5_top_notopp__be_1_1r,all_symbols_first120,all_first120,all_symbols_first120,0,be_1_1r,break_even_at_1_1r,2,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_top_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_top_notopp__be_1_1r_2025.ini
h1_m15_m5_with_fib_score,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,False,all_first120__h1_m15_m5_fib_score__no_be,all_symbols_first120,all_first120,all_symbols_first120,0,no_be,no_break_even,0,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_fib_score__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_fib_score__no_be_2025.ini
h1_m15_m5_with_fib_score,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,False,all_first120__h1_m15_m5_fib_score__be_1_1r,all_symbols_first120,all_first120,all_symbols_first120,0,be_1_1r,break_even_at_1_1r,2,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_fib_score__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_fib_score__be_1_1r_2025.ini
h1_m15_m5_with_fib_required,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,True,all_first120__h1_m15_m5_fib_req__no_be,all_symbols_first120,all_first120,all_symbols_first120,0,no_be,no_break_even,0,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_fib_req__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_fib_req__no_be_2025.ini
h1_m15_m5_with_fib_required,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,True,all_first120__h1_m15_m5_fib_req__be_1_1r,all_symbols_first120,all_first120,all_symbols_first120,0,be_1_1r,break_even_at_1_1r,2,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_fib_req__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_m15_m5_fib_req__be_1_1r_2025.ini
current_default,PERIOD_H4,240,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,True,True,False,strict_pre_filter,4,False,False,one_first120__current__no_be,one_symbol_first120,one_first120,one_symbol_first120,1,no_be,no_break_even,0,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__current__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__current__no_be_2025.ini
current_default,PERIOD_H4,240,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,True,True,False,strict_pre_filter,4,False,False,one_first120__current__be_1_1r,one_symbol_first120,one_first120,one_symbol_first120,1,be_1_1r,break_even_at_1_1r,2,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__current__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__current__be_1_1r_2025.ini
h1_m15_m5_strict,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,False,False,one_first120__h1_m15_m5_strict__no_be,one_symbol_first120,one_first120,one_symbol_first120,1,no_be,no_break_even,0,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_strict__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_strict__no_be_2025.ini
h1_m15_m5_strict,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,False,False,one_first120__h1_m15_m5_strict__be_1_1r,one_symbol_first120,one_first120,one_symbol_first120,1,be_1_1r,break_even_at_1_1r,2,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_strict__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_strict__be_1_1r_2025.ini
h1_m15_m5_dual_entry,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M15,15,PERIOD_M5,5,True,True,False,strict_pre_filter,4,False,False,one_first120__h1_m15_m5_dual__no_be,one_symbol_first120,one_first120,one_symbol_first120,1,no_be,no_break_even,0,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_dual__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_dual__no_be_2025.ini
h1_m15_m5_dual_entry,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M15,15,PERIOD_M5,5,True,True,False,strict_pre_filter,4,False,False,one_first120__h1_m15_m5_dual__be_1_1r,one_symbol_first120,one_first120,one_symbol_first120,1,be_1_1r,break_even_at_1_1r,2,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_dual__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_dual__be_1_1r_2025.ini
h1_m15_m5_top_opposite_only,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,True,structure_confirmed_top_not_opposite_pre_filter,1,False,False,one_first120__h1_m15_m5_top_notopp__no_be,one_symbol_first120,one_first120,one_symbol_first120,1,no_be,no_break_even,0,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_top_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_top_notopp__no_be_2025.ini
h1_m15_m5_top_opposite_only,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,True,structure_confirmed_top_not_opposite_pre_filter,1,False,False,one_first120__h1_m15_m5_top_notopp__be_1_1r,one_symbol_first120,one_first120,one_symbol_first120,1,be_1_1r,break_even_at_1_1r,2,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_top_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_top_notopp__be_1_1r_2025.ini
h1_m15_m5_with_fib_score,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,False,one_first120__h1_m15_m5_fib_score__no_be,one_symbol_first120,one_first120,one_symbol_first120,1,no_be,no_break_even,0,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_fib_score__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_fib_score__no_be_2025.ini
h1_m15_m5_with_fib_score,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,False,one_first120__h1_m15_m5_fib_score__be_1_1r,one_symbol_first120,one_first120,one_symbol_first120,1,be_1_1r,break_even_at_1_1r,2,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_fib_score__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_fib_score__be_1_1r_2025.ini
h1_m15_m5_with_fib_required,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,True,one_first120__h1_m15_m5_fib_req__no_be,one_symbol_first120,one_first120,one_symbol_first120,1,no_be,no_break_even,0,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_fib_req__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_fib_req__no_be_2025.ini
h1_m15_m5_with_fib_required,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,True,one_first120__h1_m15_m5_fib_req__be_1_1r,one_symbol_first120,one_first120,one_symbol_first120,1,be_1_1r,break_even_at_1_1r,2,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_fib_req__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_m15_m5_fib_req__be_1_1r_2025.ini
current_default,PERIOD_H4,240,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,True,True,False,strict_pre_filter,4,False,False,tokyo_first120__current__no_be,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,no_be,no_break_even,0,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__current__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__current__no_be_2025.ini
current_default,PERIOD_H4,240,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,True,True,False,strict_pre_filter,4,False,False,tokyo_first120__current__be_1_1r,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,be_1_1r,break_even_at_1_1r,2,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__current__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__current__be_1_1r_2025.ini
h1_m15_m5_strict,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,False,False,tokyo_first120__h1_m15_m5_strict__no_be,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,no_be,no_break_even,0,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_strict__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_strict__no_be_2025.ini
h1_m15_m5_strict,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,False,False,tokyo_first120__h1_m15_m5_strict__be_1_1r,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,be_1_1r,break_even_at_1_1r,2,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_strict__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_strict__be_1_1r_2025.ini
h1_m15_m5_dual_entry,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M15,15,PERIOD_M5,5,True,True,False,strict_pre_filter,4,False,False,tokyo_first120__h1_m15_m5_dual__no_be,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,no_be,no_break_even,0,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_dual__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_dual__no_be_2025.ini
h1_m15_m5_dual_entry,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M15,15,PERIOD_M5,5,True,True,False,strict_pre_filter,4,False,False,tokyo_first120__h1_m15_m5_dual__be_1_1r,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,be_1_1r,break_even_at_1_1r,2,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_dual__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_dual__be_1_1r_2025.ini
h1_m15_m5_top_opposite_only,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,True,structure_confirmed_top_not_opposite_pre_filter,1,False,False,tokyo_first120__h1_m15_m5_top_notopp__no_be,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,no_be,no_break_even,0,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_top_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_top_notopp__no_be_2025.ini
h1_m15_m5_top_opposite_only,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,True,structure_confirmed_top_not_opposite_pre_filter,1,False,False,tokyo_first120__h1_m15_m5_top_notopp__be_1_1r,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,be_1_1r,break_even_at_1_1r,2,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_top_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_top_notopp__be_1_1r_2025.ini
h1_m15_m5_with_fib_score,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,False,tokyo_first120__h1_m15_m5_fib_score__no_be,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,no_be,no_break_even,0,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_fib_score__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_fib_score__no_be_2025.ini
h1_m15_m5_with_fib_score,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,False,tokyo_first120__h1_m15_m5_fib_score__be_1_1r,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,be_1_1r,break_even_at_1_1r,2,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_fib_score__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_fib_score__be_1_1r_2025.ini
h1_m15_m5_with_fib_required,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,True,tokyo_first120__h1_m15_m5_fib_req__no_be,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,no_be,no_break_even,0,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_fib_req__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_fib_req__no_be_2025.ini
h1_m15_m5_with_fib_required,PERIOD_H1,60,PERIOD_M15,15,PERIOD_M5,5,PERIOD_M5,5,False,True,False,strict_pre_filter,4,True,True,tokyo_first120__h1_m15_m5_fib_req__be_1_1r,tokyo_first120_reference,tokyo_first120,tokyo_first120_reference,5,be_1_1r,break_even_at_1_1r,2,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_fib_req__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_m15_m5_fib_req__be_1_1r_2025.ini
