scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,2025-01,7,14.29,0.342,-0.575,-193.43,196.81,1.97,1.002,1.069,71.43,42.86,14.29,1,6,100.7,-294.13,2.005,-1.005,4,1,EURJPY:1;GBPJPY:1;GBPUSD:2;USDJPY:3,2025-01:7,LONG:1;SHORT:6
A_current_broad_fx_only,2025-02,4,75.0,5.766,1.251,242.19,50.82,0.5,1.855,0.968,75.0,75.0,75.0,1,3,-50.82,293.01,-1.005,2.003,3,1,EURJPY:1;EURUSD:1;USDJPY:2,2025-02:4,LONG:1;SHORT:3
A_current_broad_fx_only,2025-03,7,57.14,2.613,0.722,240.88,102.57,0.99,1.655,0.771,71.43,71.43,57.14,5,2,343.45,-102.57,1.412,-1.003,3,1,EURJPY:3;EURUSD:2;GBPJPY:2,2025-03:7,LONG:5;SHORT:2
A_current_broad_fx_only,2025-04,10,50.0,1.957,0.519,246.09,257.12,2.5,1.813,0.908,80.0,70.0,50.0,2,8,59.08,187.01,0.593,0.501,6,1,AUDJPY:1;EURJPY:2;EURUSD:1;GBPJPY:3;GBPUSD:1;USDJPY:2,2025-04:10,LONG:2;SHORT:8
A_current_broad_fx_only,2025-05,1,0.0,0.0,-1.012,-52.77,52.77,0.53,1.91,1.754,100.0,100.0,0.0,0,1,0,-52.77,0.0,-1.012,1,1,GBPUSD:1,2025-05:1,SHORT:1
A_current_broad_fx_only,2025-06,4,0.0,0.0,-1.003,-200.24,200.24,2.0,0.507,1.64,50.0,0.0,0.0,2,2,-97.34,-102.9,-1.0,-1.006,2,1,GBPUSD:1;USDJPY:3,2025-06:4,LONG:2;SHORT:2
A_current_broad_fx_only,2025-07,6,50.0,2.003,0.501,154.04,51.68,0.51,1.614,0.826,83.33,66.67,50.0,3,3,-2.14,156.18,-0.005,1.006,3,1,EURUSD:2;GBPUSD:1;USDJPY:3,2025-07:6,LONG:3;SHORT:3
A_current_broad_fx_only,2025-08,8,0.0,0.0,-1.007,-413.61,413.61,4.14,0.554,1.191,37.5,25.0,0.0,5,3,-256.49,-157.12,-1.008,-1.005,2,1,GBPUSD:2;USDJPY:6,2025-08:8,LONG:5;SHORT:3
A_current_broad_fx_only,2025-09,5,0.0,0.0,-1.01,-246.52,246.52,2.47,0.539,1.438,40.0,20.0,0.0,2,3,-97.09,-149.43,-1.008,-1.011,2,1,EURUSD:1;USDJPY:4,2025-09:5,LONG:2;SHORT:3
A_current_broad_fx_only,2025-10,3,0.0,0.0,-1.006,-142.75,142.75,1.43,0.638,1.16,66.67,33.33,0.0,3,0,-142.75,0,-1.006,0.0,3,1,AUDJPY:1;EURJPY:1;GBPUSD:1,2025-10:3,LONG:3
A_current_broad_fx_only,2025-11,6,16.67,0.393,-0.503,-143.8,143.8,1.44,1.18,1.173,66.67,66.67,16.67,3,3,-1.64,-142.16,-0.003,-1.003,3,1,EURJPY:1;GBPUSD:2;USDJPY:3,2025-11:6,LONG:3;SHORT:3
A_current_broad_fx_only,2025-12,2,0.0,0.0,-1.01,-93.75,93.75,0.94,0.55,1.113,50.0,0.0,0.0,1,1,-47.16,-46.59,-1.019,-1.0,2,1,EURUSD:1;USDJPY:1,2025-12:2,LONG:1;SHORT:1
B_broad_hard_gate_reduced,2025-01,413,31.72,0.878,0.0,-1709.4,2621.75,24.23,0.0,0.0,0.0,0.0,0.0,213,200,-2033.27,323.87,0.0,0.0,6,1,AUDJPY:20;EURJPY:65;EURUSD:55;GBPJPY:72;GBPUSD:81;USDJPY:120,2025-01:413,LONG:213;SHORT:200
B_broad_hard_gate_reduced,2025-02,377,32.36,0.928,0.0,-730.0,1904.76,18.07,0.0,0.0,0.0,0.0,0.0,197,180,-1302.12,572.12,0.0,0.0,6,1,AUDJPY:17;EURJPY:61;EURUSD:39;GBPJPY:77;GBPUSD:49;USDJPY:134,2025-02:377,LONG:197;SHORT:180
B_broad_hard_gate_reduced,2025-03,484,27.07,0.725,0.0,-2934.86,3472.0,33.08,0.0,0.0,0.0,0.0,0.0,239,245,-691.36,-2243.5,0.0,0.0,6,1,AUDJPY:40;EURJPY:106;EURUSD:68;GBPJPY:91;GBPUSD:55;USDJPY:124,2025-03:484,LONG:239;SHORT:245
