time,symbol,direction,event,regime,regime_reason,higher_tf_swing_state,ema_slope,trend_strength,volatility_state,entry_allowed_by_regime,blocked_by_regime_reason,lower_reversal_quality,pullback_depth_atr,sl_atr,order_retcode,order_comment,entry_price,sl,tp,volume,risk_r,rr,skip_reason,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,strategy_name
2025.08.01 01:04:59,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.343 range_atr=7.69 vol=normal,LL_LH,-2.94,0.3426,normal,true,,85.00,2.08,2.39,0,,3291.52,3295.01,3286.29,0.14,3.49,1.50,all_score_passing_candidate,,,true,,true,,0.00,false,1.05,1,1.13,candle_reversal,,24,1,1.00,15.44,46.00,85.00,0.1231,0.2000,true,false,18.0,1.46,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 01:04:59,XAUUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.343 range_atr=7.69 vol=normal,LL_LH,-2.94,0.3426,normal,true,,85.00,2.08,2.39,10009,order_sent,3291.52,3295.01,3286.29,0.14,3.49,1.50,all_score_passing_candidate,,,true,,true,,0.00,false,1.05,1,1.13,candle_reversal,,24,1,1.00,15.44,46.00,85.00,0.1231,0.2000,true,false,18.0,1.46,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 01:14:59,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.343 range_atr=7.69 vol=normal,LL_LH,-2.94,0.3426,normal,true,,75.00,2.08,2.42,0,existing_position,3291.35,3295.02,3285.85,0.13,3.67,1.50,existing_position,,existing_position,true,,true,,0.00,false,0.00,1,1.50,early_lower_high,,24,1,1.50,16.23,18.00,75.00,0.1254,0.2000,true,false,19.0,1.52,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 02:10:00,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.372 range_atr=8.07 vol=normal,LL_LH,-3.04,0.3715,normal,true,,65.00,2.08,1.87,0,,3292.32,3295.02,3288.27,0.18,2.70,1.50,all_score_passing_candidate,,,true,,true,,35.00,false,1.28,1,0.32,candle_reversal,,1,1,0.84,11.71,64.00,65.00,0.1314,0.2000,true,false,19.0,1.45,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 02:10:00,XAUUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.372 range_atr=8.07 vol=normal,LL_LH,-3.04,0.3715,normal,true,,65.00,2.08,1.87,10009,order_sent,3292.32,3295.02,3288.27,0.18,2.70,1.50,all_score_passing_candidate,,,true,,true,,35.00,false,1.28,1,0.32,candle_reversal,,1,1,0.84,11.71,64.00,65.00,0.1314,0.2000,true,false,19.0,1.45,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 02:39:59,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.372 range_atr=8.07 vol=normal,LL_LH,-3.04,0.3715,normal,true,,95.00,1.81,2.62,0,existing_position,3290.88,3295.01,3284.69,0.12,4.13,1.50,existing_position,,existing_position,true,,true,,0.00,false,0.00,1,1.60,early_lower_high,,7,1,1.60,18.42,18.00,95.00,0.1141,0.2000,true,false,18.0,1.58,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 02:55:00,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.372 range_atr=8.07 vol=normal,LL_LH,-3.04,0.3715,normal,true,,95.00,1.87,3.16,0,existing_position,3290.12,3295.28,3282.38,0.09,5.16,1.50,existing_position,,existing_position,true,,true,,0.00,false,0.45,1,1.08,early_lower_high,,10,1,0.11,23.23,18.00,95.00,0.1101,0.2000,true,false,18.0,1.63,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 03:54:59,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.422 range_atr=8.37 vol=normal,LL_LH,-3.32,0.4219,normal,true,,95.00,1.85,2.37,0,,3290.83,3295.29,3284.14,0.11,4.46,1.50,all_score_passing_candidate,,,true,,true,,0.00,false,0.00,1,2.32,early_lower_high,,22,1,1.42,19.92,18.00,95.00,0.1008,0.2000,true,false,19.0,1.88,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 03:54:59,XAUUSD,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.422 range_atr=8.37 vol=normal,LL_LH,-3.32,0.4219,normal,true,,95.00,1.85,2.37,10009,order_sent,3290.83,3295.29,3284.14,0.11,4.46,1.50,all_score_passing_candidate,,,true,,true,,0.00,false,0.00,1,2.32,early_lower_high,,22,1,1.42,19.92,18.00,95.00,0.1008,0.2000,true,false,19.0,1.88,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 04:14:59,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.429 range_atr=8.43 vol=normal,LL_LH,-3.36,0.4292,normal,true,,75.00,1.77,1.58,0,existing_position,3291.90,3295.28,3286.83,0.14,3.38,1.50,existing_position,,existing_position,true,,true,,0.00,false,0.00,1,1.75,early_lower_high,,6,1,1.08,14.93,18.00,75.00,0.0842,0.2000,true,false,18.0,2.14,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 04:29:59,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.429 range_atr=8.43 vol=normal,LL_LH,-3.36,0.4292,normal,true,,85.00,1.29,1.69,0,existing_position,3290.36,3294.02,3284.87,0.13,3.66,1.50,existing_position,,existing_position,true,,true,,0.00,false,0.71,2,0.35,early_lower_high,,9,1,0.14,16.18,54.00,85.00,0.0878,0.2000,true,false,19.0,2.16,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 04:39:59,USDJPY,LONG,order_attempt,REGIME_TREND_UP,trend_up swing=HH_HL strength=1.020 range_atr=13.77 vol=normal,HH_HL,0.229,1.0199,normal,true,,70.00,1.97,2.30,0,,150.780,150.571,151.094,0.36,0.209,1.50,all_score_passing_candidate,,,true,,true,,0.00,false,0.46,1,1.19,candle_reversal,,10,1,0.20,18.91,18.00,70.00,0.1652,0.2000,true,false,15.0,0.091,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 04:39:59,USDJPY,LONG,order_sent,REGIME_TREND_UP,trend_up swing=HH_HL strength=1.020 range_atr=13.77 vol=normal,HH_HL,0.229,1.0199,normal,true,,70.00,1.97,2.30,10009,order_sent,150.780,150.571,151.094,0.36,0.209,1.50,all_score_passing_candidate,,,true,,true,,0.00,false,0.46,1,1.19,candle_reversal,,10,1,0.20,18.91,18.00,70.00,0.1652,0.2000,true,false,15.0,0.091,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 04:39:59,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.429 range_atr=8.43 vol=normal,LL_LH,-3.36,0.4292,normal,true,,90.00,1.23,2.60,0,existing_position,3288.16,3294.02,3279.37,0.08,5.86,1.50,existing_position,,existing_position,true,,true,,20.00,false,1.01,1,0.24,micro_break,,11,1,0.27,26.45,64.00,90.00,0.0844,0.2000,true,false,19.0,2.25,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 04:44:59,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.429 range_atr=8.43 vol=normal,LL_LH,-3.36,0.4292,normal,true,,100.00,1.23,2.81,0,existing_position,3287.90,3294.01,3278.74,0.08,6.11,1.50,existing_position,,existing_position,true,,true,,20.00,false,0.68,2,0.00,early_lower_high,,12,1,0.37,27.66,54.00,100.00,0.0828,0.2000,true,false,18.0,2.17,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 04:50:00,XAUUSD,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.429 range_atr=8.43 vol=normal,LL_LH,-3.36,0.4292,normal,true,,75.00,1.17,3.45,0,existing_position,3286.37,3294.01,3274.91,0.06,7.64,1.50,existing_position,,existing_position,true,,true,,55.00,false,1.11,3,0.14,confirmed_fractal_breakdown,,13,1,1.46,34.79,82.00,75.00,0.0813,0.2000,true,false,18.0,2.21,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 05:24:59,USDJPY,LONG,order_blocked,REGIME_TREND_UP,trend_up swing=HH_HL strength=1.034 range_atr=13.90 vol=normal,HH_HL,0.232,1.0345,normal,true,,70.00,1.47,2.42,0,existing_position,150.822,150.610,151.140,0.35,0.212,1.50,existing_position,,existing_position,true,,true,,0.00,false,0.00,1,1.02,candle_reversal,,19,1,0.97,19.20,18.00,70.00,0.1713,0.2000,true,false,15.0,0.088,DowFractal_ThirdWave_V4_EarlyReversal
2025.08.01 05:24:59,XAUUSD,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.472 range_atr=8.61 vol=normal,LL_LH,-3.61,0.4717,normal,true,,70.00,0.97,1.74,0,,3289.42,3294.04,3282.49,0.10,4.62,1.50,all_score_passing_candidate,,,true,,true,,0.00,false,0.00,1,2.96,candle_reversal,,20,1,2.30,81.22,18.00,70.00,0.0680,0.2000,true,false,18.0,2.65,DowFractal_ThirdWave_V4_EarlyReversal
