period,scenario,month,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2025-02,13,4,9,30.77,-71.42,0.84,-5.49,0.0,207.03,2.07,-208.98,137.56,-163.64,92.22,1.176,0.985,53.85,46.15,30.77,61.54
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2025-02,12,3,9,25.0,-166.94,0.626,-13.91,0.0,207.03,2.07,-304.5,137.56,-163.64,-3.3,1.091,1.031,50.0,41.67,25.0,66.67
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2025-02,5,1,4,20.0,-110.25,0.444,-22.05,0.0,110.25,1.1,-198.29,88.04,37.22,-147.47,0.628,1.175,40.0,20.0,20.0,60.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,2025-02,5,1,4,20.0,-110.25,0.444,-22.05,0.0,110.25,1.1,-198.29,88.04,37.22,-147.47,0.628,1.175,40.0,20.0,20.0,60.0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2025-08,2,1,1,50.0,27.14,1.514,13.57,0.0,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2025-08,2,1,1,50.0,27.14,1.514,13.57,0.0,52.77,0.52,-52.77,79.91,79.91,-52.77,1.401,0.619,100.0,50.0,50.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2025-08,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,2025-08,1,1,0,100.0,79.88,,79.88,0.0,0.0,0.0,0,79.88,79.88,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2025-10,5,4,1,80.0,313.57,7.348,62.71,0.0,49.4,0.49,199.43,114.14,163.54,150.03,2.092,0.858,100.0,100.0,80.0,40.0
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2025-10,4,3,1,75.0,212.7,5.306,53.17,0.0,49.4,0.49,98.56,114.14,163.54,49.16,2.056,0.918,100.0,100.0,75.0,50.0
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2025-10,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
