period,run,scenario,trade_index,open_time,close_time,symbol,direction,net_profit,final_result_R,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,time_to_SL,would_1R_take_profit_help,would_1_5R_take_profit_help,would_2R_take_profit_work,did_price_reverse_after_1R,did_price_reverse_after_1_5R,mfe_bucket,failure_type,winning_type
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2025.02.25 13:05:00,2025.02.25 17:00:11,GBPJPY,LONG,-48.76,-1.0,1.799,1.569,1,1,1,0,0,25.0,30.0,125.0,,,235.0,1,1,0,1,1,1.5-2R,false_breakout,
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2025.02.26 19:50:00,2025.02.27 02:58:37,EURUSD,LONG,-54.67,-1.006,0.31,1.224,0,0,0,0,0,,,,,,425.0,0,0,0,0,0,<0.5R,false_breakout,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.02.04 08:05:00,2025.02.04 09:37:57,EURJPY,SHORT,-50.05,-1.01,0.399,1.068,0,0,0,0,0,,,,,,90.0,0,0,0,0,0,<0.5R,no_follow_through,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.02.04 19:35:00,2025.02.04 23:02:30,EURUSD,SHORT,-49.3,-1.0,0.112,0.9,0,0,0,0,0,,,,,,,0,0,0,0,0,<0.5R,false_breakout,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.02.06 22:35:00,2025.02.07 03:40:03,XAUUSD,LONG,85.05000000000001,2.0,2.503,0.216,1,1,1,1,0,165.0,220.0,280.0,305.0,,,0,0,1,0,0,2R+,,clean_break_and_go
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.02.11 18:05:00,2025.02.12 02:52:31,XAUUSD,LONG,-45.07,-1.002,0.28,1.094,0,0,0,0,0,,,,,,525.0,0,0,0,0,0,<0.5R,false_breakout,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.02.13 20:20:00,2025.02.13 20:40:58,GBPJPY,LONG,-50.82,-1.035,0.581,2.934,1,0,0,0,0,5.0,,,,,20.0,0,0,0,0,0,0.5-1R,false_breakout,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2025.02.14 11:50:00,2025.02.14 18:20:48,GBPJPY,LONG,-49.37,-1.0,1.024,1.053,1,1,0,0,0,190.0,205.0,,,,390.0,1,0,0,1,0,1-1.5R,false_breakout,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2025.02.21 06:05:00,2025.02.21 09:31:12,EURJPY,SHORT,-47.47,-1.004,0.498,0.909,0,0,0,0,0,,,,,,,0,0,0,0,0,<0.5R,no_follow_through,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2025.02.21 10:35:00,2025.02.21 16:47:32,EURJPY,SHORT,97.32,2.003,2.308,0.055,1,1,1,1,0,10.0,55.0,185.0,370.0,,,0,0,1,0,0,2R+,,retest_then_go
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2025.02.24 01:05:00,2025.02.24 02:53:53,XAUUSD,SHORT,97.58,2.009,2.833,0.28,1,1,1,1,0,25.0,70.0,80.0,105.0,,,0,0,1,0,0,2R+,,fast_follow_through
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2025.02.24 18:20:00,2025.02.25 01:10:06,USDJPY,SHORT,-51.379999999999995,-1.0,0.444,1.066,0,0,0,0,0,,,,,,410.0,0,0,0,0,0,<0.5R,false_breakout,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,11,2025.02.24 18:35:00,2025.02.25 10:00:12,AUDJPY,SHORT,95.52,2.0,2.201,0.437,1,1,1,1,0,255.0,890.0,895.0,920.0,,,0,0,1,0,0,2R+,,clean_break_and_go
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,12,2025.02.25 13:05:00,2025.02.25 17:00:11,GBPJPY,LONG,-48.76,-1.0,1.799,1.569,1,1,1,0,0,25.0,30.0,125.0,,,235.0,1,1,0,1,1,1.5-2R,false_breakout,
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,13,2025.02.26 19:50:00,2025.02.27 02:58:37,EURUSD,LONG,-54.67,-1.006,0.31,1.224,0,0,0,0,0,,,,,,425.0,0,0,0,0,0,<0.5R,false_breakout,
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.08.06 16:35:00,2025.08.07 04:43:19,XAUUSD,LONG,79.91,2.009,2.185,0.247,1,1,1,1,0,15.0,30.0,55.0,725.0,,,0,0,1,0,0,2R+,,retest_then_go
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.08.21 17:20:00,2025.08.22 03:56:41,GBPJPY,SHORT,-52.77,-1.006,0.616,0.991,1,0,0,0,0,400.0,,,,,,0,0,0,0,0,0.5-1R,false_breakout,
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.08.06 16:35:00,2025.08.07 04:43:19,XAUUSD,LONG,79.91,2.009,2.185,0.247,1,1,1,1,0,15.0,30.0,55.0,725.0,,,0,0,1,0,0,2R+,,retest_then_go
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.08.21 17:20:00,2025.08.22 03:56:41,GBPJPY,SHORT,-52.77,-1.006,0.616,0.991,1,0,0,0,0,400.0,,,,,,0,0,0,0,0,0.5-1R,false_breakout,
