enabled_conditions,condition_count,candidates,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,symbols_count,periods_count,period_distribution,symbol_distribution,direction_distribution
none,0,47,47,38.3,1.171,0.137,239.56,395.51,3.81,1.258,1.064,51.06,36.17,-196.91,436.47,-356.41,595.97,7,4,2025-02:5;2025-08:12;2025-10:5;2026-Q1:25,AUDJPY:3;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:6;USDJPY:17;XAUUSD:11,LONG:20;SHORT:27
cond_h4_bias_ma,1,29,29,44.83,1.536,0.33,404.16,195.56,1.87,1.341,0.898,55.17,41.38,58.04,346.12,-93.71,497.87,6,4,2025-02:3;2025-08:8;2025-10:3;2026-Q1:15,AUDJPY:3;EURJPY:3;EURUSD:3;GBPUSD:5;USDJPY:11;XAUUSD:4,LONG:12;SHORT:17
cond_h4_fib_382_618,1,12,12,50.0,1.79,0.495,240.05,150.46,1.46,1.518,1.135,66.67,50.0,-14.97,255.02,-135.96,376.01,4,3,2025-02:2;2025-08:2;2026-Q1:8,AUDJPY:1;EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:7
cond_h1_prev_extreme_break,1,47,47,38.3,1.171,0.137,239.56,395.51,3.81,1.258,1.064,51.06,36.17,-196.91,436.47,-356.41,595.97,7,4,2025-02:5;2025-08:12;2025-10:5;2026-Q1:25,AUDJPY:3;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:6;USDJPY:17;XAUUSD:11,LONG:20;SHORT:27
cond_h1_counter_nwave,1,34,34,38.24,1.159,0.13,160.27,346.93,3.37,1.281,1.111,55.88,35.29,-86.75,247.02,-106.05,266.32,7,4,2025-02:3;2025-08:7;2025-10:4;2026-Q1:20,AUDJPY:2;EURJPY:2;EURUSD:3;GBPJPY:1;GBPUSD:4;USDJPY:13;XAUUSD:9,LONG:12;SHORT:22
cond_h1_counter_wave_atr,1,45,45,37.78,1.148,0.121,199.29,395.51,3.79,1.267,1.074,51.11,35.56,-237.18,436.47,-307.5,506.79,7,4,2025-02:5;2025-08:11;2025-10:5;2026-Q1:24,AUDJPY:2;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:5;USDJPY:17;XAUUSD:11,LONG:19;SHORT:26
cond_true_bos_level,1,47,47,38.3,1.171,0.137,239.56,395.51,3.81,1.258,1.064,51.06,36.17,-196.91,436.47,-356.41,595.97,7,4,2025-02:5;2025-08:12;2025-10:5;2026-Q1:25,AUDJPY:3;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:6;USDJPY:17;XAUUSD:11,LONG:20;SHORT:27
cond_m15_prev_extreme_bos,1,34,34,35.29,1.058,0.076,60.8,272.01,2.66,1.192,1.102,44.12,35.29,-280.87,341.67,-341.18,401.98,6,4,2025-02:4;2025-08:9;2025-10:4;2026-Q1:17,AUDJPY:2;EURJPY:3;EURUSD:1;GBPUSD:5;USDJPY:13;XAUUSD:10,LONG:15;SHORT:19
cond_room_to_2r,1,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
cond_h4_bias_ma;cond_h4_fib_382_618,2,6,6,66.67,3.566,0.996,257.19,50.9,0.5,1.685,0.852,66.67,66.67,188.46,68.73,-31.51,288.7,4,3,2025-02:2;2025-08:1;2026-Q1:3,AUDJPY:1;EURUSD:1;USDJPY:3;XAUUSD:1,LONG:3;SHORT:3
cond_h4_bias_ma;cond_h1_prev_extreme_break,2,29,29,44.83,1.536,0.33,404.16,195.56,1.87,1.341,0.898,55.17,41.38,58.04,346.12,-93.71,497.87,6,4,2025-02:3;2025-08:8;2025-10:3;2026-Q1:15,AUDJPY:3;EURJPY:3;EURUSD:3;GBPUSD:5;USDJPY:11;XAUUSD:4,LONG:12;SHORT:17
cond_h4_bias_ma;cond_h1_counter_nwave,2,18,18,50.0,1.892,0.477,368.85,105.98,1.01,1.453,0.912,66.67,44.44,117.38,251.47,105.83,263.02,6,4,2025-02:2;2025-08:4;2025-10:2;2026-Q1:10,AUDJPY:2;EURJPY:1;EURUSD:1;GBPUSD:3;USDJPY:8;XAUUSD:3,LONG:5;SHORT:13
cond_h4_bias_ma;cond_h1_counter_wave_atr,2,27,27,44.44,1.516,0.317,363.89,195.56,1.86,1.361,0.903,55.56,40.74,17.77,346.12,-44.8,408.69,6,4,2025-02:3;2025-08:7;2025-10:3;2026-Q1:14,AUDJPY:2;EURJPY:3;EURUSD:3;GBPUSD:4;USDJPY:11;XAUUSD:4,LONG:11;SHORT:16
cond_h4_bias_ma;cond_true_bos_level,2,29,29,44.83,1.536,0.33,404.16,195.56,1.87,1.341,0.898,55.17,41.38,58.04,346.12,-93.71,497.87,6,4,2025-02:3;2025-08:8;2025-10:3;2026-Q1:15,AUDJPY:3;EURJPY:3;EURUSD:3;GBPUSD:5;USDJPY:11;XAUUSD:4,LONG:12;SHORT:17
cond_h4_bias_ma;cond_m15_prev_extreme_bos,2,22,22,40.91,1.366,0.26,222.13,297.51,2.85,1.321,0.979,50.0,40.91,-123.99,346.12,-131.45,353.58,6,4,2025-02:2;2025-08:6;2025-10:2;2026-Q1:12,AUDJPY:2;EURJPY:2;EURUSD:1;GBPUSD:4;USDJPY:9;XAUUSD:4,LONG:8;SHORT:14
cond_h4_bias_ma;cond_room_to_2r,2,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
cond_h4_fib_382_618;cond_h1_prev_extreme_break,2,12,12,50.0,1.79,0.495,240.05,150.46,1.46,1.518,1.135,66.67,50.0,-14.97,255.02,-135.96,376.01,4,3,2025-02:2;2025-08:2;2026-Q1:8,AUDJPY:1;EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:7
cond_h4_fib_382_618;cond_h1_counter_nwave,2,9,9,44.44,1.414,0.329,104.57,184.04,1.79,1.499,1.274,66.67,44.44,-150.45,255.02,-85.06,189.63,3,3,2025-02:1;2025-08:1;2026-Q1:7,EURUSD:1;USDJPY:5;XAUUSD:3,LONG:4;SHORT:5
cond_h4_fib_382_618;cond_h1_counter_wave_atr,2,11,11,45.45,1.497,0.358,150.87,184.04,1.78,1.463,1.188,63.64,45.45,-104.15,255.02,-135.96,286.83,3,3,2025-02:2;2025-08:2;2026-Q1:7,EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:6
cond_h4_fib_382_618;cond_true_bos_level,2,12,12,50.0,1.79,0.495,240.05,150.46,1.46,1.518,1.135,66.67,50.0,-14.97,255.02,-135.96,376.01,4,3,2025-02:2;2025-08:2;2026-Q1:8,AUDJPY:1;EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:7
cond_h4_fib_382_618;cond_m15_prev_extreme_bos,2,8,8,62.5,2.943,0.869,294.8,51.48,0.5,1.611,0.981,62.5,62.5,39.78,255.02,-82.99,377.79,3,3,2025-02:1;2025-08:2;2026-Q1:5,AUDJPY:1;USDJPY:4;XAUUSD:3,LONG:4;SHORT:4
cond_h4_fib_382_618;cond_room_to_2r,2,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h1_prev_extreme_break;cond_h1_counter_nwave,2,34,34,38.24,1.159,0.13,160.27,346.93,3.37,1.281,1.111,55.88,35.29,-86.75,247.02,-106.05,266.32,7,4,2025-02:3;2025-08:7;2025-10:4;2026-Q1:20,AUDJPY:2;EURJPY:2;EURUSD:3;GBPJPY:1;GBPUSD:4;USDJPY:13;XAUUSD:9,LONG:12;SHORT:22
cond_h1_prev_extreme_break;cond_h1_counter_wave_atr,2,45,45,37.78,1.148,0.121,199.29,395.51,3.79,1.267,1.074,51.11,35.56,-237.18,436.47,-307.5,506.79,7,4,2025-02:5;2025-08:11;2025-10:5;2026-Q1:24,AUDJPY:2;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:5;USDJPY:17;XAUUSD:11,LONG:19;SHORT:26
cond_h1_prev_extreme_break;cond_true_bos_level,2,47,47,38.3,1.171,0.137,239.56,395.51,3.81,1.258,1.064,51.06,36.17,-196.91,436.47,-356.41,595.97,7,4,2025-02:5;2025-08:12;2025-10:5;2026-Q1:25,AUDJPY:3;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:6;USDJPY:17;XAUUSD:11,LONG:20;SHORT:27
cond_h1_prev_extreme_break;cond_m15_prev_extreme_bos,2,34,34,35.29,1.058,0.076,60.8,272.01,2.66,1.192,1.102,44.12,35.29,-280.87,341.67,-341.18,401.98,6,4,2025-02:4;2025-08:9;2025-10:4;2026-Q1:17,AUDJPY:2;EURJPY:3;EURUSD:1;GBPUSD:5;USDJPY:13;XAUUSD:10,LONG:15;SHORT:19
cond_h1_prev_extreme_break;cond_room_to_2r,2,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
cond_h1_counter_nwave;cond_h1_counter_wave_atr,2,34,34,38.24,1.159,0.13,160.27,346.93,3.37,1.281,1.111,55.88,35.29,-86.75,247.02,-106.05,266.32,7,4,2025-02:3;2025-08:7;2025-10:4;2026-Q1:20,AUDJPY:2;EURJPY:2;EURUSD:3;GBPJPY:1;GBPUSD:4;USDJPY:13;XAUUSD:9,LONG:12;SHORT:22
cond_h1_counter_nwave;cond_true_bos_level,2,34,34,38.24,1.159,0.13,160.27,346.93,3.37,1.281,1.111,55.88,35.29,-86.75,247.02,-106.05,266.32,7,4,2025-02:3;2025-08:7;2025-10:4;2026-Q1:20,AUDJPY:2;EURJPY:2;EURUSD:3;GBPJPY:1;GBPUSD:4;USDJPY:13;XAUUSD:9,LONG:12;SHORT:22
cond_h1_counter_nwave;cond_m15_prev_extreme_bos,2,26,26,38.46,1.226,0.177,171.0,211.97,2.06,1.254,1.126,50.0,38.46,-76.02,247.02,-93.33,264.33,5,4,2025-02:3;2025-08:6;2025-10:3;2026-Q1:14,AUDJPY:1;EURJPY:2;GBPUSD:4;USDJPY:10;XAUUSD:9,LONG:10;SHORT:16
cond_h1_counter_nwave;cond_room_to_2r,2,21,21,42.86,1.436,0.28,259.82,147.91,1.44,1.308,1.084,52.38,42.86,87.11,172.71,-57.73,317.55,7,4,2025-02:3;2025-08:2;2025-10:3;2026-Q1:13,AUDJPY:1;EURJPY:2;EURUSD:1;GBPJPY:1;GBPUSD:3;USDJPY:8;XAUUSD:5,LONG:7;SHORT:14
cond_h1_counter_wave_atr;cond_true_bos_level,2,45,45,37.78,1.148,0.121,199.29,395.51,3.79,1.267,1.074,51.11,35.56,-237.18,436.47,-307.5,506.79,7,4,2025-02:5;2025-08:11;2025-10:5;2026-Q1:24,AUDJPY:2;EURJPY:4;EURUSD:5;GBPJPY:1;GBPUSD:5;USDJPY:17;XAUUSD:11,LONG:19;SHORT:26
cond_h1_counter_wave_atr;cond_m15_prev_extreme_bos,2,33,33,33.33,0.973,0.017,-28.38,272.01,2.66,1.164,1.119,42.42,33.33,-370.05,341.67,-341.18,312.8,6,4,2025-02:4;2025-08:9;2025-10:4;2026-Q1:16,AUDJPY:1;EURJPY:3;EURUSD:1;GBPUSD:5;USDJPY:13;XAUUSD:10,LONG:15;SHORT:18
cond_h1_counter_wave_atr;cond_room_to_2r,2,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
cond_true_bos_level;cond_m15_prev_extreme_bos,2,34,34,35.29,1.058,0.076,60.8,272.01,2.66,1.192,1.102,44.12,35.29,-280.87,341.67,-341.18,401.98,6,4,2025-02:4;2025-08:9;2025-10:4;2026-Q1:17,AUDJPY:2;EURJPY:3;EURUSD:1;GBPUSD:5;USDJPY:13;XAUUSD:10,LONG:15;SHORT:19
cond_true_bos_level;cond_room_to_2r,2,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
cond_m15_prev_extreme_bos;cond_room_to_2r,2,21,21,42.86,1.432,0.28,257.39,200.53,1.92,1.36,1.095,52.38,42.86,-9.97,267.36,-105.42,362.81,5,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:12,AUDJPY:1;EURJPY:2;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:8;SHORT:13
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_prev_extreme_break,3,6,6,66.67,3.566,0.996,257.19,50.9,0.5,1.685,0.852,66.67,66.67,188.46,68.73,-31.51,288.7,4,3,2025-02:2;2025-08:1;2026-Q1:3,AUDJPY:1;EURUSD:1;USDJPY:3;XAUUSD:1,LONG:3;SHORT:3
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_nwave,3,3,3,66.67,3.467,0.998,121.71,49.34,0.49,1.794,0.984,66.67,66.67,52.98,68.73,19.39,102.32,2,2,2025-02:1;2026-Q1:2,USDJPY:2;XAUUSD:1,LONG:2;SHORT:1
cond_h4_bias_ma;cond_h4_fib_382_618;cond_h1_counter_wave_atr,3,5,5,60.0,2.676,0.796,168.01,50.9,0.5,1.598,0.912,60.0,60.0,99.28,68.73,-31.51,199.52,3,3,2025-02:2;2025-08:1;2026-Q1:2,EURUSD:1;USDJPY:3;XAUUSD:1,LONG:3;SHORT:2
cond_h4_bias_ma;cond_h4_fib_382_618;cond_true_bos_level,3,6,6,66.67,3.566,0.996,257.19,50.9,0.5,1.685,0.852,66.67,66.67,188.46,68.73,-31.51,288.7,4,3,2025-02:2;2025-08:1;2026-Q1:3,AUDJPY:1;EURUSD:1;USDJPY:3;XAUUSD:1,LONG:3;SHORT:3
cond_h4_bias_ma;cond_h4_fib_382_618;cond_m15_prev_extreme_bos,3,5,5,60.0,2.596,0.796,159.99,50.9,0.5,1.562,0.948,60.0,60.0,91.26,68.73,-31.51,191.5,3,3,2025-02:1;2025-08:1;2026-Q1:3,AUDJPY:1;USDJPY:3;XAUUSD:1,LONG:3;SHORT:2
cond_h4_bias_ma;cond_h4_fib_382_618;cond_room_to_2r,3,2,2,50.0,2.074,0.494,52.98,49.34,0.49,1.412,1.127,50.0,50.0,52.98,0,-49.34,102.32,1,2,2025-02:1;2026-Q1:1,USDJPY:2,LONG:1;SHORT:1
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave,3,18,18,50.0,1.892,0.477,368.85,105.98,1.01,1.453,0.912,66.67,44.44,117.38,251.47,105.83,263.02,6,4,2025-02:2;2025-08:4;2025-10:2;2026-Q1:10,AUDJPY:2;EURJPY:1;EURUSD:1;GBPUSD:3;USDJPY:8;XAUUSD:3,LONG:5;SHORT:13
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr,3,27,27,44.44,1.516,0.317,363.89,195.56,1.86,1.361,0.903,55.56,40.74,17.77,346.12,-44.8,408.69,6,4,2025-02:3;2025-08:7;2025-10:3;2026-Q1:14,AUDJPY:2;EURJPY:3;EURUSD:3;GBPUSD:4;USDJPY:11;XAUUSD:4,LONG:11;SHORT:16
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_true_bos_level,3,29,29,44.83,1.536,0.33,404.16,195.56,1.87,1.341,0.898,55.17,41.38,58.04,346.12,-93.71,497.87,6,4,2025-02:3;2025-08:8;2025-10:3;2026-Q1:15,AUDJPY:3;EURJPY:3;EURUSD:3;GBPUSD:5;USDJPY:11;XAUUSD:4,LONG:12;SHORT:17
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_m15_prev_extreme_bos,3,22,22,40.91,1.366,0.26,222.13,297.51,2.85,1.321,0.979,50.0,40.91,-123.99,346.12,-131.45,353.58,6,4,2025-02:2;2025-08:6;2025-10:2;2026-Q1:12,AUDJPY:2;EURJPY:2;EURUSD:1;GBPUSD:4;USDJPY:9;XAUUSD:4,LONG:8;SHORT:14
