open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5,period,context,run,variant,scenario,strategy_mode,signal_mode,sl_mode,reward_r,trade_index,month,hour,fx_vs_xauusd,regime,session,entry_selection_mode,v4_signal_mode,thirdwave_sl_mode,reversal_signal_type,wave_audit_label,lower_tf_reversal_sl_status,structure_stage_fail_reason,execution_block_reason,sl_atr,risk_r,rr,spread_atr,entry_price,sl,tp,result_R,sl_points,tp_points,tp_atr,risk_amount
2026.01.05 07:55:00,2026.01.05 08:25:31,XAUUSD,LONG,0.05,4410.21,4422.68,2,3,0.0,0.0,62.35,62.35,10062.35,tp 4422.63,30.52,2026.01.05 07:55:00,2026.01.05 08:25:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,1,2026-01,07,XAUUSD,REGIME_TREND_UP,server_00_07,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.53,9.55,1.30,0.0530,4410.21,4400.66,4422.63,1.3058,955.0,1241.5,3.289,47.75
2026.01.05 20:20:00,2026.01.06 02:40:29,XAUUSD,LONG,0.03,4445.21,4431.78,4,5,0.0,-2.5,-40.29,-42.79,10019.56,sl 4431.81,380.48,2026.01.05 20:20:00,2026.01.06 02:40:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,2,2026-01,20,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,micro_break,chasing_entry,valid,,,3.0,13.4,1.30,0.0448,4445.21,4431.81,4462.63,-1.0022,1340.0,1742.0,3.9,42.7
2026.01.08 10:10:00,2026.01.08 10:35:23,XAUUSD,SHORT,0.06,4432.43,4422.52,6,7,0.0,0.0,59.46,59.46,10079.02,tp 4422.52,25.38,2026.01.08 10:10:00,2026.01.08 10:35:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,3,2026-01,10,XAUUSD,REGIME_TREND_DOWN,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,early_lower_high,chasing_entry,valid,,,1.8,7.62,1.30,0.0472,4432.43,4440.05,4422.52,1.3005,762.0,990.6,2.34,45.72
2026.01.08 11:20:00,2026.01.08 14:05:34,XAUUSD,SHORT,0.05,4426.41,4414.09,8,9,0.0,0.0,61.6,61.6,10140.62,tp 4414.13,165.57,2026.01.08 11:20:00,2026.01.08 14:05:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,4,2026-01,11,XAUUSD,REGIME_TREND_DOWN,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,1.92,9.45,1.30,0.0405,4426.41,4435.86,4414.13,1.3037,945.0,1228.5,2.496,47.25
2026.01.08 14:55:00,2026.01.08 15:05:38,XAUUSD,SHORT,0.11,4427.23,4420.98,10,11,0.0,0.0,68.75,68.75,10209.37,tp 4421.39,10.63,2026.01.08 14:55:00,2026.01.08 15:05:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,5,2026-01,14,XAUUSD,REGIME_TREND_DOWN,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,early_lower_high,chasing_entry,valid,,,0.85,4.49,1.30,0.0379,4427.23,4431.72,4421.39,1.392,449.0,583.7,1.105,49.39
2026.01.08 16:15:00,2026.01.08 16:47:46,XAUUSD,SHORT,0.03,4423.42,4436.7,12,13,0.0,0.0,-39.84,-39.84,10169.53,sl 4436.50,32.77,2026.01.08 16:15:00,2026.01.08 16:45:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,6,2026-01,16,XAUUSD,REGIME_TREND_DOWN,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,early_lower_high,chasing_entry,valid,,,2.08,13.08,1.30,0.0317,4423.42,4436.50,4406.42,-1.0153,1308.0,1700.4,2.704,39.24
2026.01.12 09:45:00,2026.01.12 15:07:57,XAUUSD,LONG,0.04,4583.98,4600.14,14,15,0.0,0.0,64.64,64.64,10234.17,tp 4599.93,322.95,2026.01.12 09:45:00,2026.01.12 15:05:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,7,2026-01,09,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,3.04,12.27,1.30,0.0496,4583.98,4571.71,4599.93,1.317,1227.0,1595.1,3.952,49.08
2026.01.13 19:25:00,2026.01.13 19:58:10,XAUUSD,LONG,0.02,4612.47,4592.2,16,17,0.0,0.0,-40.54,-40.54,10193.63,sl 4592.42,33.17,2026.01.13 19:25:00,2026.01.13 19:55:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,8,2026-01,19,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,3.55,20.05,1.30,0.0336,4612.47,4592.42,4638.54,-1.011,2005.0,2606.5,4.615,40.1
2026.01.16 09:25:00,2026.01.16 13:33:52,XAUUSD,SHORT,0.07,4605.93,4612.92,18,19,0.0,0.0,-48.93,-48.93,10144.7,sl 4612.72,248.87,2026.01.16 09:25:00,2026.01.16 13:30:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,9,2026-01,09,XAUUSD,REGIME_TREND_DOWN,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,early_lower_high,chasing_entry,valid,,,1.52,6.79,1.30,0.0447,4605.93,4612.72,4597.10,-1.0295,679.0,882.7,1.976,47.53
2026.01.19 08:05:00,2026.01.20 06:24:43,XAUUSD,LONG,0.04,4670.1,4684.17,20,21,0.0,-3.34,56.28,52.94,10197.64,tp 4684.04,1339.72,2026.01.19 08:05:00,2026.01.20 06:20:00,2026YTD,annual validation,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,10,2026-01,08,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.82,10.72,1.30,0.0552,4670.10,4659.38,4684.04,1.3125,1072.0,1393.6,3.666,40.34
