time,event,symbol,direction,entry_price,sl,tp,result_R,profit,regime,session,scan_interval,entry_selection_mode,higher_tf,higher_swing_low_1,higher_swing_high_1,higher_swing_low_2,higher_swing_high_2,higher_structure_state,higher_trend_age_bars,higher_ema_slope,higher_atr,mid_tf,impulse_start_price,impulse_end_price,pullback_extreme_price,pullback_depth_pct,pullback_depth_atr,pullback_bars,pullback_broke_origin,pullback_structure_low_or_high,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,wave_audit_label,wave_audit_reason,strategy_name
2025.02.03 05:19:59,v3_blocked_candidate,EURUSD,SHORT,1.02186,1.02533,1.01666,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,1.02100,1.03863,1.03605,1.04332,LL_LH,6,-0.00182,0.00383,PERIOD_M15,1.03863,1.02100,1.02515,23.54,2.55,7,false,1.02515,6.04,18.66,PERIOD_M5,1.02201,1.02146,1,0.73,40.0,unclear,100.00,6.38,0.00347,1.50,0.3307,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,35.00,false,1.52,2,0.73,unclear,,0,1,0.73,18.66,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2025.02.03 05:29:59,v3_blocked_candidate,EURUSD,SHORT,1.02186,1.02533,1.01666,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,1.02100,1.03863,1.03605,1.04332,LL_LH,6,-0.00182,0.00383,PERIOD_M15,1.03863,1.02100,1.02515,23.54,2.55,7,false,1.02515,6.68,18.66,PERIOD_M5,1.02201,1.02163,1,0.47,23.0,acceptable,100.00,7.04,0.00347,1.50,0.3652,v3_pullback_entry_too_far,,true,,false,v3_pullback_entry_too_far,0.00,false,0.51,1,0.83,unclear,,0,1,0.47,18.66,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2025.02.03 07:44:59,v3_blocked_candidate,AUDJPY,SHORT,95.093,95.337,94.727,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,94.675,95.669,95.036,96.923,LL_LH,5,-0.146,0.425,PERIOD_M15,95.669,94.675,95.309,63.78,3.64,6,false,95.309,3.18,21.73,PERIOD_M5,95.144,95.142,1,0.72,49.0,unclear,100.00,3.60,0.244,1.50,0.4126,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,35.00,false,1.15,3,0.56,unclear,,0,1,0.72,21.73,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2025.02.03 07:49:59,v3_blocked_candidate,AUDJPY,SHORT,95.152,95.337,94.875,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,94.675,95.669,95.036,96.923,LL_LH,5,-0.146,0.425,PERIOD_M15,95.669,94.675,95.309,63.78,4.10,7,false,95.309,2.44,15.79,PERIOD_M5,95.144,95.093,1,0.92,59.0,late,100.00,2.88,0.185,1.50,0.4356,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,70.00,true,1.51,4,0.93,unclear,,0,1,0.92,15.79,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2025.02.03 12:54:59,v3_blocked_candidate,AUDJPY,SHORT,95.232,95.482,94.857,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,94.675,95.669,95.036,96.923,LL_LH,10,-0.082,0.377,PERIOD_M15,95.669,94.675,95.454,78.37,6.08,5,false,95.454,3.64,22.33,PERIOD_M5,95.172,95.170,1,1.02,62.0,late,100.00,4.10,0.250,1.50,0.4596,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,35.00,false,1.13,6,1.12,unclear,,0,1,1.02,22.33,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2025.02.03 13:14:59,v3_blocked_candidate,AUDJPY,SHORT,95.101,95.378,94.686,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,94.675,95.614,95.036,95.669,LL_LH,9,-0.082,0.378,PERIOD_M15,95.614,94.675,95.350,71.88,5.35,3,false,95.350,4.46,26.52,PERIOD_M5,95.172,95.143,1,0.75,42.0,unclear,100.00,4.97,0.277,1.50,0.5019,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,70.00,true,1.60,3,0.75,unclear,,0,1,0.75,26.52,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2025.02.03 16:34:59,v3_blocked_candidate,GBPJPY,SHORT,190.875,191.360,190.148,,,REGIME_TREND_DOWN,server_16_23,300,all_score_passing,PERIOD_H1,190.231,191.566,190.588,191.652,LL_LH,6,-0.147,0.508,PERIOD_M15,191.566,190.231,191.322,81.72,4.51,3,false,191.322,3.17,33.48,PERIOD_M5,190.938,190.837,1,0.27,38.0,acceptable,100.00,3.44,0.485,1.50,0.2696,v3_pullback_entry_too_far,,true,,false,v3_pullback_entry_too_far,35.00,false,1.76,2,0.31,unclear,,0,1,0.27,33.48,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2025.02.03 16:44:59,v3_blocked_candidate,GBPJPY,SHORT,190.852,191.360,190.090,,,REGIME_TREND_DOWN,server_16_23,300,all_score_passing,PERIOD_H1,190.231,191.566,190.588,191.652,LL_LH,6,-0.147,0.508,PERIOD_M15,191.566,190.231,191.322,81.72,4.51,3,false,191.322,3.21,35.21,PERIOD_M5,190.938,190.872,1,0.14,20.0,early,75.00,3.47,0.508,1.50,0.2594,v3_pullback_entry_too_far,,true,,false,v3_pullback_entry_too_far,0.00,false,0.64,1,0.85,unclear,,0,1,0.14,35.21,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2025.02.03 16:59:59,v3_blocked_candidate,GBPJPY,SHORT,190.891,191.360,190.188,,,REGIME_TREND_DOWN,server_16_23,300,all_score_passing,PERIOD_H1,190.231,191.566,190.588,191.652,LL_LH,6,-0.147,0.508,PERIOD_M15,191.566,190.231,191.322,81.72,4.39,4,false,191.322,2.88,32.28,PERIOD_M5,190.938,190.777,1,0.76,114.0,unclear,75.00,3.14,0.469,1.50,0.2541,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,35.00,false,0.64,4,1.21,unclear,,0,1,0.76,32.28,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
2025.02.04 09:44:59,v3_blocked_candidate,GBPJPY,LONG,192.732,192.353,193.301,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,191.785,193.148,190.013,192.293,HH_HL,10,0.105,0.436,PERIOD_M15,191.785,193.148,192.391,55.54,3.31,3,false,192.391,3.15,25.02,PERIOD_M5,192.799,192.825,1,0.86,93.0,unclear,100.00,3.50,0.379,1.50,0.3514,v3_reclaim_chase_too_far,,true,,false,v3_reclaim_chase_too_far,0.00,false,1.16,2,1.23,unclear,,0,1,0.86,25.02,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V3_EntryTiming
