run_id,period_id,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,run_mode,stop_mode,portfolio_mode,parent_tf,child_tf,top_context_tf,target_r,max_hold_bars,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,avg_r,max_dd_profit,max_dd_pct,recovery_factor,avg_mfe_r,avg_mae_r,mfe_ge_0_5r_rate,mfe_ge_0_8r_rate,mfe_ge_1_0r_rate,mfe_ge_1_3r_rate,tp_rate,full_sl_rate,time_exit_rate,avg_hold_bars,avg_parent_wave2_age,avg_child_flip_signal_age,daily_or_dd_stopped,passed_research_continuation,passed_2025_gate,max_symbol_positive_profit_share,max_session_positive_profit_share
q1_a_parent_flip,q1_quick,2025.01.01,2025.03.31,a_parent_flip,parent_flip_only_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_a_parent_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_a_parent_flip.ini,fractal_wave2_transition_q1_a_parent_flip,0,0,0,15,5,16385,1.30,30,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0
q1_b_parent_wave2,q1_quick,2025.01.01,2025.03.31,b_parent_wave2,parent_wave1_wave2_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_b_parent_wave2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_b_parent_wave2.ini,fractal_wave2_transition_q1_b_parent_wave2,1,0,0,15,5,16385,1.30,30,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0
q1_c_child_countertrend,q1_quick,2025.01.01,2025.03.31,c_child_countertrend,child_countertrend_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_c_child_countertrend.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_c_child_countertrend.ini,fractal_wave2_transition_q1_c_child_countertrend,2,0,0,15,5,16385,1.30,30,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0
q1_d_child_flip,q1_quick,2025.01.01,2025.03.31,d_child_flip,child_flip_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_d_child_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_d_child_flip.ini,fractal_wave2_transition_q1_d_child_flip,3,0,0,15,5,16385,1.30,30,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0
q1_e_base_first_child_flip,q1_quick,2025.01.01,2025.03.31,e_base_first_child_flip,base_first_child_flip,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_e_base_first_child_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_e_base_first_child_flip.ini,fractal_wave2_transition_q1_e_base_first_child_flip,4,0,0,15,5,16385,1.30,30,35,13,0.37142857142857144,-201.28999999999996,235.68999999999997,-436.9800000000001,0.539361069156483,-0.24865637142857153,238.92999999999995,2.3892999999999995,-0.8424643200937514,0.47359505714285705,-0.6731024857142857,0.42857142857142855,0.22857142857142856,0.2,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,19.97142857142857,2.057142857142857,0.0,False,False,False,0.6726632440918157,0.4200857057999915
q1_f_child_stop,q1_quick,2025.01.01,2025.03.31,f_child_stop,child_flip_stop_child_extreme,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_f_child_stop.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_f_child_stop.ini,fractal_wave2_transition_q1_f_child_stop,4,0,0,15,5,16385,1.30,30,35,13,0.37142857142857144,-201.28999999999996,235.68999999999997,-436.9800000000001,0.539361069156483,-0.24865637142857153,238.92999999999995,2.3892999999999995,-0.8424643200937514,0.47359505714285705,-0.6731024857142857,0.42857142857142855,0.22857142857142856,0.2,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,19.97142857142857,2.057142857142857,0.0,False,False,False,0.6726632440918157,0.4200857057999915
q1_g_parent_stop,q1_quick,2025.01.01,2025.03.31,g_parent_stop,child_flip_stop_parent_extreme,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_g_parent_stop.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_g_parent_stop.ini,fractal_wave2_transition_q1_g_parent_stop,4,1,0,15,5,16385,1.30,30,21,7,0.3333333333333333,-162.20999999999998,151.93,-314.13999999999993,0.48363786846628903,-0.326701761904762,203.79,2.0378999999999996,-0.7959664360370969,0.47779880952380954,-0.7603375238095235,0.38095238095238093,0.2857142857142857,0.23809523809523808,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,13.428571428571429,1.8095238095238095,0.0,False,False,False,0.7187520568682947,0.5454485618376884
q1_h_one_symbol,q1_quick,2025.01.01,2025.03.31,h_one_symbol,one_symbol_first_child_flip,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_h_one_symbol.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_h_one_symbol.ini,fractal_wave2_transition_q1_h_one_symbol,4,0,1,15,5,16385,1.30,30,35,13,0.37142857142857144,-201.28999999999996,235.68999999999997,-436.9800000000001,0.539361069156483,-0.24865637142857153,238.92999999999995,2.3892999999999995,-0.8424643200937514,0.47359505714285705,-0.6731024857142857,0.42857142857142855,0.22857142857142856,0.2,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,19.97142857142857,2.057142857142857,0.0,False,False,False,0.6726632440918157,0.4200857057999915
q1_i_h1_diag,q1_quick,2025.01.01,2025.03.31,i_h1_diag,all_symbols_h1_alignment_diag,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_i_h1_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_i_h1_diag.ini,fractal_wave2_transition_q1_i_h1_diag,4,0,0,15,5,16385,1.30,30,35,13,0.37142857142857144,-201.28999999999996,235.68999999999997,-436.9800000000001,0.539361069156483,-0.24865637142857153,238.92999999999995,2.3892999999999995,-0.8424643200937514,0.47359505714285705,-0.6731024857142857,0.42857142857142855,0.22857142857142856,0.2,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,19.97142857142857,2.057142857142857,0.0,False,False,False,0.6726632440918157,0.4200857057999915
q1_j_full_fractal_diag,q1_quick,2025.01.01,2025.03.31,j_full_fractal_diag,all_symbols_full_fractal_diag,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_j_full_fractal_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_j_full_fractal_diag.ini,fractal_wave2_transition_q1_j_full_fractal_diag,4,0,0,15,5,16385,1.30,30,35,13,0.37142857142857144,-201.28999999999996,235.68999999999997,-436.9800000000001,0.539361069156483,-0.24865637142857153,238.92999999999995,2.3892999999999995,-0.8424643200937514,0.47359505714285705,-0.6731024857142857,0.42857142857142855,0.22857142857142856,0.2,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,19.97142857142857,2.057142857142857,0.0,False,False,False,0.6726632440918157,0.4200857057999915
