period_id,variant,variant_name,parent_direction,wave2_active,invalid_reason,strategy_state,count
full2025_validation,i_h1_diag,all_symbols_h1_alignment_diag,LONG,true,none,PARENT_WAVE2_ACTIVE,2036
full2025_validation,i_h1_diag,all_symbols_h1_alignment_diag,SHORT,false,wave1_origin_broken,INVALIDATED,31
full2025_validation,i_h1_diag,all_symbols_h1_alignment_diag,SHORT,true,none,PARENT_WAVE2_ACTIVE,1931
full2025_validation,j_full_fractal_diag,all_symbols_full_fractal_diag,LONG,false,wave1_origin_broken,INVALIDATED,40
full2025_validation,j_full_fractal_diag,all_symbols_full_fractal_diag,LONG,true,none,PARENT_WAVE2_ACTIVE,2036
full2025_validation,j_full_fractal_diag,all_symbols_full_fractal_diag,SHORT,false,wave1_origin_broken,INVALIDATED,31
full2025_validation,j_full_fractal_diag,all_symbols_full_fractal_diag,SHORT,true,none,PARENT_WAVE2_ACTIVE,1931
q1_quick,a_parent_flip,parent_flip_only_diagnostic,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,a_parent_flip,parent_flip_only_diagnostic,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,a_parent_flip,parent_flip_only_diagnostic,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,a_parent_flip,parent_flip_only_diagnostic,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
q1_quick,b_parent_wave2,parent_wave1_wave2_diagnostic,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,b_parent_wave2,parent_wave1_wave2_diagnostic,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,b_parent_wave2,parent_wave1_wave2_diagnostic,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,b_parent_wave2,parent_wave1_wave2_diagnostic,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
q1_quick,c_child_countertrend,child_countertrend_diagnostic,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,c_child_countertrend,child_countertrend_diagnostic,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,c_child_countertrend,child_countertrend_diagnostic,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,c_child_countertrend,child_countertrend_diagnostic,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
q1_quick,d_child_flip,child_flip_diagnostic,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,d_child_flip,child_flip_diagnostic,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,d_child_flip,child_flip_diagnostic,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,d_child_flip,child_flip_diagnostic,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
q1_quick,e_base_first_child_flip,base_first_child_flip,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,e_base_first_child_flip,base_first_child_flip,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,e_base_first_child_flip,base_first_child_flip,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,e_base_first_child_flip,base_first_child_flip,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
q1_quick,f_child_stop,child_flip_stop_child_extreme,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,f_child_stop,child_flip_stop_child_extreme,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,f_child_stop,child_flip_stop_child_extreme,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,f_child_stop,child_flip_stop_child_extreme,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
q1_quick,g_parent_stop,child_flip_stop_parent_extreme,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,g_parent_stop,child_flip_stop_parent_extreme,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,g_parent_stop,child_flip_stop_parent_extreme,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,g_parent_stop,child_flip_stop_parent_extreme,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
q1_quick,h_one_symbol,one_symbol_first_child_flip,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,h_one_symbol,one_symbol_first_child_flip,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,h_one_symbol,one_symbol_first_child_flip,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,h_one_symbol,one_symbol_first_child_flip,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
q1_quick,i_h1_diag,all_symbols_h1_alignment_diag,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,i_h1_diag,all_symbols_h1_alignment_diag,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,i_h1_diag,all_symbols_h1_alignment_diag,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,i_h1_diag,all_symbols_h1_alignment_diag,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
q1_quick,j_full_fractal_diag,all_symbols_full_fractal_diag,LONG,false,wave1_origin_broken,INVALIDATED,12
q1_quick,j_full_fractal_diag,all_symbols_full_fractal_diag,LONG,true,none,PARENT_WAVE2_ACTIVE,480
q1_quick,j_full_fractal_diag,all_symbols_full_fractal_diag,SHORT,false,wave1_origin_broken,INVALIDATED,7
q1_quick,j_full_fractal_diag,all_symbols_full_fractal_diag,SHORT,true,none,PARENT_WAVE2_ACTIVE,465
