entry_time,exit_time,strategy,run_id,symbol,direction,parent_tf,child_tf,top_context_tf,entry_parent_event_id,entry_child_flip_event_id,entry_signal_age_bars,entry_on_first_child_flip,entry_signal_consumed,entry_signal_reused_blocked,entry_parent_wave2_age,entry_child_trend_before_flip,parent_wave2_start_mode,parent_wave2_start_reason,parent_wave2_start_delay_bars,child_anchor_mode,child_anchor_version,child_anchor_update_count,child_first_anchor_price,child_latest_anchor_price,child_anchor_used_for_flip,child_anchor_is_latest_valid,child_anchor_changed_after_initial_detection,child_swing_count,child_extension_count,child_countertrend_valid_at_entry,child_countertrend_reject_reason,child_flip_is_first_break_after_anchor,child_flip_is_fresh,signal_validation_pass,signal_validation_reject_reason,signal_reserved_before_portfolio,signal_consumption_stage,entry_reason,entry_reject_reason,h1_bias_state,h1_alignment_with_parent,h4_bias_state,h4_alignment_with_parent,fractal_alignment_count,full_fractal_alignment,session_label,utc_hour,weekday,stop_mode,entry,exit,stop_loss,take_profit,risk_price,result_r,max_favorable_r_before_exit,max_adverse_r_before_exit,reached_0_5r,reached_0_8r,reached_1_0r,reached_1_3r,bars_to_0_5r,bars_to_1_0r,bars_to_1_3r,exit_type,full_sl_exit,tp_exit,time_exit,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,deal_reason
"2025.01.02 03:20:00","2025.01.02 04:50:01","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","USDJPY","LONG","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|LONG|1735781400|157.374","USDJPY|CHILD_FLIP|LONG|1735787700|157.563","0","true","true","false","0","falling","2","child_countertrend_confirmed","6","latest_valid","1","0","157.56300000","157.56300000","157.56300000","true","false","4","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","rising","true","falling","false","2","false","tokyo","0","4","child_wave_extreme","157.65200000","157.28000000","157.28050000","158.13495000","0.37150000","-1.001346","0.018843","-0.990579","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-23.65","0.00","0.00","-23.65","0.1000","1.30","18","0.09500000","DEAL_REASON_SL"
"2025.01.02 16:50:00","2025.01.02 19:20:00","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","USDJPY","LONG","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|LONG|1735823700|157.206","USDJPY|CHILD_FLIP|LONG|1735836300|157.088","0","true","true","false","0","falling","2","child_countertrend_confirmed","9","latest_valid","3","2","157.18600000","157.08800000","157.08800000","true","true","8","3","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","falling","false","falling","false","1","false","london_newyork_overlap","13","4","child_wave_extreme","157.12300000","157.70600000","156.61107857","157.78849786","0.51192143","1.138847","1.213077","-0.677838","true","true","true","false","15","22","-1","time","false","false","true","25.88","0.00","0.00","25.88","0.0700","1.30","30","0.16921429","DEAL_REASON_EXPERT"
"2025.01.07 16:10:00","2025.01.07 16:43:09","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","USDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|SHORT|1736262000|157.614","USDJPY|CHILD_FLIP|SHORT|1736265900|157.626","0","true","true","false","0","rising","2","child_countertrend_confirmed","4","latest_valid","1","0","157.62600000","157.62600000","157.62600000","true","false","4","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","rising","false","range","false","1","false","london_newyork_overlap","13","2","child_wave_extreme","157.59300000","157.78400000","157.78304286","157.34594429","0.19004286","-1.005036","0.005262","-0.989251","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-24.21","0.00","0.00","-24.21","0.2000","1.30","6","0.08042857","DEAL_REASON_SL"
"2025.01.10 17:05:00","2025.01.10 17:20:57","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","EURUSD","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","EURUSD|PARENT|SHORT|1736523000|1.02984","EURUSD|CHILD_FLIP|SHORT|1736528400|1.02497","0","true","true","false","0","rising","2","child_countertrend_confirmed","3","latest_valid","2","1","1.02436000","1.02497000","1.02497000","true","true","6","2","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","rising","false","range","false","1","false","london_newyork_overlap","14","5","child_wave_extreme","1.02468000","1.02734000","1.02732150","1.02124605","0.00264150","-1.007004","0.162786","-0.988075","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-23.94","0.00","0.00","-23.94","0.0900","1.30","3","0.00121500","DEAL_REASON_SL"
"2025.01.10 18:05:00","2025.01.10 20:35:01","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","GBPUSD","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","GBPUSD|PARENT|SHORT|1736523900|1.22855","GBPUSD|CHILD_FLIP|SHORT|1736532000|1.22220","0","true","true","false","0","rising","2","child_countertrend_confirmed","7","latest_valid","1","0","1.22220000","1.22220000","1.22220000","true","false","3","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","range","false","range","false","1","false","london_newyork_overlap","15","5","child_wave_extreme","1.22152000","1.22083000","1.22631064","1.21529216","0.00479064","0.144031","0.392432","-0.361121","false","false","false","false","-1","-1","-1","time","false","false","true","3.45","0.00","0.00","3.45","0.0500","1.30","30","0.00130643","DEAL_REASON_EXPERT"
"2025.01.15 17:35:00","2025.01.15 18:07:41","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","USDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|SHORT|1736955000|156.708","USDJPY|CHILD_FLIP|SHORT|1736962200|156.197","0","true","true","false","0","rising","2","child_countertrend_confirmed","7","latest_valid","1","0","156.19700000","156.19700000","156.19700000","true","false","6","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","falling","true","falling","true","3","true","london_newyork_overlap","14","3","child_wave_extreme","156.12800000","156.53400000","156.53442857","155.59964286","0.40642857","-0.998946","0.017223","-0.986643","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-23.34","0.00","0.00","-23.34","0.0900","1.30","6","0.14428571","DEAL_REASON_SL"
"2025.01.16 06:05:00","2025.01.16 06:29:52","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","USDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|SHORT|1736998200|156.185","USDJPY|CHILD_FLIP|SHORT|1737007200|155.698","0","true","true","false","0","rising","2","child_countertrend_confirmed","4","latest_valid","3","2","155.20200000","155.69800000","155.69800000","true","true","8","3","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","falling","true","falling","true","3","true","tokyo","3","4","child_wave_extreme","155.64400000","155.86500000","155.86462857","155.35718286","0.22062857","-1.001684","0.131443","-0.979021","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-24.10","0.00","0.00","-24.10","0.1700","1.30","4","0.08628571","DEAL_REASON_SL"
"2025.01.17 03:10:00","2025.01.17 05:40:00","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","USDJPY","LONG","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|LONG|1737078300|155.308","USDJPY|CHILD_FLIP|LONG|1737083100|155.250","0","true","true","false","0","falling","2","child_countertrend_confirmed","3","latest_valid","2","1","155.47900000","155.25000000","155.25000000","true","true","5","2","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","range","false","falling","false","1","false","tokyo","0","5","child_wave_extreme","155.28600000","155.41900000","154.95741429","155.71316143","0.32858571","0.404765","0.517369","-0.456502","true","false","false","false","20","-1","-1","time","false","false","true","9.41","0.00","0.00","9.41","0.1100","1.30","30","0.11585714","DEAL_REASON_EXPERT"
"2025.01.21 17:50:00","2025.01.21 20:20:00","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","USDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|SHORT|1737468900|155.801","USDJPY|CHILD_FLIP|SHORT|1737481500|155.328","0","true","true","false","0","rising","2","child_countertrend_confirmed","12","latest_valid","1","0","155.32800000","155.32800000","155.32800000","true","false","6","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","falling","true","falling","true","3","true","london_newyork_overlap","14","2","child_wave_extreme","155.29700000","155.58400000","155.73995714","154.72115571","0.44295714","-0.647918","0.074499","-0.697584","false","false","false","false","-1","-1","-1","time","false","false","true","-14.76","0.00","0.00","-14.76","0.0800","1.30","30","0.12957143","DEAL_REASON_EXPERT"
"2025.01.23 18:15:00","2025.01.23 20:45:00","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","combined_2025","USDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|SHORT|1737646200|156.197","USDJPY|CHILD_FLIP|SHORT|1737655800|156.150","0","true","true","false","0","rising","2","child_countertrend_confirmed","8","latest_valid","1","0","156.15000000","156.15000000","156.15000000","true","false","4","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","falling","true","rising","false","2","false","london_newyork_overlap","15","4","child_wave_extreme","156.07900000","155.96400000","156.47946429","155.55839643","0.40046429","0.287167","0.506912","-0.257201","true","false","false","false","6","-1","-1","time","false","false","true","6.64","0.00","0.00","6.64","0.0900","1.30","30","0.12464286","DEAL_REASON_EXPERT"
