run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpM15WaveContextMode,InpM15Wave2ExpansionMode,InpM15Wave2GateMode,InpM15Wave2AdjacentMode,InpUseM15Wave1Quality,InpM15Wave1QualityMode,InpM15Wave1QualityCombineMode,InpUseM15SwingAnchorBias,InpM15SwingAnchorMode,InpM15AnchorBreakUseClose,InpM15AnchorBreakMinAtr,InpM15AnchorLookbackBars,InpM15AnchorMinSwingStrength,InpM15RequirePullbackAfterBiasFlip,InpM15BiasFlipMaxAgeBars,InpM15AnchorFlipRequireHighMediumM5Pattern,InpM15AnchorFlipRequireCorrectiveExhaustion,InpM15AnchorRangeMode,InpUseTruePostAnchorBreakPullback,InpPostAnchorPullbackMode,InpPostAnchorPullbackTF,InpPostAnchorPullbackMaxBars,InpPostAnchorPullbackMinBars,InpPostAnchorRetestMaxDistanceAtr,InpPostAnchorAllowCloseBackInsideAtr,InpPostAnchorRequireM5Reconfirm,InpExitMode,InpMaxHoldBars
q1_one_light_or_anchor_pullback,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,one_light_or_anchor_pullback,one_symbol_required_light_OR_anchor_true_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_one_light_or_anchor_pullback.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_one_light_or_anchor_pullback.ini,fx_session_reversal_m15_anchor_first_break_q1_one_light_or_anchor_pullback,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,false,false,0,true,3,5,24,1,0.25,0.10,false,1,30
full2025_base,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,base,baseline_c10_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_base.ini,fx_session_reversal_m15_anchor_first_break_full2025_base,16385,15,5,0,false,0,0,0,0,0,false,0,0,false,0,true,0.05,96,2,false,24,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30
full2025_light,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light,required_light_original_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_light.ini,fx_session_reversal_m15_anchor_first_break_full2025_light,16385,15,5,0,true,2,3,0,0,0,false,0,0,false,0,true,0.05,96,2,false,24,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30
full2025_anchor_diag_first_break,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,anchor_diag_first_break,anchor_diag_first_break,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_diag_first_break.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_diag_first_break.ini,fx_session_reversal_m15_anchor_first_break_full2025_anchor_diag_first_break,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,1,true,0.05,96,2,false,24,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30
full2025_anchor_flip_first_break,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,anchor_flip_first_break,anchor_flip_first_break_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_flip_first_break.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_flip_first_break.ini,fx_session_reversal_m15_anchor_first_break_full2025_anchor_flip_first_break,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,24,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30
full2025_anchor_flip_first_break_fresh,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,anchor_flip_first_break_fresh,anchor_flip_first_break_fresh_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_flip_first_break_fresh.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_flip_first_break_fresh.ini,fx_session_reversal_m15_anchor_first_break_full2025_anchor_flip_first_break_fresh,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,12,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30
full2025_anchor_pullback_diag,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,anchor_pullback_diag,anchor_flip_true_pullback_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_pullback_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_pullback_diag.ini,fx_session_reversal_m15_anchor_first_break_full2025_anchor_pullback_diag,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,1,true,0.05,96,2,false,24,false,false,0,true,1,5,24,1,0.25,0.10,false,1,30
full2025_anchor_pullback_required,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,anchor_pullback_required,anchor_flip_true_pullback_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_pullback_required.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_pullback_required.ini,fx_session_reversal_m15_anchor_first_break_full2025_anchor_pullback_required,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,24,false,false,0,true,3,5,24,1,0.25,0.10,false,1,30
full2025_anchor_pullback_m5_reconfirm,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,anchor_pullback_m5_reconfirm,anchor_flip_true_pullback_m5_reconfirm,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_pullback_m5_reconfirm.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_anchor_pullback_m5_reconfirm.ini,fx_session_reversal_m15_anchor_first_break_full2025_anchor_pullback_m5_reconfirm,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,24,false,false,0,true,3,5,24,1,0.25,0.10,true,1,30
full2025_light_or_anchor_pullback,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_anchor_pullback,required_light_OR_anchor_true_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_light_or_anchor_pullback.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_light_or_anchor_pullback.ini,fx_session_reversal_m15_anchor_first_break_full2025_light_or_anchor_pullback,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,false,false,0,true,3,5,24,1,0.25,0.10,false,1,30
full2025_light_or_anchor_pullback_m5pattern,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_anchor_pullback_m5pattern,required_light_OR_anchor_true_pullback_m5pattern,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_light_or_anchor_pullback_m5pattern.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_light_or_anchor_pullback_m5pattern.ini,fx_session_reversal_m15_anchor_first_break_full2025_light_or_anchor_pullback_m5pattern,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,true,false,0,true,3,5,24,1,0.25,0.10,false,1,30
full2025_light_or_anchor_pullback_exhaustion,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_anchor_pullback_exhaustion,required_light_OR_anchor_true_pullback_exhaustion,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_light_or_anchor_pullback_exhaustion.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_light_or_anchor_pullback_exhaustion.ini,fx_session_reversal_m15_anchor_first_break_full2025_light_or_anchor_pullback_exhaustion,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,false,true,0,true,3,5,24,1,0.25,0.10,false,1,30
full2025_one_anchor_pullback,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_anchor_pullback,one_symbol_anchor_true_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_one_anchor_pullback.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_one_anchor_pullback.ini,fx_session_reversal_m15_anchor_first_break_full2025_one_anchor_pullback,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,24,false,false,0,true,3,5,24,1,0.25,0.10,false,1,30
full2025_one_light_or_anchor_pullback,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_light_or_anchor_pullback,one_symbol_required_light_OR_anchor_true_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_one_light_or_anchor_pullback.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_full2025_one_light_or_anchor_pullback.ini,fx_session_reversal_m15_anchor_first_break_full2025_one_light_or_anchor_pullback,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,false,false,0,true,3,5,24,1,0.25,0.10,false,1,30
