kind,side,context,horizon,expression,test_trades,test_tpd,test_expectancy,test_hit_rate,test_spread_mean_atr,test_spread_floor_atr,test_net_mean_after_spread,test_net_floor_after_spread,rule_a,rule_b
single,long,late,12,(ema_gap_20_50 <= -1.3698491409549307),659,7.924178531167801,0.537355048626826,0.6433990895295902,0.19419495798116002,0.21935260956669067,0.343160090645666,0.31800243906013537,,
single,short,ny,12,(macd_line_atr >= 0.9664991804238436),585,6.633854392251053,0.5221497969490219,0.5965811965811966,0.1928349025371223,0.2189310526447819,0.32931489441189954,0.30321874430423995,,
single,long,late,12,(ema_gap_50_100 <= -1.6928388037485844),885,10.646616541353383,0.5398155740599171,0.63954802259887,0.2197004345647458,0.26442758728764976,0.3201151394951713,0.27538798677226733,,
single,long,late,12,(ret_24 <= -0.0056613738716477),840,9.537175747062998,0.4040681397404821,0.5904761904761905,0.13398342104413444,0.16497495218839892,0.27008471869634765,0.2390931875520832,,
single,long,late,12,(macd_line_atr <= -0.869920056320943),467,5.618045112781955,0.4574688066422792,0.6274089935760171,0.2012277094511039,0.21952431325504287,0.25624109719117527,0.2379444933872363,,
single,long,late,12,(bb_z <= -1.675619408583442),394,4.524582319869213,0.5067393182048635,0.6294416243654822,0.2325502412431059,0.273031365031977,0.27418907696175765,0.2337079531728865,,
single,long,late,12,(ema50_slope_6 <= -0.620545774915175),533,6.41203007518797,0.448249381682082,0.6360225140712945,0.20024447381897625,0.21909465812311324,0.24800490786310575,0.22915472355896876,,
single,long,late,12,(macd_hist <= -0.2943564255777498),345,3.965358981522129,0.4837333122080263,0.6,0.23532604146818145,0.27492156189395606,0.24840727073984484,0.20881175031407023,,
single,short,ny,12,(high_break_24 >= -0.3645223794025753),757,8.582293429909853,0.4867759655546946,0.5865257595772787,0.2426644312181028,0.2895803103106365,0.2441115343365918,0.19719565524405808,,
single,long,late,12,(high_break_24 <= -5.285006808207483),395,4.53678963110668,0.4657708719082195,0.620253164556962,0.24831670022000105,0.27554916496453097,0.21745417168821843,0.1902217069436885,,
single,long,late,12,(close_vs_ema50 <= -2.7054238225311456),450,5.287853441592884,0.4210258698321342,0.6266666666666667,0.21131788557605577,0.235283415685567,0.20970798425607842,0.1857424541465672,,
single,short,ny,12,(stoch_spread >= 15.295412263773596),838,9.489403530845752,0.4670495633666593,0.545346062052506,0.24257910187711293,0.2833814888160221,0.22447046148954639,0.18366807455063722,,
single,long,late,12,(adx14 <= 16.342001468755477),395,4.700826446280992,0.4813880449179707,0.5645569620253165,0.27143485004308626,0.305642605787923,0.20995319487488445,0.1757454391300477,,
single,short,ny,12,(ema50_slope_6 >= 0.7040934163602035),613,7.191787518331432,0.3928085708028121,0.567699836867863,0.19545509398815392,0.2215932168968307,0.1973534768146582,0.17121535390598142,,
single,long,late,12,(breakout_followthrough_down >= 0.1432704796532965),350,4.0201005025125625,0.440775297292193,0.6028571428571429,0.235827937619167,0.27320502144770725,0.204947359673026,0.16757027584448575,,
single,short,asia,12,(tick_volume_z >= 1.5444230988354517),587,6.67229743063504,0.4027532646933243,0.4821124361158432,0.200419712922627,0.23886069975577223,0.20233355177069728,0.16389256493755205,,
single,long,late,12,(stoch_k <= 8.865753494455788),320,3.674934205279528,0.4376005414118815,0.628125,0.24000774493347474,0.27760467470770495,0.19759279647840675,0.15999586670417654,,
single,long,late,12,(roc_atr_12 <= -2.840242088731333),376,4.318047691203446,0.4173807890435269,0.6276595744680851,0.2285239114956921,0.2607092429181167,0.18885687754783478,0.15667154612541018,,
single,long,late,12,(close_vs_ema20 <= -1.7154655841262514),384,4.410096901543247,0.4135856640365182,0.6197916666666666,0.228230669995422,0.2604194635878253,0.1853549940410962,0.1531662004486929,,
