Mode,Period,From,To,Magic,Ini,Set,RejectReason,Count
C_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052301,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2026q1-usdjpy.set,daily_loss_r_blocked,4
C_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052301,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2026q1-usdjpy.set,total_open_risk_blocked,30
C_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052302,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025q4-usdjpy.set,daily_loss_r_blocked,4
C_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052302,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025q4-usdjpy.set,monthly_loss_r_blocked,11
C_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052302,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025q4-usdjpy.set,total_open_risk_blocked,18
C_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052302,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025q4-usdjpy.set,weekly_loss_r_blocked,2
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,daily_loss_r_blocked,12
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,max_drawdown_r_blocked,43
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,monthly_loss_r_blocked,13
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,total_open_risk_blocked,77
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,weekly_loss_r_blocked,14
