episode_id,symbol,direction,signal_msc,processing_msc,request_msc,quote_msc,entry_msc,exit_msc,requested_volume,filled_volume,closed_volume,entry_price,exit_price,sl,tp,risk_amount,gross_profit,commission,fee,swap,net_profit,gross_r,net_r,hold_seconds,exit_reason,entry_deals,exit_deals,position_identifier
usdjpy_only_ml_202505_20260912_USDJPY_mh_9,USDJPY,-1,1746201380250,1746201381055,1746201381258,1746201381157,1746201381258,1746202281321,0.04,0.04,0.04,144.663,144.557,144.956,144.37,8.09,2.93,0.0,0.0,0.0,2.93,0.36217552533992586,0.36217552533992586,900.063,TIME,1,1,2
usdjpy_only_ml_202505_20260912_USDJPY_mh_10,USDJPY,-1,1746202342000,1746202342110,1746202342273,1746202342142,1746202342273,1746202840721,0.04,0.04,0.04,144.55,144.256,144.844,144.256,8.12,8.15,0.0,0.0,0.0,8.15,1.0036945812807883,1.0036945812807883,498.448,TP,1,1,4
usdjpy_only_ml_202505_20260912_USDJPY_mh_11,USDJPY,-1,1746203401500,1746203401717,1746203402010,1746203401968,1746203402010,1746203944906,0.04,0.04,0.04,144.179,143.876,144.48,143.878,8.33,8.42,0.0,0.0,0.0,8.42,1.0108043217286915,1.0108043217286915,542.896,TP,1,1,6
usdjpy_only_ml_202505_20260912_USDJPY_mh_12,USDJPY,1,1746204516000,1746204516601,1746204516804,1746204516701,1746204516804,1746205417399,0.04,0.04,0.04,143.819,143.887,143.486,144.152,9.28,1.8900000000000001,0.0,0.0,0.0,1.8900000000000001,0.20366379310344832,0.20366379310344832,900.595,TIME,1,1,8
usdjpy_only_ml_202505_20260912_USDJPY_mh_13,USDJPY,-1,1746205505250,1746205506041,1746205506062,1746205506060,1746205506062,1746206406086,0.04,0.04,0.04,143.884,144.093,144.222,143.546,9.37,-5.8,0.0,0.0,0.0,-5.8,-0.6189967982924227,-0.6189967982924227,900.024,TIME,1,1,10
usdjpy_only_ml_202505_20260912_USDJPY_mh_17,USDJPY,-1,1746210671500,1746210672162,1746210672866,1746210672793,1746210672866,1746211573258,0.05,0.05,0.05,144.42,144.457,144.69,144.15,9.33,-1.28,0.0,0.0,0.0,-1.28,-0.13719185423365488,-0.13719185423365488,900.392,TIME,1,1,12
usdjpy_only_ml_202505_20260912_USDJPY_mh_18,USDJPY,-1,1746211636500,1746211636666,1746211636967,1746211636867,1746211636967,1746212536992,0.05,0.05,0.05,144.497,144.622,144.748,144.246,8.67,-4.32,0.0,0.0,0.0,-4.32,-0.49826989619377166,-0.49826989619377166,900.025,TIME,1,1,14
usdjpy_only_ml_202505_20260912_USDJPY_mh_36,USDJPY,1,1746455153750,1746455157244,1746455157347,1746455157304,1746455157347,1746456057561,0.1,0.1,0.1,143.792,143.89,143.656,143.928,9.47,6.8100000000000005,0.0,0.0,0.0,6.8100000000000005,0.7191129883843717,0.7191129883843717,900.214,TIME,1,1,16
usdjpy_only_ml_202505_20260912_USDJPY_mh_42,USDJPY,-1,1746466205250,1746466207323,1746466207523,1746466207494,1746466207523,1746467108965,0.06,0.06,0.06,143.698,143.745,143.928,143.468,9.59,-1.96,0.0,0.0,0.0,-1.96,-0.20437956204379562,-0.20437956204379562,901.442,TIME,1,1,18
usdjpy_only_ml_202505_20260912_USDJPY_mh_43,USDJPY,-1,1746467420750,1746467420961,1746467422870,1746467422869,1746467422870,1746468327514,0.06,0.06,0.06,143.813,143.786,144.046,143.58,9.71,1.13,0.0,0.0,0.0,1.13,0.1163748712667353,0.1163748712667353,904.644,TIME,1,1,20
usdjpy_only_ml_202505_20260912_USDJPY_mh_45,USDJPY,-1,1746470541000,1746470543311,1746470543411,1746470543329,1746470543411,1746471447021,0.06,0.06,0.06,143.942,143.988,144.161,143.723,9.11,-1.92,0.0,0.0,0.0,-1.92,-0.21075740944017562,-0.21075740944017562,903.61,TIME,1,1,22
