feature_set,fold,feature,importance
MODEL_X_PLUS_EXISTING,3,num__spread_10s_atr,18
MODEL_X_PLUS_EXISTING,3,num__spread_30s_atr,36
MODEL_X_PLUS_EXISTING,3,num__spread_change_5s_atr,0
MODEL_X_PLUS_EXISTING,3,num__spread_change_10s_atr,37
MODEL_X_PLUS_EXISTING,3,num__spread_change_30s_atr,0
MODEL_X_PLUS_EXISTING,3,num__ticks_5s,17
MODEL_X_PLUS_EXISTING,3,num__ticks_10s,37
MODEL_X_PLUS_EXISTING,3,num__ticks_30s,18
MODEL_X_PLUS_EXISTING,3,num__ticks_60s,17
MODEL_X_PLUS_EXISTING,3,num__ticks_120s,36
MODEL_X_PLUS_EXISTING,3,num__tick_ratio_5s_prev5s,6
MODEL_X_PLUS_EXISTING,3,num__tick_ratio_30s_prev30s,20
MODEL_X_PLUS_EXISTING,3,num__range_30s_atr,0
MODEL_X_PLUS_EXISTING,3,num__range_60s_atr,5
MODEL_X_PLUS_EXISTING,3,num__range_180s_atr,13
MODEL_X_PLUS_EXISTING,3,num__range_300s_atr,9
MODEL_X_PLUS_EXISTING,3,num__range_900s_atr,39
MODEL_X_PLUS_EXISTING,3,num__range_1800s_atr,10
MODEL_X_PLUS_EXISTING,3,num__range_3600s_atr,34
MODEL_X_PLUS_EXISTING,3,num__realized_abs_30s_atr,35
MODEL_X_PLUS_EXISTING,3,num__realized_abs_60s_atr,11
MODEL_X_PLUS_EXISTING,3,num__realized_abs_180s_atr,2
MODEL_X_PLUS_EXISTING,3,num__realized_abs_300s_atr,14
MODEL_X_PLUS_EXISTING,3,num__accel_10s_vs_prev30s,35
MODEL_X_PLUS_EXISTING,3,num__return_30s_vs_prev30s,53
MODEL_X_PLUS_EXISTING,3,num__direction_consistency_30s,58
MODEL_X_PLUS_EXISTING,3,num__range_position_900s_dir,10
MODEL_X_PLUS_EXISTING,3,num__distance_high_900s_dir_atr,15
MODEL_X_PLUS_EXISTING,3,num__distance_low_900s_dir_atr,5
MODEL_X_PLUS_EXISTING,3,num__atr14_m5_slope_3bars,14
MODEL_X_PLUS_EXISTING,3,num__available_count,0
MODEL_X_PLUS_EXISTING,3,num__future_sources,0
MODEL_X_PLUS_EXISTING,3,cat__symbol_AUDUSD,0
MODEL_X_PLUS_EXISTING,3,cat__symbol_EURUSD,0
MODEL_X_PLUS_EXISTING,3,cat__symbol_GBPUSD,0
MODEL_X_PLUS_EXISTING,3,cat__symbol_USDCAD,0
MODEL_X_PLUS_EXISTING,3,cat__symbol_USDCHF,0
MODEL_X_PLUS_EXISTING,3,cat__symbol_USDJPY,0
MODEL_X_PLUS_EXISTING,3,cat__shock_direction_LONG,0
MODEL_X_PLUS_EXISTING,3,cat__shock_direction_SHORT,0
MODEL_X_PLUS_EXISTING,3,cat__action_CONTINUATION,0
MODEL_X_PLUS_EXISTING,3,cat__action_REVERSAL,2
MODEL_X_PLUS_EXISTING,3,cat__target_lead_bucket_EARLY,0
MODEL_X_PLUS_EXISTING,3,cat__target_lead_bucket_LATE,0
MODEL_X_PLUS_EXISTING,3,cat__target_lead_bucket_MIDDLE,0
MODEL_X_PLUS_EXISTING,3,cat__target_lead_bucket_NO_CROSSING,0
MODEL_X_PLUS_EXISTING,4,num__action_sign,14
MODEL_X_PLUS_EXISTING,4,num__atr14_m5,26
MODEL_X_PLUS_EXISTING,4,num__target_usd_return_atr_1s,14
MODEL_X_PLUS_EXISTING,4,num__valid_cross_symbols_1s,0
MODEL_X_PLUS_EXISTING,4,num__usd_breadth_count_1s,1
MODEL_X_PLUS_EXISTING,4,num__usd_breadth_1s,0
MODEL_X_PLUS_EXISTING,4,num__usd_consensus_median_1s,26
MODEL_X_PLUS_EXISTING,4,num__shock_aligned_usd_consensus_1s,31
MODEL_X_PLUS_EXISTING,4,num__target_residual_1s,36
MODEL_X_PLUS_EXISTING,4,num__shock_aligned_target_residual_1s,20
MODEL_X_PLUS_EXISTING,4,num__target_usd_return_atr_3s,2
MODEL_X_PLUS_EXISTING,4,num__valid_cross_symbols_3s,0
MODEL_X_PLUS_EXISTING,4,num__usd_breadth_count_3s,0
MODEL_X_PLUS_EXISTING,4,num__usd_breadth_3s,0
MODEL_X_PLUS_EXISTING,4,num__usd_consensus_median_3s,2
MODEL_X_PLUS_EXISTING,4,num__shock_aligned_usd_consensus_3s,20
MODEL_X_PLUS_EXISTING,4,num__target_residual_3s,8
MODEL_X_PLUS_EXISTING,4,num__shock_aligned_target_residual_3s,13
MODEL_X_PLUS_EXISTING,4,num__target_usd_return_atr_5s,9
MODEL_X_PLUS_EXISTING,4,num__valid_cross_symbols_5s,0
MODEL_X_PLUS_EXISTING,4,num__usd_breadth_count_5s,3
MODEL_X_PLUS_EXISTING,4,num__usd_breadth_5s,0
MODEL_X_PLUS_EXISTING,4,num__usd_consensus_median_5s,30
MODEL_X_PLUS_EXISTING,4,num__shock_aligned_usd_consensus_5s,11
MODEL_X_PLUS_EXISTING,4,num__target_residual_5s,21
MODEL_X_PLUS_EXISTING,4,num__shock_aligned_target_residual_5s,6
MODEL_X_PLUS_EXISTING,4,num__target_usd_return_atr_10s,5
MODEL_X_PLUS_EXISTING,4,num__valid_cross_symbols_10s,0
MODEL_X_PLUS_EXISTING,4,num__usd_breadth_count_10s,0
MODEL_X_PLUS_EXISTING,4,num__usd_breadth_10s,0
MODEL_X_PLUS_EXISTING,4,num__usd_consensus_median_10s,10
MODEL_X_PLUS_EXISTING,4,num__shock_aligned_usd_consensus_10s,22
MODEL_X_PLUS_EXISTING,4,num__target_residual_10s,30
MODEL_X_PLUS_EXISTING,4,num__shock_aligned_target_residual_10s,1
MODEL_X_PLUS_EXISTING,4,num__median_cross_quote_age_ms,32
MODEL_X_PLUS_EXISTING,4,num__max_cross_quote_age_ms,21
MODEL_X_PLUS_EXISTING,4,num__num_prior_cross_fx_movers,9
MODEL_X_PLUS_EXISTING,4,num__first_cross_fx_lead_ms,13
MODEL_X_PLUS_EXISTING,4,num__median_cross_fx_lead_ms,18
MODEL_X_PLUS_EXISTING,4,num__target_leader_rank,0
MODEL_X_PLUS_EXISTING,4,num__t0_mid,6
MODEL_X_PLUS_EXISTING,4,num__return_5s_dir_atr,5
MODEL_X_PLUS_EXISTING,4,num__return_10s_dir_atr,2
MODEL_X_PLUS_EXISTING,4,num__return_30s_dir_atr,53
MODEL_X_PLUS_EXISTING,4,num__return_60s_dir_atr,7
MODEL_X_PLUS_EXISTING,4,num__return_120s_dir_atr,37
MODEL_X_PLUS_EXISTING,4,num__return_300s_dir_atr,60
MODEL_X_PLUS_EXISTING,4,num__return_900s_dir_atr,6
MODEL_X_PLUS_EXISTING,4,num__spread_5s_atr,19
MODEL_X_PLUS_EXISTING,4,num__spread_10s_atr,53
MODEL_X_PLUS_EXISTING,4,num__spread_30s_atr,33
MODEL_X_PLUS_EXISTING,4,num__spread_change_5s_atr,0
MODEL_X_PLUS_EXISTING,4,num__spread_change_10s_atr,6
MODEL_X_PLUS_EXISTING,4,num__spread_change_30s_atr,0
MODEL_X_PLUS_EXISTING,4,num__ticks_5s,33
MODEL_X_PLUS_EXISTING,4,num__ticks_10s,51
MODEL_X_PLUS_EXISTING,4,num__ticks_30s,19
MODEL_X_PLUS_EXISTING,4,num__ticks_60s,24
MODEL_X_PLUS_EXISTING,4,num__ticks_120s,43
MODEL_X_PLUS_EXISTING,4,num__tick_ratio_5s_prev5s,11
MODEL_X_PLUS_EXISTING,4,num__tick_ratio_30s_prev30s,20
MODEL_X_PLUS_EXISTING,4,num__range_30s_atr,6
MODEL_X_PLUS_EXISTING,4,num__range_60s_atr,4
MODEL_X_PLUS_EXISTING,4,num__range_180s_atr,9
MODEL_X_PLUS_EXISTING,4,num__range_300s_atr,1
MODEL_X_PLUS_EXISTING,4,num__range_900s_atr,31
MODEL_X_PLUS_EXISTING,4,num__range_1800s_atr,29
MODEL_X_PLUS_EXISTING,4,num__range_3600s_atr,37
MODEL_X_PLUS_EXISTING,4,num__realized_abs_30s_atr,23
MODEL_X_PLUS_EXISTING,4,num__realized_abs_60s_atr,11
MODEL_X_PLUS_EXISTING,4,num__realized_abs_180s_atr,12
MODEL_X_PLUS_EXISTING,4,num__realized_abs_300s_atr,39
MODEL_X_PLUS_EXISTING,4,num__accel_10s_vs_prev30s,39
MODEL_X_PLUS_EXISTING,4,num__return_30s_vs_prev30s,42
MODEL_X_PLUS_EXISTING,4,num__direction_consistency_30s,23
MODEL_X_PLUS_EXISTING,4,num__range_position_900s_dir,40
MODEL_X_PLUS_EXISTING,4,num__distance_high_900s_dir_atr,22
MODEL_X_PLUS_EXISTING,4,num__distance_low_900s_dir_atr,2
MODEL_X_PLUS_EXISTING,4,num__atr14_m5_slope_3bars,9
MODEL_X_PLUS_EXISTING,4,num__available_count,0
MODEL_X_PLUS_EXISTING,4,num__future_sources,0
MODEL_X_PLUS_EXISTING,4,cat__symbol_AUDUSD,0
MODEL_X_PLUS_EXISTING,4,cat__symbol_EURUSD,0
MODEL_X_PLUS_EXISTING,4,cat__symbol_GBPUSD,1
MODEL_X_PLUS_EXISTING,4,cat__symbol_USDCAD,19
MODEL_X_PLUS_EXISTING,4,cat__symbol_USDCHF,0
MODEL_X_PLUS_EXISTING,4,cat__symbol_USDJPY,0
MODEL_X_PLUS_EXISTING,4,cat__shock_direction_LONG,0
MODEL_X_PLUS_EXISTING,4,cat__shock_direction_SHORT,0
MODEL_X_PLUS_EXISTING,4,cat__action_CONTINUATION,0
MODEL_X_PLUS_EXISTING,4,cat__action_REVERSAL,2
MODEL_X_PLUS_EXISTING,4,cat__target_lead_bucket_EARLY,2
MODEL_X_PLUS_EXISTING,4,cat__target_lead_bucket_LATE,0
MODEL_X_PLUS_EXISTING,4,cat__target_lead_bucket_MIDDLE,0
MODEL_X_PLUS_EXISTING,4,cat__target_lead_bucket_NO_CROSSING,0
