event,reason,bucket_type,count
period_reset,day_reset,,259
candidate_score,accepted,EXPANSION_PULLBACK,151
signal,SIGNAL,EXPANSION_PULLBACK,151
entry,ENTRY,EXPANSION_PULLBACK,65
period_reset,week_reset,,53
entry_blocked,max_open_positions,EXPANSION_PULLBACK,30
exit,TP,EXPANSION_PULLBACK,25
exit,SL,EXPANSION_PULLBACK,25
candidate_score,risk_distance_pips_too_wide,EXPANSION_PULLBACK,21
entry_blocked,averaging_down_blocked,EXPANSION_PULLBACK,20
entry_blocked,same_quality_bar_entry_blocked,EXPANSION_PULLBACK,18
exit,TIMEOUT,EXPANSION_PULLBACK,15
entry_blocked,max_consecutive_losses,EXPANSION_PULLBACK,12
micro_near_miss_exit,VIRTUAL_SL_FIRST,MICRO_BREAKOUT_ACCEPTANCE,10
candidate_score,accepted,DISCOUNT_RECLAIM,9
signal,SIGNAL,DISCOUNT_RECLAIM,9
candidate_score,spread_to_risk_too_high,MICRO_BREAKOUT_ACCEPTANCE,8
micro_near_miss_exit,VIRTUAL_TP_FIRST,MICRO_BREAKOUT_ACCEPTANCE,7
entry_blocked,cooldown_bars_blocked,EXPANSION_PULLBACK,6
candidate_score,micro_breakout_diagnostic_only,MICRO_BREAKOUT_ACCEPTANCE,5
entry_blocked,additional_entry_not_expansion_pullback,DISCOUNT_RECLAIM,5
entry,ENTRY,DISCOUNT_RECLAIM,4
candidate_score,risk_distance_pips_too_wide,DISCOUNT_RECLAIM,4
candidate_score,stop_distance_atr_too_wide,EXPANSION_PULLBACK,3
candidate_score,spread_to_reward_too_high,MICRO_BREAKOUT_ACCEPTANCE,2
stop_condition_triggered,max_consecutive_losses,,2
exit,TP,DISCOUNT_RECLAIM,2
init,INIT,,1
exit,SL,DISCOUNT_RECLAIM,1
exit,TIMEOUT,DISCOUNT_RECLAIM,1
candidate_score,micro_breakout_score_below_threshold,MICRO_BREAKOUT_ACCEPTANCE,1
candidate_score,micro_wide_risk_requires_extra_confirmation,MICRO_BREAKOUT_ACCEPTANCE,1
candidate_score,risk_distance_atr_too_wide,EXPANSION_PULLBACK,1
deinit,DEINIT,,1
