run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpM15WaveContextMode,InpUseM15SwingAnchorBias,InpM15SwingAnchorMode,InpUseTruePostAnchorBreakPullback,InpPostAnchorPullbackMode,InpPostAnchorRequireM5Reconfirm,InpUseM5PostAnchorRelaunch,InpM5PostAnchorRelaunchMode,InpM5MicroAnchorLookbackBars,InpM5MicroAnchorMinSwingStrength,InpM5RelaunchBreakUseClose,InpM5RelaunchBreakMinAtr,InpM5RelaunchMaxBarsAfterRetest,InpM5RelaunchFirstSignalMaxAgeBars,InpM5RequireNewMicroAnchorAfterM15Break,InpM5RelaunchRequireNormalBreakQuality,InpM15AnchorFlipRequireHighMediumM5Pattern,InpM15AnchorFlipRequireCorrectiveExhaustion,InpExitMode,InpMaxHoldBars
q1_light_or_micro_n_exhaustion,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_micro_n_exhaustion,required_light_OR_m5_micro_n_plus_exhaustion,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_q1_light_or_micro_n_exhaustion.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_q1_light_or_micro_n_exhaustion.ini,fx_session_reversal_m5_micro_n_q1_light_or_micro_n_exhaustion,16385,15,5,1,true,5,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,true,1,30
q1_one_micro_n_first,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,one_micro_n_first,one_symbol_m5_micro_n_first_signal,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_q1_one_micro_n_first.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_q1_one_micro_n_first.ini,fx_session_reversal_m5_micro_n_q1_one_micro_n_first,16385,15,5,1,true,4,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,false,1,30
q1_one_light_or_micro_n_first,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,one_light_or_micro_n_first,one_symbol_required_light_OR_m5_micro_n_first_signal,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_q1_one_light_or_micro_n_first.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_q1_one_light_or_micro_n_first.ini,fx_session_reversal_m5_micro_n_q1_one_light_or_micro_n_first,16385,15,5,1,true,5,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_base,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,base,baseline_c10_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_base.ini,fx_session_reversal_m5_micro_n_full2025_base,16385,15,5,0,false,0,false,0,true,false,0,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_light,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light,required_light_original_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light.ini,fx_session_reversal_m5_micro_n_full2025_light,16385,15,5,3,false,0,false,0,true,false,0,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_anchor_pullback,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,anchor_pullback,anchor_first_break_pullback_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_anchor_pullback.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_anchor_pullback.ini,fx_session_reversal_m5_micro_n_full2025_anchor_pullback,16385,15,5,1,true,4,true,3,false,false,0,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_micro_n_diag,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,micro_n_diag,m5_micro_n_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_diag.ini,fx_session_reversal_m5_micro_n_full2025_micro_n_diag,16385,15,5,1,true,1,true,1,false,true,1,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_micro_n_required,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,micro_n_required,anchor_pullback_plus_m5_micro_n_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_required.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_required.ini,fx_session_reversal_m5_micro_n_full2025_micro_n_required,16385,15,5,1,true,4,true,3,false,true,3,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_micro_n_first,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,micro_n_first,anchor_pullback_plus_m5_micro_n_first_signal,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_first.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_first.ini,fx_session_reversal_m5_micro_n_full2025_micro_n_first,16385,15,5,1,true,4,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_micro_n_strong,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,micro_n_strong,anchor_pullback_plus_m5_micro_n_strong_break,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_strong.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_strong.ini,fx_session_reversal_m5_micro_n_full2025_micro_n_strong,16385,15,5,1,true,4,true,3,false,true,4,48,2,true,0.05,12,1,true,true,false,false,1,30
full2025_light_or_micro_n,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_micro_n,required_light_OR_m5_micro_n_relaunch,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n.ini,fx_session_reversal_m5_micro_n_full2025_light_or_micro_n,16385,15,5,1,true,5,true,3,false,true,3,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_light_or_micro_n_first,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_micro_n_first,required_light_OR_m5_micro_n_first_signal,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_first.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_first.ini,fx_session_reversal_m5_micro_n_full2025_light_or_micro_n_first,16385,15,5,1,true,5,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_light_or_micro_n_pattern,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_micro_n_pattern,required_light_OR_m5_micro_n_plus_pattern,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_pattern.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_pattern.ini,fx_session_reversal_m5_micro_n_full2025_light_or_micro_n_pattern,16385,15,5,1,true,5,true,3,false,true,4,48,2,true,0.05,12,1,true,false,true,false,1,30
full2025_light_or_micro_n_exhaustion,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_micro_n_exhaustion,required_light_OR_m5_micro_n_plus_exhaustion,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_exhaustion.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_exhaustion.ini,fx_session_reversal_m5_micro_n_full2025_light_or_micro_n_exhaustion,16385,15,5,1,true,5,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,true,1,30
full2025_one_micro_n_first,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_micro_n_first,one_symbol_m5_micro_n_first_signal,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_one_micro_n_first.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_one_micro_n_first.ini,fx_session_reversal_m5_micro_n_full2025_one_micro_n_first,16385,15,5,1,true,4,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,false,1,30
full2025_one_light_or_micro_n_first,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_light_or_micro_n_first,one_symbol_required_light_OR_m5_micro_n_first_signal,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_one_light_or_micro_n_first.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_one_light_or_micro_n_first.ini,fx_session_reversal_m5_micro_n_full2025_one_light_or_micro_n_first,16385,15,5,1,true,5,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,false,1,30
