"scenario","mode","entry_time","exit_time","strategy","symbol","direction","base_currency","quote_currency","wave_stage","setup_type","wave_tf","fib_zone","divergence_type","m15_confirmation_type","failure_type","wave_size_atr","retracement_ratio","extension_ratio","wave_rule_validity","wave3_break_confirmed","pivot_confirmation_delay_bars","entry_delay_from_pivot","pivot_time","pivot_confirmed_time","room_to_1r","room_to_2r","entry","exit","stop_loss","take_profit","risk_price","result_r","profit","commission","swap","net_profit","volume","reward_r","holding_bars","atr","spread_points","score","exit_reason","position_id"
"A","wave3_start_pullback_only","2025.01.02 00:15:00","2025.01.02 01:53:11","wave3_start_pullback_only","USDJPY","SHORT","USD","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","candle_reversal","wave3_unconfirmed_too_early","6.6288","0.7467","0.1814","valid_wave2","false","3","4","2024.12.31 19:00:00","2024.12.31 22:00:00","3.0128","3.0128","157.19600000","157.59100000","157.58800000","156.64700000","0.39200000","-1.0077","-25.06","0.00","0.00","-25.06","0.100","1.400","6","0.30850000","27.00","1.1500","DEAL_REASON_SL","2"
"A","wave3_start_pullback_only","2025.01.02 01:15:00","2025.01.02 03:21:26","wave3_start_pullback_only","AUDJPY","LONG","AUD","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","ma_reclaim","other","2.7547","0.7055","0.2997","valid_wave2","false","3","7","2024.12.31 17:00:00","2024.12.31 20:00:00","4.2667","4.2667","97.37800000","97.82100000","97.06300000","97.81900000","0.31500000","1.4063","33.74","0.00","0.00","33.74","0.120","1.400","8","0.21200000","28.00","1.1500","DEAL_REASON_TP","4"
"A","wave3_start_pullback_only","2025.01.02 02:15:01","2025.01.02 04:46:25","wave3_start_pullback_only","GBPUSD","SHORT","GBP","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","wave3_unconfirmed_too_early","3.1703","0.3454","0.1256","valid_wave2","false","3","3","2024.12.31 22:00:00","2025.01.02 01:00:00","0.4451","0.4451","1.25123000","1.25296000","1.25296000","1.24881000","0.00173000","-1.0000","-24.22","0.00","0.00","-24.22","0.140","1.400","10","0.00200929","20.00","1.0223","DEAL_REASON_SL","7"
"A","wave3_start_pullback_only","2025.01.02 00:15:12","2025.01.02 08:15:01","wave3_start_pullback_only","EURUSD","SHORT","EUR","USD","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","candle_reversal","target_blocked","3.7374","0.6085","0.8245","valid_wave2","true","3","3","2024.12.31 08:00:00","2024.12.31 20:00:00","0.1275","0.1275","1.03527000","1.03633000","1.04272000","1.02484000","0.00745000","-0.1423","-3.18","0.00","0.00","-3.18","0.030","1.400","32","0.00231714","19.00","1.5564","DEAL_REASON_EXPERT","3"
"A","wave3_start_pullback_only","2025.01.02 01:30:00","2025.01.02 08:27:35","wave3_start_pullback_only","EURJPY","LONG","EUR","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","ma_reclaim","wave3_unconfirmed_too_early","3.2460","0.8298","0.2437","valid_wave2","false","3","7","2024.12.31 17:00:00","2024.12.31 20:00:00","6.0760","6.0760","162.88800000","162.52000000","162.55900000","163.34900000","0.32900000","-1.1185","-25.69","0.00","0.00","-25.69","0.110","1.400","27","0.29328571","33.00","1.1500","DEAL_REASON_SL","5"
"A","wave3_start_pullback_only","2025.01.02 03:15:00","2025.01.02 08:27:35","wave3_start_pullback_only","GBPJPY","LONG","GBP","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","candle_reversal","wave3_unconfirmed_too_early","2.1221","0.6655","0.5074","valid_wave2","false","3","3","2024.12.31 23:00:00","2025.01.02 02:00:00","2.6195","2.6195","197.19200000","196.50500000","196.52700000","198.12300000","0.66500000","-1.0331","-21.80","0.00","0.00","-21.80","0.050","1.400","20","0.41421429","38.00","1.1310","DEAL_REASON_SL","8"
"A","wave3_start_pullback_only","2025.01.02 05:00:00","2025.01.02 10:20:01","wave3_start_pullback_only","GBPUSD","LONG","GBP","USD","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","micro_bos","fib_not_aligned","1.2281","0.9091","1.1818","valid_wave2","true","3","3","2025.01.02 01:00:00","2025.01.02 04:00:00","2.3388","2.3388","1.25346000","1.25039000","1.25039000","1.25776000","0.00307000","-1.0000","-24.56","0.00","0.00","-24.56","0.080","1.400","21","0.00179143","20.00","1.3169","DEAL_REASON_SL","12"
"A","wave3_start_pullback_only","2025.01.02 03:30:00","2025.01.02 10:25:56","wave3_start_pullback_only","AUDJPY","LONG","AUD","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_382_786","none","micro_bos","target_blocked","2.7547","0.7055","0.8699","valid_wave2","true","3","9","2024.12.31 17:00:00","2024.12.31 20:00:00","1.0306","1.0306","97.88000000","97.06300000","97.06300000","99.02400000","0.81700000","-1.0000","-20.74","0.00","0.00","-20.74","0.040","1.400","27","0.21200000","28.00","1.2515","DEAL_REASON_SL","10"
"A","wave3_start_pullback_only","2025.01.02 08:30:02","2025.01.02 16:30:00","wave3_start_pullback_only","EURJPY","SHORT","EUR","JPY","possible_wave3_start","wave3_start_pullback","H1","wave2_other","none","micro_bos","other","3.2128","0.9054","0.3735","valid_wave2","false","3","6","2025.01.02 01:00:00","2025.01.02 04:00:00","0.1546","0.1546","162.51700000","161.73000000","163.34500000","161.35800000","0.82800000","0.9505","20.08","0.00","0.00","20.08","0.040","1.400","32","0.31250000","31.00","1.0077","DEAL_REASON_EXPERT","16"
"A","wave3_start_pullback_only","2025.01.02 10:00:00","2025.01.02 18:00:00","wave3_start_pullback_only","EURUSD","SHORT","EUR","USD","possible_wave3_start","wave3_start_pullback","H4","wave2_50_618","none","ma_reclaim","other","3.7374","0.6085","0.7009","valid_wave2","true","3","5","2024.12.31 08:00:00","2024.12.31 20:00:00","0.2899","0.2899","1.03620000","1.02751000","1.04272000","1.02708000","0.00652000","1.3328","26.07","0.00","0.00","26.07","0.030","1.400","32","0.00231714","18.00","1.5645","DEAL_REASON_EXPERT","17"
